subset,protocol,method,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,standard,conv_decoder,rmse,surface_temperature,12.601461410522461,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,rmse,temperature,10.01468915939331,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,rmse,specific_humidity_dex,0.514857617020607,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,rmse,cloud_fraction,0.08220121301710606,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,rmse,u,9.90478286743164,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,rmse,v,3.9120230436325074,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,rmse,asr,37.149436950683594,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,rmse,olr,17.370330810546875,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,surface_temperature,0.9352974891662598,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,temperature,0.5045892670750618,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,specific_humidity_dex,0.6490643963217735,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,cloud_fraction,0.6911675453186035,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,u,0.6824328660964966,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,v,0.6949334800243377,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,asr,0.9933544993400574,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,acc,olr,0.8702170848846436,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,surface_temperature,13.199007987976074,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,temperature,11.161248397827148,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,specific_humidity_dex,0.5732136726379394,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,cloud_fraction,0.09497726671397685,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,u,12.07830364704132,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,v,4.644558715820312,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,asr,39.65610122680664,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,ramse,olr,18.78583335876465,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,surface_temperature,1.0683164596557617,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,temperature,0.8853810429573059,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,specific_humidity_dex,0.8435068130493164,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,cloud_fraction,0.6051378846168518,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,u,0.7718861103057861,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,v,0.7119306325912476,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,asr,1.009531021118164,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_rmse,olr,0.7282606363296509,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,surface_temperature,1.018730640411377,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,temperature,4.200046062469482,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,specific_humidity_dex,1.0918354988098145,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,cloud_fraction,1.470292329788208,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,u,3.4505016803741455,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,v,1.3025012016296387,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,asr,1.001754641532898,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,relative_acc,olr,1.1488927602767944,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,coord_deeponet,rmse,surface_temperature,12.775678634643555,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,rmse,temperature,10.73301076889038,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,rmse,specific_humidity_dex,0.5298471063375473,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,rmse,cloud_fraction,0.09070225581526756,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,rmse,u,10.934195137023925,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,rmse,v,4.990510082244873,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,standard,coord_deeponet,rmse,asr,29.684356689453125,results/models/multi-partial/coord_deeponet/metrics_standard.json,results/models/multi-partial/coord_deeponet/predictions.npz,results/models/multi-partial/coord_deeponet/config.json
