subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,standard,conv_decoder,0,rmse,surface_temperature,12.601461410522461,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,rmse,temperature,10.01468915939331,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,rmse,specific_humidity_dex,0.514857617020607,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,rmse,cloud_fraction,0.08220121301710606,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,rmse,u,9.90478286743164,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,rmse,v,3.9120230436325074,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,rmse,asr,37.149436950683594,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,rmse,olr,17.370330810546875,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,surface_temperature,0.9352974891662598,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,temperature,0.5045892670750618,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,specific_humidity_dex,0.6490643963217735,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,cloud_fraction,0.6911675453186035,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,u,0.6824328660964966,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,v,0.6949334800243377,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,asr,0.9933544993400574,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,acc,olr,0.8702170848846436,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,0,ramse,surface_temperature,13.199007987976074,results/models/multi-partial/conv_decoder/metrics_standard.json,results/models/multi-partial/conv_decoder/predictions.npz,results/models/multi-partial/conv_decoder/config.json
