method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,0.9392723441123962,0.5109425087769827,0.6947530334194502,0.7635393208927579,0.7106373144520653,0.7038752237955729,0.9905219674110413,0.8576151728630066
coord_deeponet,0.9390501379966736,0.5989059921767976,0.7821971972783407,0.7382490237553915,0.6908550692929162,0.6672070125738779,0.9946973323822021,0.8495823740959167
coord_mlp,0.9065436124801636,0.4662451247374217,0.6800238208638297,0.7062719100051456,0.6508098012871213,0.6665106779999204,0.9775122404098511,0.7634649872779846
gplfr,0.9746434092521667,0.6832183731926812,0.845852255821228,0.7849044866032071,0.7580289708243476,0.733654237455792,0.9956585764884949,0.8859381079673767
knn,0.9655492305755615,0.627952923377355,0.8095695839987861,0.7047077914079031,0.6734833584891425,0.6470500065220727,0.9938473105430603,0.8173016309738159
pca_gbt,0.9598994255065918,0.6244199971357981,0.7992957962883843,0.7530808117654588,0.6670284536149766,0.6567692855993906,0.9953705668449402,0.840255856513977
pca_mlp,0.9480555057525635,0.6539272566636404,0.8078045580122206,0.7661866214540269,0.6786306136184268,0.6661036511262258,0.995114266872406,0.8566929697990417
pca_ridge,0.9698301553726196,0.4820702485740185,0.8121535016430749,0.723914666308297,0.6510697139634026,0.6843753490183089,0.9953077435493469,0.855802595615387
ppca_icm,0.9782400727272034,0.6509658131334517,0.8397945629225837,0.7680638564957513,0.7518672744433085,0.7359707918432024,0.9952284097671509,0.8557737469673157
sfno,0.9638257026672363,0.5513517508904139,0.7598019358184602,0.7702555921342638,0.7342107395331064,0.7013343572616577,0.9938384294509888,0.8563432097434998
train_mean,0.9543260931968689,0.40821512705749935,0.7523154218991598,0.6619274881150987,0.5721316370699141,0.5710242589314779,0.9942761659622192,0.7535266876220703
