method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,0.9392723441123962,0.8749011754989624,0.8470081686973572,0.7534650564193726,0.6225455403327942,0.41314253211021423,0.16239027678966522,0.3637070059776306,0.40136316418647766,0.15995965898036957,0.9016754627227783,0.8781211972236633,0.8130226731300354,0.759294867515564,0.7628639340400696,0.7759057879447937,0.7275257706642151,0.5230590105056763,0.11130859702825546,0.9905219674110413,0.8576151728630066,0.7046152949333191,0.7532532215118408,0.7860665917396545,0.8241552114486694,0.8375909924507141,0.8635967969894409,0.8442251086235046,0.7886413335800171,0.4697093367576599,0.8081295490264893,0.7642979025840759,0.716010332107544,0.7403755784034729,0.7371582388877869,0.7404423952102661,0.7429177761077881,0.6721354722976685,0.4742685854434967,0.7398340106010437,0.6983384490013123,0.6827359795570374,0.7284345030784607,0.751959502696991,0.8022835850715637,0.779811680316925,0.7006828188896179,0.4507964849472046
coord_deeponet,0.9390501379966736,0.9073906540870667,0.8802220821380615,0.8190367817878723,0.7509990930557251,0.5198548436164856,0.1854371577501297,0.4129140377044678,0.6025069355964661,0.3117923438549042,0.9090082049369812,0.8908876180648804,0.8521217107772827,0.8156543374061584,0.8109986186027527,0.836398184299469,0.8180178999900818,0.7589539289474487,0.347734272480011,0.9946973323822021,0.8495823740959167,0.6071469783782959,0.6927687525749207,0.7716880440711975,0.7988597750663757,0.8140369653701782,0.8410874605178833,0.8384913206100464,0.7590119242668152,0.5211499929428101,0.7740111947059631,0.7329918742179871,0.7028138637542725,0.7369367480278015,0.7422395944595337,0.7537173628807068,0.7350338101387024,0.6019541621208191,0.4379970133304596,0.689948320388794,0.6391797065734863,0.6395509839057922,0.6961159706115723,0.7336180210113525,0.7766116261482239,0.7506064772605896,0.6161112785339355,0.4631207287311554
coord_mlp,0.9065436124801636,0.8600550889968872,0.81658536195755,0.6998817324638367,0.5308296084403992,0.3222554922103882,0.11817869544029236,0.24444511532783508,0.39018014073371887,0.21379488706588745,0.8718357682228088,0.8356130719184875,0.7717862725257874,0.7330170273780823,0.7472509741783142,0.7616400122642517,0.6935209035873413,0.5338639616966248,0.17168639600276947,0.9775122404098511,0.7634649872779846,0.5720263123512268,0.6225822567939758,0.7128646969795227,0.7825894951820374,0.8111400604248047,0.837735652923584,0.8094915747642517,0.7081061005592346,0.49991104006767273,0.7936676740646362,0.7385740876197815,0.6813360452651978,0.6790530681610107,0.645020604133606,0.6577470302581787,0.6803736686706543,0.6146957278251648,0.3668203055858612,0.6756598353385925,0.6121720671653748,0.6048009991645813,0.6693639159202576,0.7306738495826721,0.7760252952575684,0.7570405602455139,0.6804709434509277,0.49238863587379456
gplfr,0.9746434092521667,0.9429804682731628,0.9316619634628296,0.9089876413345337,0.8529139757156372,0.6670291423797607,0.38501086831092834,0.53052818775177,0.6069632172584534,0.32288989424705505,0.9482484459877014,0.9357330203056335,0.900954008102417,0.8784385323524475,0.8735343217849731,0.8938136100769043,0.8835548162460327,0.8355733156204224,0.46282023191452026,0.9956585764884949,0.8859381079673767,0.7352957725524902,0.7765939831733704,0.8160795569419861,0.8600903153419495,0.8621349334716797,0.8535658121109009,0.837853193283081,0.7758980989456177,0.5466287136077881,0.844296932220459,0.8112504482269287,0.799266517162323,0.8040427565574646,0.788123369216919,0.7776108384132385,0.7670358419418335,0.6710854172706604,0.5595486164093018,0.778393030166626,0.7577203512191772,0.7464041709899902,0.7633153796195984,0.7707641124725342,0.8294811248779297,0.7977617979049683,0.6878765225410461,0.47117164731025696
knn,0.9655492305755615,0.9225894808769226,0.9072920083999634,0.8864601850509644,0.8304494023323059,0.5654586553573608,0.27486398816108704,0.47727423906326294,0.5596038103103638,0.22758454084396362,0.9275357723236084,0.9061991572380066,0.8464016914367676,0.8131617903709412,0.8236756324768066,0.8560757040977478,0.8408176302909851,0.7906287908554077,0.4816300868988037,0.9938473105430603,0.8173016309738159,0.584356963634491,0.6181591749191284,0.7227521538734436,0.7911600470542908,0.8277117609977722,0.8221555352210999,0.7838506102561951,0.7151768803596497,0.47704699635505676,0.7810083031654358,0.7346293330192566,0.6897189617156982,0.6949136853218079,0.6816591024398804,0.6830229163169861,0.6889901161193848,0.6224912405014038,0.4849165678024292,0.6627261638641357,0.607275128364563,0.5966886281967163,0.6594236493110657,0.7103867530822754,0.765795886516571,0.7345505356788635,0.6134886145591736,0.4731146991252899
pca_gbt,0.9598994255065918,0.9211483597755432,0.9079521298408508,0.8685379028320312,0.7938533425331116,0.5740612149238586,0.2747228443622589,0.38331037759780884,0.5968185067176819,0.2993752956390381,0.924305260181427,0.9064174890518188,0.8542163968086243,0.8220813274383545,0.8182478547096252,0.8445075750350952,0.8440837264060974,0.788796603679657,0.3910059332847595,0.9953705668449402,0.840255856513977,0.6758968234062195,0.7240484952926636,0.7966498732566833,0.8317947387695312,0.8319862484931946,0.8400797843933105,0.8142842650413513,0.761986494064331,0.5010005831718445,0.7779703736305237,0.718060314655304,0.6793367862701416,0.7021385431289673,0.6798632144927979,0.6756748557090759,0.6928951144218445,0.6124070286750793,0.4649098515510559,0.687049150466919,0.6200775504112244,0.6067630648612976,0.6628040075302124,0.6984087228775024,0.7791290879249573,0.7694043517112732,0.6513354182243347,0.43595221638679504
pca_mlp,0.9480555057525635,0.9318247437477112,0.9164000153541565,0.8717694282531738,0.7971869707107544,0.5776492357254028,0.2896565794944763,0.4627249538898468,0.6804714202880859,0.3576619625091553,0.9190260767936707,0.8988232612609863,0.8450698852539062,0.8158688545227051,0.8086620569229126,0.8411813974380493,0.8462486267089844,0.8112496733665466,0.4841111898422241,0.995114266872406,0.8566929697990417,0.7008078694343567,0.7539309859275818,0.797624409198761,0.8260660767555237,0.8395829200744629,0.8482039570808411,0.8360199928283691,0.7706291079521179,0.5228142738342285,0.782290518283844,0.731670081615448,0.7098599672317505,0.7283210754394531,0.7236723899841309,0.7081877589225769,0.702501654624939,0.5879145860671997,0.43325749039649963,0.7216957807540894,0.6722962260246277,0.6472615003585815,0.6943345069885254,0.7143394947052002,0.764133095741272,0.7440527081489563,0.6295894384384155,0.40723010897636414
pca_ridge,0.9698301553726196,0.9219539165496826,0.903559148311615,0.8683643341064453,0.8071519732475281,0.5052436590194702,-0.055784694850444794,0.04620950296521187,0.16553851962089539,0.17639587819576263,0.9287739396095276,0.9112613797187805,0.8651873469352722,0.8276950716972351,0.8240861296653748,0.8501420021057129,0.8489220142364502,0.8188984990119934,0.43441513180732727,0.9953077435493469,0.855802595615387,0.6396946907043457,0.6880239248275757,0.7661951780319214,0.7938556671142578,0.8107540011405945,0.8130298256874084,0.7891913652420044,0.715239942073822,0.49924740195274353,0.7745701670646667,0.7048846483230591,0.6403541564941406,0.6524379253387451,0.6731594204902649,0.7031738758087158,0.7145552635192871,0.6211179494857788,0.3753740191459656,0.6924264430999756,0.6385079026222229,0.6474133729934692,0.6852990984916687,0.7321861386299133,0.7888716459274292,0.7845994830131531,0.7060831785202026,0.483990877866745
ppca_icm,0.9782400727272034,0.9487946033477783,0.9369356632232666,0.8929124474525452,0.8132926225662231,0.6124672293663025,0.34802964329719543,0.4574752449989319,0.5561688542366028,0.29261600971221924,0.9546336531639099,0.9410452842712402,0.9027859568595886,0.8704864382743835,0.8597449064254761,0.877304196357727,0.8720725774765015,0.8097096681594849,0.4703683853149414,0.9952284097671509,0.8557737469673157,0.7006704807281494,0.7735239863395691,0.8102850914001465,0.8361445665359497,0.8365086317062378,0.8291773200035095,0.8120663166046143,0.7706696391105652,0.54352867603302,0.8556174635887146,0.8257828950881958,0.8024012446403503,0.7934333682060242,0.7711741328239441,0.7660099267959595,0.7604178190231323,0.6707919836044312,0.5211766362190247,0.7775932550430298,0.7629543542861938,0.7674390077590942,0.7779514193534851,0.7977858781814575,0.8438400030136108,0.8041547536849976,0.6695606708526611,0.4224577844142914
sfno,0.9638257026672363,0.8927053809165955,0.8824000954627991,0.7848116159439087,0.7033849358558655,0.45312806963920593,0.18551380932331085,0.3068315386772156,0.4452368915081024,0.3081534206867218,0.926220178604126,0.9135959148406982,0.8728166222572327,0.8307603001594543,0.8300092816352844,0.8377655148506165,0.8329335451126099,0.668243408203125,0.1258726567029953,0.9938384294509888,0.8563432097434998,0.7100714445114136,0.7497191429138184,0.8066169023513794,0.8318992853164673,0.8509894013404846,0.8562408685684204,0.8459950685501099,0.7745959162712097,0.5061722993850708,0.8307062387466431,0.7971062660217285,0.761357843875885,0.7742687463760376,0.7736112475395203,0.7674984335899353,0.7592636346817017,0.6461098194122314,0.4979744255542755,0.7335361242294312,0.6944699883460999,0.6979596018791199,0.7266988158226013,0.7489581108093262,0.807410717010498,0.7751336693763733,0.675334632396698,0.45250755548477173
