method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,1.0051790475845337,0.7862441539764404,0.8133130073547363,0.8846634030342102,1.0840882062911987,1.2106704711914062,1.2029547691345215,1.1834663152694702,1.3437540531158447,1.9399415254592896,0.8643265962600708,0.8352320790290833,0.8361011147499084,0.8458533883094788,0.9319165349006653,0.9642410278320312,1.0261385440826416,1.031263828277588,1.425727367401123,1.0374778509140015,0.7397778034210205,0.5676786303520203,0.5890347957611084,0.5165331363677979,0.5964871644973755,0.6825563311576843,0.8015051484107971,0.912221372127533,0.6975176334381104,1.5493865013122559,0.8963143825531006,0.8984564542770386,0.9638841152191162,0.8724245429039001,0.806735098361969,0.7621187567710876,0.758404552936554,0.8281293511390686,1.3221406936645508,0.8655442595481873,0.8559946417808533,0.8444451689720154,0.8058403134346008,0.7803952097892761,0.7814906239509583,0.8204638361930847,0.8514290452003479,1.1994428634643555
coord_deeponet,0.9118756055831909,0.8587256669998169,0.8616464734077454,0.8793424367904663,1.0457868576049805,1.0856071710586548,1.2037111520767212,1.4633880853652954,1.4248006343841553,2.082288980484009,0.7936425805091858,0.7929288744926453,0.8045727610588074,0.8134662508964539,0.840610682964325,0.8669193387031555,0.9044138193130493,0.9158624410629272,1.4262062311172485,0.7331210970878601,0.717567503452301,0.6889488697052002,0.6938492655754089,0.6588335633277893,0.6825708150863647,0.7010055780410767,0.9079025983810425,0.9614151120185852,0.7572929859161377,1.384232759475708,1.0430731773376465,1.068677544593811,1.0731658935546875,0.9246082901954651,0.894493043422699,0.8500595688819885,0.8882296085357666,0.9779054522514343,1.503031849861145,1.090619683265686,1.1107929944992065,1.0311657190322876,0.9741597175598145,0.9298542737960815,0.921859622001648,0.9669413566589355,1.0056852102279663,1.6774041652679443
coord_mlp,1.3237911462783813,0.937454104423523,0.958174467086792,0.9754406213760376,1.159371018409729,1.2122212648391724,1.0971144437789917,1.0702528953552246,1.2076964378356934,1.6085134744644165,1.0202029943466187,0.9175129532814026,0.869620144367218,0.88878333568573,0.9340609312057495,1.0257314443588257,1.1523040533065796,1.1730648279190063,1.9930310249328613,1.5140979290008545,1.0994430780410767,0.6716420650482178,0.714554488658905,0.684762716293335,0.7120547890663147,0.8041815161705017,0.883152425289154,1.02036452293396,0.8105139136314392,1.376123309135437,1.0329872369766235,1.0673267841339111,1.2126022577285767,1.1285862922668457,1.0554496049880981,0.9777908325195312,0.9174650311470032,0.8268318176269531,1.1844240427017212,1.0713375806808472,1.1867742538452148,1.1367228031158447,1.045875906944275,0.937173068523407,0.9564746022224426,0.9485085010528564,0.8204595446586609,1.2534300088882446
gplfr,0.7875787615776062,0.7592692971229553,0.774288535118103,0.8151818513870239,0.9740036129951477,1.0305854082107544,0.7734442353248596,0.6644313335418701,0.821711003780365,1.4187040328979492,0.7271695733070374,0.6591277718544006,0.6542685031890869,0.6541778445243835,0.6796901822090149,0.7084978818893433,0.7692380547523499,0.8018890023231506,1.2977179288864136,0.6000021696090698,0.6380904912948608,0.5425938367843628,0.5660923719406128,0.5386716723442078,0.5276114344596863,0.610761821269989,0.7164728045463562,0.8693543672561646,0.6903035640716553,1.4830728769302368,0.8515843152999878,0.8804048895835876,0.9085313677787781,0.8364667296409607,0.7977258563041687,0.7549697756767273,0.7375046014785767,0.7957282662391663,1.5630900859832764,0.8498645424842834,0.8718743324279785,0.8563842177391052,0.7989392876625061,0.7490776181221008,0.758059561252594,0.8341501355171204,0.9593734741210938,1.3962336778640747
knn,1.4447542428970337,1.3086626529693604,1.3380224704742432,1.447016716003418,1.7341135740280151,1.5704535245895386,1.3520257472991943,1.5071731805801392,1.8575414419174194,2.7702243328094482,1.2587199211120605,1.1837153434753418,1.2362420558929443,1.2560935020446777,1.3021430969238281,1.3882343769073486,1.5119023323059082,1.3839448690414429,2.0058557987213135,0.853394627571106,0.9735068678855896,0.7479342222213745,0.757602334022522,0.6984543800354004,0.715674877166748,0.8015397787094116,0.9311138987541199,1.0614922046661377,0.9229875802993774,2.7796883583068848,1.0104793310165405,1.0707614421844482,1.2363489866256714,1.1630860567092896,1.1075283288955688,1.0158897638320923,0.9154694080352783,0.913192093372345,1.3282588720321655,1.0589184761047363,1.050714373588562,1.0518968105316162,0.9939637780189514,0.9319371581077576,0.930247962474823,0.984178364276886,0.9493133425712585,1.2710745334625244
pca_gbt,1.0821243524551392,0.9591104984283447,0.9512854218482971,1.0248067378997803,1.255914568901062,1.2074698209762573,1.0028306245803833,0.9628577828407288,1.1212610006332397,1.4979671239852905,0.9089393019676208,0.8156725168228149,0.8143008351325989,0.8395863771438599,0.8651806116104126,0.8999857902526855,0.9553394317626953,0.9606687426567078,1.2761526107788086,0.7098767161369324,0.7772526741027832,0.589430034160614,0.64711993932724,0.6046979427337646,0.6035744547843933,0.7180755138397217,0.8081277012825012,0.9377615451812744,0.7202370762825012,2.6216273307800293,0.9562765955924988,1.0035361051559448,1.0760053396224976,0.9765145778656006,0.9178861975669861,0.8478452563285828,0.8049398064613342,0.8990750908851624,1.708634853363037,1.0124109983444214,1.028833270072937,1.0140407085418701,0.9630880951881409,0.8942291736602783,0.8800431489944458,0.883630096912384,0.8717376589775085,1.4369157552719116
pca_mlp,1.0135687589645386,0.9083536267280579,0.967266321182251,1.0583038330078125,1.2611438035964966,1.4081449508666992,1.2383763790130615,1.2136070728302002,1.3216345310211182,1.5799871683120728,0.8834543824195862,0.826647937297821,0.837777316570282,0.8170562982559204,0.8495613932609558,0.8625748157501221,0.8928042054176331,0.8309832811355591,1.1762242317199707,0.6908493041992188,0.7868077754974365,0.5951036810874939,0.6017943620681763,0.572202742099762,0.5707206130027771,0.681952714920044,0.8623014092445374,0.8615785837173462,0.6979715824127197,1.5637203454971313,0.9775528907775879,1.0167220830917358,1.0627775192260742,0.9747025370597839,0.9364988803863525,0.92779940366745,0.9405099153518677,1.007541298866272,1.6564016342163086,0.959230899810791,0.9824637174606323,1.0128976106643677,0.9789589047431946,0.9232043027877808,0.9298779368400574,0.9727326035499573,1.056353211402893,1.5398980379104614
pca_ridge,1.3151476383209229,1.0904245376586914,1.118821620941162,1.1112916469573975,1.2952113151550293,1.3991352319717407,1.1197901964187622,1.1913578510284424,1.741032361984253,2.440399408340454,1.0075764656066895,0.9377701878547668,0.9629446268081665,0.9846689701080322,1.0554590225219727,1.1216225624084473,1.247536301612854,1.3011763095855713,2.0158450603485107,0.8124312162399292,0.9876001477241516,0.6748378276824951,0.7155032753944397,0.6699079871177673,0.6819628477096558,0.799198567867279,0.9503204822540283,1.0942128896713257,0.8331944942474365,3.5163745880126953,1.0176892280578613,1.1312487125396729,1.3096864223480225,1.2570068836212158,1.1346343755722046,1.03030526638031,1.0201404094696045,1.2240663766860962,2.3885622024536133,1.0520542860031128,1.1244661808013916,1.1364856958389282,1.0831867456436157,0.9780515432357788,0.9656503796577454,0.9331589937210083,0.9093793034553528,1.780927300453186
ppca_icm,1.0384708642959595,0.9592304825782776,1.037394642829895,1.085679531097412,1.2976125478744507,1.3868201971054077,1.0164676904678345,0.8842486143112183,1.2671772241592407,2.2543182373046875,0.9372593760490417,0.8249627351760864,0.7964746356010437,0.8098171353340149,0.8584572672843933,0.8996449708938599,0.965164303779602,0.962090015411377,1.4552825689315796,0.737474799156189,0.7962794303894043,0.5854238271713257,0.6105297803878784,0.5615773797035217,0.5876559615135193,0.7094582915306091,0.8036425113677979,0.972283661365509,0.7748602628707886,1.8939186334609985,0.8675495386123657,0.9020048379898071,0.9713636040687561,0.9560426473617554,0.9282378554344177,0.8510869741439819,0.8067648410797119,0.8532959818840027,1.4773958921432495,0.8881847858428955,0.9166272878646851,0.9062657356262207,0.844461977481842,0.7882380485534668,0.8202536702156067,0.8754991292953491,0.9057389497756958,1.453629493713379
sfno,0.9460275173187256,0.8952050805091858,0.8600000739097595,0.8793667554855347,1.044223666191101,1.1243700981140137,1.0424182415008545,1.086861252784729,1.3328291177749634,1.8544261455535889,0.8376772403717041,0.724618136882782,0.7502395510673523,0.843686580657959,0.8223459720611572,0.8332246541976929,0.9136455059051514,0.8242215514183044,1.3551620244979858,0.8240048289299011,0.8050590753555298,0.613335907459259,0.6505529284477234,0.5565081238746643,0.6219622492790222,0.7164375185966492,0.8861997127532959,0.9106572270393372,0.7098914980888367,1.5721771717071533,0.9273670315742493,0.9257490634918213,0.9409614205360413,0.8500174880027771,0.8100886940956116,0.8068883419036865,0.8283581137657166,0.8660656213760376,1.484999179840088,0.8846789002418518,0.8905627727508545,0.8853353261947632,0.8392952084541321,0.7716732025146484,0.7839813828468323,0.8319440484046936,0.8611723184585571,1.3301160335540771
train_mean,1.7087703943252563,1.3673675060272217,1.359273076057434,1.326494574546814,1.4358596801757812,1.4703574180603027,1.6684199571609497,2.453489303588867,3.4819893836975098,5.063599586486816,1.336531639099121,1.2633988857269287,1.3644922971725464,1.4827615022659302,1.5980734825134277,1.6808580160140991,1.8080722093582153,1.9329543113708496,2.860419511795044,1.355387568473816,1.5786255598068237,0.8349047303199768,0.8499919772148132,0.8032583594322205,0.8445230722427368,0.9377508759498596,1.1603741645812988,1.4372098445892334,1.0823670625686646,3.8824925422668457,1.1657408475875854,1.3244770765304565,1.594561219215393,1.630591630935669,1.5774046182632446,1.4438247680664062,1.3121192455291748,1.3556462526321411,2.377629280090332,1.17917799949646,1.249215841293335,1.3302792310714722,1.2892295122146606,1.1765518188476562,1.1811535358428955,1.1696476936340332,1.1987662315368652,2.564488410949707
