method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,13.48835277557373,9.435896873474121,9.283427238464355,9.067122459411621,9.13439655303955,9.477433204650879,10.529990196228027,10.734295845031738,11.938106536865234,11.921365737915039,0.38037586212158203,0.3991054892539978,0.4340894818305969,0.4905187487602234,0.5564553141593933,0.6462496519088745,0.7137370109558105,0.7539917230606079,0.8508855104446411,44.1870002746582,21.142789840698242,0.15061941742897034,0.13592083752155304,0.10964513570070267,0.09118221700191498,0.0824434906244278,0.0793260708451271,0.07634572684764862,0.07409243285655975,0.054327867925167084,3.6693785190582275,4.306601524353027,5.989051342010498,7.852530002593994,9.743316650390625,11.069745063781738,12.626107215881348,13.094148635864258,12.763468742370605,2.547455072402954,3.029486656188965,4.119450092315674,5.1426849365234375,5.870893955230713,5.999899387359619,6.135776996612549,5.84823751449585,4.76779842376709
coord_deeponet,12.440187454223633,9.860384941101074,9.533823013305664,9.241538047790527,9.413407325744629,9.603849411010742,10.354514122009277,11.181051254272461,11.458271980285645,12.105713844299316,0.3616248369216919,0.3859226703643799,0.4292970597743988,0.4943091571331024,0.5554096698760986,0.6406986713409424,0.694952666759491,0.6992872953414917,0.7663776874542236,33.33440399169922,21.158445358276367,0.1779438853263855,0.15664006769657135,0.1360972374677658,0.10448699444532394,0.08665045350790024,0.09027136862277985,0.08179277181625366,0.0823131650686264,0.05626051500439644,4.154918670654297,4.98808479309082,6.707342147827148,8.373205184936523,10.377262115478516,11.95289421081543,14.062824249267578,14.759041786193848,15.771328926086426,3.0528571605682373,3.6562530994415283,4.746191024780273,5.8963494300842285,6.659434795379639,6.770803928375244,6.898660659790039,6.473033905029297,6.1047749519348145
coord_mlp,17.890859603881836,11.408123016357422,10.933935165405273,10.17419147491455,9.781962394714355,9.670254707336426,9.956981658935547,10.265717506408691,10.797725677490234,10.808610916137695,0.44638243317604065,0.4440763592720032,0.46610409021377563,0.5198211669921875,0.5795031189918518,0.6843419671058655,0.7475388050079346,0.7678078413009644,0.9351502060890198,61.54115676879883,30.044315338134766,0.17381884157657623,0.1601751744747162,0.14192204177379608,0.10849126428365707,0.09755034744739532,0.09136408567428589,0.09509988129138947,0.09297341108322144,0.05244090035557747,4.078742504119873,4.89907693862915,7.375825881958008,9.534621238708496,11.222212791442871,12.436225891113281,13.75075626373291,13.007265090942383,13.704231262207031,2.8632607460021973,3.5684828758239746,4.806313514709473,5.829801559448242,6.284232139587402,6.445905685424805,6.614576816558838,5.793429374694824,5.0766401290893555
gplfr,10.941039085388184,8.609880447387695,8.320980072021484,8.042713165283203,7.922245502471924,8.042122840881348,7.884167194366455,7.5310163497924805,8.093291282653809,10.082796096801758,0.3187926709651947,0.32412955164909363,0.3627071976661682,0.40847161412239075,0.45698875188827515,0.536550760269165,0.5943974852561951,0.6069380640983582,0.6865555047988892,29.18543815612793,19.12548828125,0.142659991979599,0.13112463057041168,0.1129239946603775,0.08147229254245758,0.07302305847406387,0.0738179013133049,0.0732436329126358,0.07278453558683395,0.05209127813577652,3.411254405975342,4.09917688369751,5.556619167327881,7.273407459259033,9.20677375793457,10.684626579284668,12.11308479309082,12.668301582336426,13.427008628845215,2.3644158840179443,2.8380494117736816,3.8508965969085693,4.737775802612305,5.32058048248291,5.564097881317139,5.904284477233887,5.807980060577393,4.944159030914307
knn,17.996686935424805,13.390661239624023,12.913599967956543,12.411617279052734,12.123831748962402,12.0149507522583,12.721235275268555,14.215078353881836,16.37652015686035,17.75925636291504,0.5015829801559448,0.5068535208702087,0.5665068626403809,0.6385449171066284,0.7133966684341431,0.8446792364120483,0.9546008110046387,0.9880455136299133,1.0425913333892822,37.31354904174805,26.77045440673828,0.1921888142824173,0.17463381588459015,0.14568854868412018,0.10833685845136642,0.09543945640325546,0.09436767548322678,0.09751168638467789,0.10064337402582169,0.061447374522686005,3.9513795375823975,4.831775665283203,7.009072780609131,9.273416519165039,11.63809585571289,13.125529289245605,14.132477760314941,14.538829803466797,14.600512504577637,2.9832284450531006,3.5654256343841553,4.818241596221924,5.843952178955078,6.442514419555664,6.571337699890137,6.955393314361572,6.565768718719482,5.32963228225708
pca_gbt,14.772111892700195,11.601754188537598,11.007132530212402,10.393087387084961,10.081978797912598,9.970986366271973,9.894221305847168,9.920331001281738,10.113956451416016,10.409371376037598,0.4088066816329956,0.4070044755935669,0.445487916469574,0.506468653678894,0.5660090446472168,0.6624679565429688,0.7251309156417847,0.7384382486343384,0.7657811045646667,33.37388229370117,23.038984298706055,0.1545952558517456,0.14596642553806305,0.12800206243991852,0.0930766835808754,0.08453892171382904,0.08266515284776688,0.0819854587316513,0.08095895498991013,0.05084114149212837,3.8367059230804443,4.645597457885742,6.55583381652832,8.44651985168457,10.43548583984375,11.778974533081055,12.919764518737793,13.785865783691406,14.791949272155762,2.716583013534546,3.27520751953125,4.502439022064209,5.582598686218262,6.205458164215088,6.2051849365234375,6.374115467071533,5.9321184158325195,5.140698432922363
pca_mlp,13.24254322052002,9.996889114379883,9.881937980651855,9.901424407958984,9.87017822265625,9.832052230834961,10.140326499938965,10.290536880493164,10.335026741027832,8.708810806274414,0.38535076379776,0.39656102657318115,0.44067299365997314,0.4873436689376831,0.5492282509803772,0.6393212080001831,0.6937273144721985,0.6844202280044556,0.7239958047866821,32.5714225769043,22.25307273864746,0.1562810242176056,0.1411736160516739,0.12044626474380493,0.08860200643539429,0.08284816890954971,0.08653031289577484,0.07818235456943512,0.08039259165525436,0.049941565841436386,3.9587185382843018,4.74599027633667,6.429006099700928,8.310173034667969,10.425043106079102,12.461076736450195,14.537463188171387,15.388806343078613,15.395973205566406,2.6843509674072266,3.2620646953582764,4.5525736808776855,5.660747051239014,6.316733360290527,6.5263447761535645,6.824449062347412,6.601336479187012,5.671629905700684
pca_ridge,16.49546241760254,12.66831111907959,12.1710844039917,11.513405799865723,11.265203475952148,11.366769790649414,11.853578567504883,13.123284339904785,16.13504981994629,17.83437156677246,0.4326134920120239,0.4336082339286804,0.47448962926864624,0.5479798913002014,0.6222405433654785,0.7431355714797974,0.8605745434761047,0.9593145251274109,1.052857518196106,38.9162712097168,27.7883243560791,0.17576466500759125,0.1639404445886612,0.1407690942287445,0.10624872148036957,0.09621556103229523,0.0950193703174591,0.09644117206335068,0.09182152897119522,0.060540247708559036,4.143808841705322,5.254538536071777,7.783012866973877,10.33710765838623,12.277355194091797,13.157879829406738,14.631052017211914,16.8369083404541,20.465829849243164,2.8472535610198975,3.5398035049438477,5.026381015777588,6.279464244842529,6.786571025848389,6.7732157707214355,6.703895092010498,6.301417350769043,5.777164459228516
ppca_icm,13.293638229370117,10.62505054473877,10.476680755615234,10.295045852661133,10.191133499145508,10.118905067443848,10.228507041931152,10.1581392288208,11.542662620544434,13.365053176879883,0.3875439465045929,0.39310476183891296,0.42547357082366943,0.47460851073265076,0.5354034900665283,0.6273611783981323,0.6893091797828674,0.7151497006416321,0.7760438323020935,34.048980712890625,22.72880744934082,0.15094967186450958,0.13888125121593475,0.11742868274450302,0.0897827222943306,0.08352264016866684,0.07928933948278427,0.0818144753575325,0.08314108103513718,0.052845388650894165,3.3600707054138184,4.03623104095459,5.604193687438965,7.584465980529785,9.75814151763916,11.141092300415039,12.477982521057129,12.978463172912598,13.679423332214355,2.330601930618286,2.809349536895752,3.7940890789031982,4.648426055908203,5.242293834686279,5.621264457702637,6.023059368133545,5.791096210479736,4.847654819488525
sfno,12.32436752319336,9.745759010314941,9.023241996765137,8.61491870880127,8.46463680267334,9.415656089782715,9.83787727355957,10.501416206359863,11.15998649597168,11.723779678344727,0.34434908628463745,0.34524625539779663,0.39909565448760986,0.492597758769989,0.5233055949211121,0.610446035861969,0.6535190343856812,0.6486378312110901,0.6875758767127991,36.518653869628906,22.126258850097656,0.1589694321155548,0.14450868964195251,0.11678450554609299,0.09513450413942337,0.08512704819440842,0.08525452762842178,0.07674594223499298,0.08226407319307327,0.05620863661170006,3.7326018810272217,4.351794719696045,5.915363311767578,7.719151496887207,9.658363342285156,11.351308822631836,13.355509757995605,13.729228019714355,14.599177360534668,2.5475339889526367,3.0446367263793945,4.167149543762207,5.205259323120117,5.8242340087890625,6.070499897003174,6.401480197906494,6.12587833404541,5.359786510467529
