method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,14.205312728881836,11.304611841837565,0.6369448237948947,0.10995104495022032,10.766391595204672,5.772865189446343,46.956703186035156,22.590017318725586
coord_deeponet,12.962750434875488,10.808631155225966,0.5892416305012174,0.1261010037528144,12.165185345543755,6.79385166698032,35.54490661621094,22.629642486572266
coord_mlp,19.061412811279297,11.359407318962944,0.6761865615844727,0.1341259545750088,11.900324821472168,6.202304734124078,67.55104064941406,33.32121658325195
gplfr,11.15224838256836,8.620558102925619,0.49804072247611153,0.10363278124067518,10.470781432257759,5.445372157626682,30.729442596435547,20.22093963623047
knn,18.354816436767578,14.173099517822266,0.7762070894241333,0.1390013595422109,12.479639424218071,6.66988107893202,39.643516540527344,29.156387329101562
pca_gbt,15.061171531677246,10.724465052286783,0.6108817855517069,0.11487993391023742,11.932799869113499,6.162878036499023,35.177162170410156,24.626052856445312
pca_mlp,13.549528121948242,10.269323878818089,0.5827140940560235,0.11265627418955167,12.257584889729818,6.448560396830241,34.45056915283203,23.803674697875977
pca_ridge,16.810571670532227,13.548356056213379,0.7112659613291422,0.13100250562032065,14.150750637054443,6.564408514234755,40.75292205810547,29.608783721923828
ppca_icm,13.511125564575195,11.099032084147135,0.5801612039407095,0.11149000169502364,10.63413241174486,5.323085281583998,36.15418243408203,24.21262550354004
sfno,12.793209075927734,10.719567086961534,0.5631437798341116,0.11492333561182022,11.29504468705919,6.018363502290514,38.56931686401367,23.94232749938965
train_mean,21.897855758666992,17.997387250264484,0.9648008081648085,0.15802113049560124,16.484316719902885,8.123191568586561,52.849632263183594,39.44237518310547
