method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,1.0101783275604248,1.259542465209961,1.0531730651855469,1.3798331022262573,4.340178966522217,1.227585792541504,1.000024676322937,1.1218253374099731
coord_deeponet,1.0079567432403564,1.4392434358596802,1.1811755895614624,1.317315936088562,4.038216590881348,1.1800442934036255,1.004269003868103,1.1330363750457764
coord_mlp,0.9728449583053589,1.1905547380447388,1.014419674873352,1.2910958528518677,4.38097620010376,1.1332173347473145,0.9869126677513123,1.0127254724502563
gplfr,1.0495890378952026,1.6630651950836182,1.2819619178771973,1.4229494333267212,4.586854934692383,1.3425354957580566,1.0052367448806763,1.175355076789856
knn,1.0399224758148193,1.6339424848556519,1.2437727451324463,1.2991242408752441,4.291323661804199,1.155815601348877,1.0034050941467285,1.0610970258712769
pca_gbt,1.0318855047225952,1.4951903820037842,1.2087769508361816,1.364163875579834,4.304737091064453,1.1581454277038574,1.004947304725647,1.1082838773727417
pca_mlp,1.018587589263916,1.545180082321167,1.2182308435440063,1.3770281076431274,4.175065040588379,1.1633838415145874,1.0046824216842651,1.1465542316436768
pca_ridge,1.0441426038742065,1.2042659521102905,1.2301877737045288,1.3152459859848022,4.336588382720947,1.214065670967102,1.0048893690109253,1.1154990196228027
ppca_icm,1.05392587184906,1.624626636505127,1.2784373760223389,1.4027342796325684,5.058389663696289,1.3230952024459839,1.0048081874847412,1.1407489776611328
sfno,1.038143277168274,1.345571756362915,1.1559056043624878,1.4246279001235962,4.198129653930664,1.202917218208313,1.0033953189849854,1.119178295135498
train_mean,1.0260637998580933,1.102432370185852,1.1396478414535522,1.1762183904647827,3.798032522201538,1.0289613008499146,1.0038453340530396,0.9924027919769287
