method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,13.48835277557373,10.169114960564507,0.5806009769439697,0.09487813297245237,9.012705299589369,4.829075892766316,44.1870002746582,21.142789840698242
coord_deeponet,12.440187454223633,10.305839326646593,0.558653301662869,0.10805071766177814,10.127433564927843,5.5842621061537,33.33440399169922,21.158445358276367
coord_mlp,17.890859603881836,10.421944724188911,0.6211917764610715,0.11264843866229057,10.000995318094889,5.253626982371013,61.54115676879883,30.044315338134766
gplfr,10.941039085388184,8.281023661295572,0.4772812889681922,0.09034903513060676,8.715583695305718,4.592471069759792,29.18543815612793,19.12548828125
knn,17.996686935424805,13.769639015197754,0.7507557604047987,0.1189175115691291,10.344565523995293,5.4528326988220215,37.31354904174805,26.77045440673828
pca_gbt,14.772111892700195,10.376979933844673,0.5806216663784451,0.10029222857620981,9.688521888520983,5.103822628657023,33.37388229370117,23.038984298706055
pca_mlp,13.24254322052002,9.88413143157959,0.5556245843569437,0.09826643392443657,10.183583392037285,5.344469997617933,32.5714225769043,22.25307273864746
pca_ridge,16.49546241760254,13.10345098707411,0.6807571053504944,0.1140845339331362,11.654165903727213,5.559462891684638,38.9162712097168,27.7883243560791
ppca_icm,13.293638229370117,10.777908643086752,0.5582220190101199,0.09751725031269921,8.957784917619493,4.567537254757351,34.048980712890625,22.72880744934082
sfno,12.32436752319336,9.831919140285915,0.5227525697814094,0.10011081770062447,9.379166523615519,4.971828725602892,36.518653869628906,22.126258850097656
train_mean,21.307838439941406,17.489361657036675,0.9221348298920525,0.13643640693691042,13.974555598364937,6.581748618019952,50.493892669677734,36.54662322998047
