method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,0.9361318349838257,0.5143472436401579,0.7084005276362101,0.7351050509346856,0.6996061835024092,0.6947195596165128,0.9924069046974182,0.8654709458351135
coord_deeponet,0.9368625283241272,0.5867087443669637,0.7898882528146108,0.7007850805918375,0.6711871557765536,0.6532258954313066,0.9955719113349915,0.8595300316810608
coord_mlp,0.9054863452911377,0.46530694100591874,0.674121446079678,0.6480442252424028,0.604392452372445,0.643330819076962,0.9780742526054382,0.732511579990387
gplfr,0.9722144603729248,0.7011972996923659,0.8498134613037109,0.7556723157564799,0.7420301106241014,0.7044226394759284,0.996769905090332,0.8947253823280334
knn,0.9654809832572937,0.6342694527573056,0.8136130902502272,0.6779088874657949,0.6570837994416555,0.646983289056354,0.9949024319648743,0.8208117485046387
pca_gbt,0.959563136100769,0.6422090232372284,0.8128402431805929,0.7191563480430179,0.6772597663932376,0.6489001082049476,0.9963695406913757,0.8563331961631775
pca_mlp,0.941484272480011,0.6580848197142283,0.8119600945048862,0.7251313726107279,0.678119937578837,0.6540153324604034,0.9961483478546143,0.8508525490760803
pca_ridge,0.9655753374099731,0.487446849544843,0.8000617954466078,0.6547026038169861,0.6095254586802589,0.6291938457224104,0.9956196546554565,0.8239115476608276
ppca_icm,0.9726523160934448,0.6633215745290121,0.8346795505947537,0.7355659339163039,0.7228677140341865,0.683945831325319,0.9962651133537292,0.8651459217071533
sfno,0.9623509645462036,0.5513725959592395,0.7684932251771291,0.7358409828609891,0.7144486241870456,0.6905434131622314,0.9951663017272949,0.852986752986908
train_mean,0.9409279227256775,0.4220661206377877,0.7265633675787184,0.5792710251278348,0.5369469755225711,0.5552485618326399,0.9942466020584106,0.7143141031265259
