method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,0.9361318349838257,0.8584575057029724,0.827337384223938,0.7501243352890015,0.6193539500236511,0.40473026037216187,0.272215336561203,0.3691626191139221,0.3354525566101074,0.1922912448644638,0.8899621367454529,0.8715206980705261,0.8190487027168274,0.78158038854599,0.7835010886192322,0.781394898891449,0.7163988351821899,0.5548628568649292,0.17733514308929443,0.9924069046974182,0.8654709458351135,0.7318768501281738,0.7455597519874573,0.7838197350502014,0.809627115726471,0.8146308064460754,0.7965704202651978,0.7567223906517029,0.6830652356147766,0.49407315254211426,0.8252741694450378,0.7758283019065857,0.7071256041526794,0.7098364233970642,0.7402547001838684,0.7418575286865234,0.7134391665458679,0.6358990669250488,0.44694069027900696,0.7673839926719666,0.7260422110557556,0.6757851243019104,0.6956731081008911,0.7386017441749573,0.7660112977027893,0.7140184640884399,0.6689103841781616,0.5000497102737427
coord_deeponet,0.9368625283241272,0.8932344913482666,0.868632435798645,0.7644693851470947,0.693927526473999,0.5431546568870544,0.32156607508659363,0.43419507145881653,0.48846742510795593,0.27273163199424744,0.9007779359817505,0.8891087770462036,0.8630039095878601,0.8403338193893433,0.8345252275466919,0.8379583358764648,0.7904594540596008,0.7264779210090637,0.42634889483451843,0.9955719113349915,0.8595300316810608,0.6237027049064636,0.6739872097969055,0.7413665652275085,0.7756004929542542,0.7846174240112305,0.7797483205795288,0.7502745389938354,0.6671034693717957,0.5106649994850159,0.7870019674301147,0.7369276285171509,0.6690623760223389,0.6886578798294067,0.7109382748603821,0.7181986570358276,0.6778898239135742,0.5905164480209351,0.46149134635925293,0.7161805629730225,0.6697307825088501,0.6367166638374329,0.6568754315376282,0.7127653956413269,0.7359539866447449,0.6861051321029663,0.5892735719680786,0.47543153166770935
coord_mlp,0.9054863452911377,0.8398358821868896,0.7973181009292603,0.6784720420837402,0.5196394324302673,0.3915116786956787,0.22685502469539642,0.259453147649765,0.31214621663093567,0.16253094375133514,0.8562489151954651,0.8234517574310303,0.77285236120224,0.7486122846603394,0.7507505416870117,0.7375685572624207,0.6455512642860413,0.50785893201828,0.22419840097427368,0.9780742526054382,0.732511579990387,0.551973819732666,0.5939987897872925,0.6697781682014465,0.7425965666770935,0.7557206749916077,0.7379588484764099,0.6997624039649963,0.6216967701911926,0.4589119851589203,0.7716168761253357,0.7112457752227783,0.6313628554344177,0.6285375952720642,0.6218991279602051,0.6123234629631042,0.5878234505653381,0.5294936895370483,0.34522923827171326,0.6959272623062134,0.6319946050643921,0.5879472494125366,0.6316587328910828,0.7078031301498413,0.7258412837982178,0.6760398745536804,0.6482919454574585,0.4844732880592346
gplfr,0.9722144603729248,0.9254903197288513,0.9131410121917725,0.8864543437957764,0.8296807408332825,0.7081180810928345,0.5235393643379211,0.5731462836265564,0.5568186044692993,0.3943869471549988,0.9416884779930115,0.9296413660049438,0.9060360193252563,0.8942248225212097,0.8923234343528748,0.880450963973999,0.8578550219535828,0.8042421340942383,0.5418589115142822,0.996769905090332,0.8947253823280334,0.7516075372695923,0.7737101912498474,0.8042697310447693,0.8392868041992188,0.8330822587013245,0.8042397499084473,0.7696109414100647,0.6933352947235107,0.5319083333015442,0.8444554805755615,0.7999783754348755,0.7488874197006226,0.7589452862739563,0.7717742919921875,0.7572685480117798,0.740155041217804,0.6757338047027588,0.5810727477073669,0.7871469259262085,0.7558367252349854,0.7056722640991211,0.7151188850402832,0.7434306144714355,0.7697113156318665,0.7223929166793823,0.6495216488838196,0.49097245931625366
knn,0.9654809832572937,0.9056288599967957,0.8909077644348145,0.8672019243240356,0.8043705821037292,0.577019453048706,0.3943665027618408,0.5020086169242859,0.45251139998435974,0.3144099712371826,0.9234927892684937,0.9047821760177612,0.860981822013855,0.8381533026695251,0.8528785109519958,0.8542172908782959,0.831842303276062,0.7556304335594177,0.5005391836166382,0.9949024319648743,0.8208117485046387,0.6207412481307983,0.6411369442939758,0.7159969806671143,0.7618482708930969,0.7703074812889099,0.7506539225578308,0.715279757976532,0.6504078507423401,0.4748075306415558,0.7814029455184937,0.7231720685958862,0.6738885641098022,0.6742119193077087,0.6768394112586975,0.6945385336875916,0.6665878891944885,0.5848971009254456,0.4382157623767853,0.6927878856658936,0.6315403580665588,0.5932310819625854,0.639200747013092,0.6994975209236145,0.7392276525497437,0.6998733282089233,0.6287647485733032,0.4987262785434723
pca_gbt,0.959563136100769,0.8946629166603088,0.8771059513092041,0.8326860666275024,0.7737045288085938,0.6249527335166931,0.445250540971756,0.48881182074546814,0.5254584550857544,0.3172481954097748,0.9182527661323547,0.9034257531166077,0.8684027194976807,0.8526489734649658,0.8531304001808167,0.85808926820755,0.8327563405036926,0.7623897194862366,0.4664662480354309,0.9963695406913757,0.8563331961631775,0.6866393089294434,0.706610918045044,0.7753679752349854,0.8184077143669128,0.805244505405426,0.7854769229888916,0.7412522435188293,0.670135498046875,0.4832720458507538,0.7970238924026489,0.7310648560523987,0.6743556261062622,0.6949432492256165,0.7081335783004761,0.7045189142227173,0.6987516283988953,0.6329761147499084,0.45357003808021545,0.725201427936554,0.6719381213188171,0.6216779351234436,0.6397848129272461,0.6847197413444519,0.7329780459403992,0.6896580457687378,0.6235854625701904,0.4505573809146881
pca_mlp,0.941484272480011,0.9160998463630676,0.895997166633606,0.8366496562957764,0.7666992545127869,0.6230478882789612,0.4303840100765228,0.49961206316947937,0.571499764919281,0.3827737271785736,0.913168728351593,0.8974354863166809,0.8576401472091675,0.8403656482696533,0.8345301151275635,0.8388663530349731,0.8247635364532471,0.7683964371681213,0.5324743986129761,0.9961483478546143,0.8508525490760803,0.6992825865745544,0.7259112000465393,0.7574717402458191,0.7966411709785461,0.809493362903595,0.7928462028503418,0.7542646527290344,0.6819384694099426,0.5083329677581787,0.8036282062530518,0.7478551268577576,0.6897934079170227,0.6938181519508362,0.7167146801948547,0.7135038375854492,0.6748489141464233,0.6062028408050537,0.4567142724990845,0.7393954396247864,0.6883552670478821,0.6289740800857544,0.6630329489707947,0.7067824602127075,0.7189934849739075,0.6655125617980957,0.6207086443901062,0.45438310503959656
pca_ridge,0.9655753374099731,0.8942248225212097,0.8718900084495544,0.8157134652137756,0.7075350880622864,0.45954233407974243,0.12419585883617401,0.17416730523109436,0.20875173807144165,0.13100102543830872,0.9100882411003113,0.8913202285766602,0.8522987961769104,0.8290858864784241,0.8299759030342102,0.8323781490325928,0.8191586136817932,0.7671623826026917,0.46908795833587646,0.9956196546554565,0.8239115476608276,0.5901349186897278,0.6153967976570129,0.6907660961151123,0.7433603405952454,0.7560873031616211,0.7291620373725891,0.6828540563583374,0.6195273399353027,0.465034544467926,0.76337069272995,0.6843335628509521,0.5919164419174194,0.6069136261940002,0.6268988847732544,0.6488927602767944,0.6513376235961914,0.5695671439170837,0.34249839186668396,0.6894901990890503,0.6274343729019165,0.574564516544342,0.5891538262367249,0.6779330968856812,0.7082032561302185,0.6673195958137512,0.6467437148094177,0.48190203309059143
ppca_icm,0.9726523160934448,0.9197490215301514,0.9025715589523315,0.8452963829040527,0.7832188606262207,0.6489669680595398,0.4855465590953827,0.5220814943313599,0.5122798681259155,0.3501834571361542,0.9372075200080872,0.9236255288124084,0.8935434222221375,0.8756809830665588,0.8703935146331787,0.8684477210044861,0.8542563319206238,0.7847014665603638,0.504259467124939,0.9962651133537292,0.8651459217071533,0.7165502905845642,0.7545939683914185,0.7910358309745789,0.8148486018180847,0.8029974102973938,0.7830833196640015,0.7499545216560364,0.6858575940132141,0.5211718678474426,0.8378156423568726,0.7929648756980896,0.7348563075065613,0.7306416034698486,0.7489275932312012,0.7461992502212524,0.7251008749008179,0.6634684801101685,0.5258347988128662,0.7669754028320312,0.731330156326294,0.6893031597137451,0.6936808228492737,0.7284543514251709,0.7519274353981018,0.713785707950592,0.6281733512878418,0.45188209414482117
sfno,0.9623509645462036,0.8773335814476013,0.8552755117416382,0.741216778755188,0.6654664278030396,0.5185902714729309,0.3346301019191742,0.3501707911491394,0.3910667598247528,0.22860313951969147,0.919333279132843,0.9055280089378357,0.8748243451118469,0.8415408730506897,0.8381139636039734,0.8225898146629333,0.8085684776306152,0.6491690874099731,0.25677117705345154,0.9951663017272949,0.852986752986908,0.7158803343772888,0.7365940809249878,0.7840515375137329,0.8142015337944031,0.818930447101593,0.801421046257019,0.7682113647460938,0.6830636262893677,0.5002148747444153,0.8352195024490356,0.7886494398117065,0.7234581112861633,0.7301783561706543,0.7532883882522583,0.7549287676811218,0.7194637060165405,0.6342173218727112,0.490634024143219,0.7517361044883728,0.7141038179397583,0.6844756603240967,0.7013087272644043,0.7454838752746582,0.769353449344635,0.7040863633155823,0.6606629490852356,0.48367977142333984
