method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,13.350198745727539,9.891469955444336,9.943581581115723,9.69521713256836,9.85762882232666,10.06126594543457,11.171375274658203,11.560805320739746,13.606266021728516,14.623363494873047,0.3934064507484436,0.3991045653820038,0.42171236872673035,0.4693116247653961,0.5385908484458923,0.6224878430366516,0.6717724800109863,0.7369938492774963,0.8743410706520081,39.22679901123047,19.2075252532959,0.16631993651390076,0.14887091517448425,0.12456374615430832,0.09824653714895248,0.08268650621175766,0.07747217267751694,0.07405322790145874,0.06719085574150085,0.05316012352705002,3.8712031841278076,4.425122261047363,6.287609577178955,8.515157699584961,10.300349235534668,11.829846382141113,14.417762756347656,15.315437316894531,17.481210708618164,2.531313896179199,2.9871997833251953,4.0690083503723145,5.172732830047607,5.895296573638916,6.013583660125732,6.363492488861084,6.123945713043213,5.198857307434082
coord_deeponet,10.8251314163208,8.755108833312988,8.512330055236816,8.217660903930664,8.2609224319458,8.498738288879395,9.4971923828125,10.89011001586914,10.917640686035156,12.149309158325195,0.3396347165107727,0.3514377474784851,0.3806089162826538,0.42807862162590027,0.4793705344200134,0.5539639592170715,0.6107847690582275,0.6393197178840637,0.69098961353302,30.454919815063477,19.092266082763672,0.20454414188861847,0.17467643320560455,0.14567232131958008,0.11560734361410141,0.09296590834856033,0.08949928730726242,0.08003848046064377,0.07704441249370575,0.05794461816549301,4.3130879402160645,5.2366509437561035,7.19403076171875,9.042737007141113,11.075823783874512,12.67261791229248,15.909789085388184,16.701515197753906,19.391189575195312,3.123737096786499,3.6663689613342285,4.616781234741211,5.885864734649658,6.580804824829102,6.699174880981445,7.076476573944092,6.965379238128662,6.764049530029297
coord_mlp,17.90898323059082,11.916949272155762,11.423157691955566,10.840371131896973,10.4431734085083,10.356624603271484,10.445074081420898,11.200386047363281,12.953147888183594,14.561896324157715,0.47012564539909363,0.47629934549331665,0.5054535865783691,0.5612760186195374,0.6075537204742432,0.6926551461219788,0.7517654895782471,0.8054647445678711,1.0118685960769653,64.114013671875,29.680776596069336,0.2192038595676422,0.1991932988166809,0.16971229016780853,0.13218927383422852,0.11034175008535385,0.10248319059610367,0.0976889356970787,0.08972875028848648,0.05779370293021202,4.603551864624023,5.406940460205078,7.875303268432617,10.489344596862793,12.664978981018066,14.208819389343262,16.788122177124023,16.99506187438965,19.195209503173828,2.9618687629699707,3.582554578781128,4.910791397094727,6.034286022186279,6.543088912963867,6.858851432800293,7.2351837158203125,6.562047958374023,5.860867023468018
gplfr,9.935306549072266,8.504191398620605,8.264720916748047,7.874205589294434,7.587491989135742,7.487035274505615,7.358467102050781,7.561811923980713,9.735808372497559,11.562104225158691,0.2974057197570801,0.30329257249832153,0.33643054962158203,0.37124505639076233,0.4048442542552948,0.4484787583351135,0.5024450421333313,0.5305678248405457,0.597561240196228,23.53392791748047,16.53032684326172,0.15358686447143555,0.1413811296224594,0.12215425819158554,0.0901249572634697,0.07626655697822571,0.07398322969675064,0.06989628821611404,0.06925324350595474,0.05085352808237076,3.5502243041992188,4.340085506439209,5.7891435623168945,7.754340171813965,9.526983261108398,11.05217456817627,13.980067253112793,14.770597457885742,16.881744384765625,2.3533196449279785,2.8057072162628174,3.934429168701172,4.892944812774658,5.509049892425537,5.7958173751831055,6.356370449066162,6.357544898986816,5.468748092651367
knn,19.871597290039062,15.209155082702637,14.865213394165039,14.449455261230469,14.140854835510254,14.206351280212402,14.960169792175293,16.103300094604492,17.980710983276367,18.220041275024414,0.5837441682815552,0.5913724303245544,0.6227110028266907,0.6795175671577454,0.755531370639801,0.8724486231803894,0.9690359234809875,0.9940224885940552,0.9980641007423401,33.45427703857422,26.431556701660156,0.20728044211864471,0.1928870677947998,0.16298364102840424,0.12098768353462219,0.10533065348863602,0.10123708099126816,0.09512849897146225,0.09410703182220459,0.06078207865357399,4.406721115112305,5.507576942443848,7.814430236816406,10.604031562805176,12.561615943908691,14.144338607788086,17.138290405273438,18.593305587768555,20.582754135131836,3.1389360427856445,3.876845121383667,5.098071098327637,6.504795551300049,7.2631635665893555,7.433272361755371,7.706483364105225,7.321372985839844,5.971909046173096
pca_gbt,13.377137184143066,11.154593467712402,10.745932579040527,10.153039932250977,9.757942199707031,9.507314682006836,9.452421188354492,9.449579238891602,10.781352043151855,11.932291030883789,0.3902631998062134,0.39533892273902893,0.42473655939102173,0.46748945116996765,0.5136734247207642,0.5849022269248962,0.6394842863082886,0.6852030754089355,0.7375661730766296,27.764970779418945,20.618206024169922,0.17193223536014557,0.16023090481758118,0.1325950026512146,0.09913528710603714,0.08820117264986038,0.08331165462732315,0.07948065549135208,0.07554557174444199,0.05348534509539604,4.045304298400879,4.962692737579346,6.8457722663879395,9.036086082458496,10.859004020690918,12.041563987731934,14.523118019104004,15.57776927947998,19.650196075439453,2.692671537399292,3.2811191082000732,4.650383949279785,5.8225626945495605,6.520178318023682,6.4713544845581055,6.839832305908203,6.676473617553711,5.892859935760498
pca_mlp,12.645742416381836,9.619073867797852,9.478450775146484,9.4202241897583,9.227678298950195,9.066923141479492,9.429750442504883,10.428218841552734,11.801264762878418,11.684744834899902,0.3794974088668823,0.38933423161506653,0.42305296659469604,0.4563080668449402,0.5062972903251648,0.578521728515625,0.6277995109558105,0.6428037285804749,0.695746898651123,27.182584762573242,20.31695556640625,0.18084631860256195,0.16140098869800568,0.13963724672794342,0.102241151034832,0.08719569444656372,0.08662091940641403,0.0798405110836029,0.07628017663955688,0.051952991634607315,4.055730819702148,4.918360710144043,6.642253398895264,8.837392807006836,10.84376049041748,12.428548812866211,15.628358840942383,17.36981201171875,20.630117416381836,2.7506372928619385,3.3900768756866455,4.645522117614746,5.760382175445557,6.409148693084717,6.601131916046143,7.095636367797852,7.059512138366699,6.505377292633057
pca_ridge,16.513559341430664,13.889698028564453,13.609535217285156,13.115509986877441,12.694952011108398,12.426735877990723,12.075995445251465,12.952625274658203,16.377153396606445,19.322715759277344,0.48745906352996826,0.4902385473251343,0.5183057188987732,0.5792186260223389,0.6513224244117737,0.7353482842445374,0.8035573959350586,0.8700439929962158,0.9699708223342896,33.96530532836914,26.01255226135254,0.2211492657661438,0.20702910423278809,0.16916653513908386,0.1266508251428604,0.1103365421295166,0.1054840013384819,0.10212522745132446,0.09430169314146042,0.06523306667804718,4.694342136383057,5.82922887802124,8.656543731689453,11.662373542785645,14.094118118286133,15.576874732971191,18.803672790527344,20.95551300048828,27.097537994384766,3.0189149379730225,3.7921080589294434,5.4398884773254395,6.82068395614624,7.465036869049072,7.682058811187744,8.049339294433594,7.754744052886963,7.298464298248291
ppca_icm,11.462922096252441,9.72445297241211,9.582809448242188,9.385560989379883,9.117939949035645,8.843406677246094,8.905366897583008,9.220062255859375,11.598668098449707,12.972810745239258,0.34581637382507324,0.3522138297557831,0.3803540766239166,0.4207537770271301,0.467185914516449,0.5275588631629944,0.5681353211402893,0.6002141237258911,0.6725125312805176,27.91143226623535,19.57210350036621,0.16466815769672394,0.15014441311359406,0.1266028732061386,0.09857268631458282,0.08764368295669556,0.07966221868991852,0.07719235867261887,0.07686418294906616,0.05134803429245949,3.7915170192718506,4.568966388702393,6.249744415283203,8.306869506835938,10.256038665771484,11.56721019744873,14.233891487121582,15.114258766174316,18.152612686157227,2.568657398223877,3.066779851913452,4.205595970153809,5.238577842712402,5.941366195678711,6.203492641448975,6.525051116943359,6.370905876159668,5.475773811340332
sfno,12.488448143005371,10.146520614624023,9.787836074829102,9.607210159301758,9.381375312805176,10.055718421936035,10.16739273071289,10.944794654846191,12.1227445602417,13.529277801513672,0.3763871490955353,0.3691859543323517,0.4044134318828583,0.4628479778766632,0.5052906274795532,0.589379072189331,0.6104987263679504,0.6512049436569214,0.7164405584335327,32.53375244140625,20.587217330932617,0.17553025484085083,0.15849490463733673,0.13150717318058014,0.10160023719072342,0.08582346886396408,0.08460821956396103,0.07617675513029099,0.07349836826324463,0.05489102005958557,3.944575071334839,4.696213722229004,6.312607288360596,8.424250602722168,10.44058609008789,11.981704711914062,15.193230628967285,16.09577751159668,19.129182815551758,2.6513400077819824,3.1613929271698,4.0256171226501465,5.2424516677856445,5.849778175354004,6.090446949005127,6.598071575164795,6.3637261390686035,5.933902263641357
