method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,12.685680389404297,9.15949821472168,9.088949203491211,8.903461456298828,8.882269859313965,8.830678939819336,9.687260627746582,10.457154273986816,12.201780319213867,12.839558601379395,0.36556142568588257,0.3699430227279663,0.38775694370269775,0.4261869490146637,0.48824089765548706,0.5702669024467468,0.6110979914665222,0.6742987632751465,0.7583701610565186,36.59822463989258,17.667041778564453,0.1417475938796997,0.12849462032318115,0.10390608757734299,0.08514311909675598,0.07278488576412201,0.06914414465427399,0.06520029902458191,0.05844338610768318,0.04492201283574104,3.2227463722229004,3.8082785606384277,5.335615158081055,7.207833766937256,8.89880084991455,10.301789283752441,11.749225616455078,12.721508979797363,14.203030586242676,2.1268296241760254,2.532097339630127,3.472438097000122,4.3368682861328125,4.89577054977417,5.082703590393066,5.292111396789551,4.997893333435059,4.278928279876709
coord_deeponet,10.37130069732666,8.350906372070312,8.101308822631836,7.826406955718994,7.853590965270996,7.943309783935547,9.047454833984375,10.56318473815918,10.48411750793457,11.146933555603027,0.3199180066585541,0.32787850499153137,0.35264351963996887,0.3983249366283417,0.446135014295578,0.5214811563491821,0.580238401889801,0.6146363019943237,0.6666393280029297,28.24137306213379,17.606109619140625,0.1669115275144577,0.14638157188892365,0.12248765677213669,0.09821774810552597,0.0796995609998703,0.0788159891963005,0.07021451741456985,0.06772013008594513,0.04940429702401161,3.6304008960723877,4.337677478790283,5.875399589538574,7.561929702758789,9.452616691589355,10.913127899169922,12.76140022277832,13.729480743408203,15.465014457702637,2.5358402729034424,2.9879441261291504,3.899507999420166,4.824174404144287,5.37852668762207,5.587512016296387,5.815113544464111,5.571182727813721,5.304581642150879
coord_mlp,16.7823486328125,11.252448081970215,10.687227249145508,10.023377418518066,9.553006172180176,9.329050064086914,9.364875793457031,10.191323280334473,11.817122459411621,13.186643600463867,0.4392327070236206,0.4388047754764557,0.4576907455921173,0.5028156638145447,0.5461505055427551,0.6384273171424866,0.7038756012916565,0.751093327999115,0.9465939402580261,57.73263168334961,26.59894561767578,0.17646746337413788,0.16118879616260529,0.13947662711143494,0.10907336324453354,0.09404468536376953,0.08850888162851334,0.08517488092184067,0.07792484760284424,0.048417117446660995,3.8474080562591553,4.54498291015625,6.85698127746582,9.065244674682617,10.801267623901367,12.141593933105469,13.825460433959961,14.338179588317871,16.057350158691406,2.462660074234009,3.00789737701416,4.069561958312988,5.052234649658203,5.550819396972656,5.873140811920166,6.106895923614502,5.546769142150879,4.927961349487305
gplfr,9.730849266052246,8.225011825561523,7.975505828857422,7.59571647644043,7.305720329284668,7.077938079833984,7.035211086273193,7.333448886871338,9.465238571166992,11.289510726928711,0.2850063443183899,0.28830185532569885,0.3160554766654968,0.34858009219169617,0.37884795665740967,0.42768383026123047,0.4837980568408966,0.5173516869544983,0.5845926403999329,22.14569854736328,15.449631690979004,0.1330694705247879,0.12206019461154938,0.10436821728944778,0.07865813374519348,0.06759033352136612,0.0655054822564125,0.06159216910600662,0.059032272547483444,0.04378069192171097,3.023409843444824,3.6312735080718994,4.969524383544922,6.664248466491699,8.378034591674805,9.781983375549316,11.24295425415039,12.185850143432617,13.855622291564941,2.0205135345458984,2.4396867752075195,3.3460769653320312,4.155586242675781,4.62543249130249,4.941019535064697,5.281146049499512,5.142159461975098,4.4999003410339355
knn,19.577972412109375,14.869678497314453,14.498135566711426,14.063441276550293,13.79982852935791,13.816040992736816,14.586530685424805,15.80022144317627,17.642807006835938,17.876956939697266,0.5684555768966675,0.5728368759155273,0.5991880297660828,0.6536250710487366,0.7281484007835388,0.8465616106987,0.9502576589584351,0.983140230178833,0.9862587451934814,31.460647583007812,23.77284812927246,0.1761699914932251,0.1622733622789383,0.13706859946250916,0.10296659916639328,0.0898529663681984,0.08787958323955536,0.08224987238645554,0.07857287675142288,0.049914974719285965,3.7194700241088867,4.528160095214844,6.447333335876465,8.608070373535156,10.648430824279785,12.224853515625,13.887340545654297,15.259414672851562,16.151790618896484,2.593414068222046,3.117461919784546,4.226324558258057,5.228307247161865,5.782329559326172,6.107029438018799,6.358487129211426,5.858030319213867,4.830942153930664
pca_gbt,13.123454093933105,10.823357582092285,10.415346145629883,9.847797393798828,9.488082885742188,9.197332382202148,9.168636322021484,9.123639106750488,10.499337196350098,11.665726661682129,0.37366318702697754,0.3758602738380432,0.3983575105667114,0.4383966326713562,0.4816219210624695,0.5556480884552002,0.6171931028366089,0.6652727723121643,0.7156397700309753,26.175758361816406,19.12456512451172,0.14830514788627625,0.13768719136714935,0.11495917290449142,0.08675011247396469,0.07763529568910599,0.07362636923789978,0.06974571198225021,0.06573466211557388,0.04448767751455307,3.399075984954834,4.114462852478027,5.780974388122559,7.571656227111816,9.296394348144531,10.49230670928955,11.801094055175781,13.130367279052734,15.052711486816406,2.2799301147460938,2.7517123222351074,3.82653546333313,4.796428680419922,5.338308811187744,5.4838643074035645,5.694573402404785,5.314943790435791,4.736226558685303
pca_mlp,12.31664752960205,9.31834888458252,9.172639846801758,9.109066009521484,8.92131233215332,8.6449613571167,9.034631729125977,10.12070369720459,11.551029205322266,11.231132507324219,0.36408731341362,0.37048855423927307,0.3968713879585266,0.4252992868423462,0.4706932604312897,0.5490568280220032,0.6053830981254578,0.6252627372741699,0.6800649166107178,25.370885848999023,18.65996742248535,0.1546919047832489,0.14104056358337402,0.11911477148532867,0.08848775923252106,0.07680864632129669,0.07768110185861588,0.07033281773328781,0.06702832877635956,0.04524075612425804,3.467984199523926,4.139196872711182,5.661014080047607,7.527084827423096,9.382842063903809,11.01292610168457,12.871768951416016,14.3507080078125,16.501930236816406,2.351010322570801,2.829216241836548,3.89674711227417,4.8631591796875,5.3527913093566895,5.614915370941162,5.874191761016846,5.619557857513428,5.187893867492676
pca_ridge,16.213733673095703,13.59585189819336,13.292617797851562,12.784579277038574,12.342576026916504,11.952312469482422,11.488678932189941,12.39248275756836,15.974791526794434,19.06866455078125,0.47150641679763794,0.4679953157901764,0.4855208396911621,0.540969729423523,0.6089242100715637,0.7032898664474487,0.7811014652252197,0.8549118041992188,0.9568333029747009,32.164276123046875,24.0283203125,0.18767675757408142,0.17441874742507935,0.14504137635231018,0.10991008579730988,0.09630388021469116,0.0928991287946701,0.08938180655241013,0.0821114033460617,0.0554390512406826,3.9248008728027344,4.95777702331543,7.334043979644775,9.996209144592285,12.292498588562012,13.791213989257812,15.699251174926758,17.575481414794922,20.489078521728516,2.5310287475585938,3.113424777984619,4.456554412841797,5.694383144378662,6.279182434082031,6.524964332580566,6.694532871246338,6.35878324508667,5.88387393951416
ppca_icm,11.19845962524414,9.471969604492188,9.315515518188477,9.057106018066406,8.802632331848145,8.44155502319336,8.573060035705566,8.951885223388672,11.154568672180176,12.586213111877441,0.3322965204715729,0.33622193336486816,0.35678383708000183,0.39140868186950684,0.4338957965373993,0.49859681725502014,0.5468144416809082,0.5831842422485352,0.6557129621505737,26.115436553955078,18.169906616210938,0.14265133440494537,0.13005417585372925,0.10931097716093063,0.08606310933828354,0.07675328105688095,0.07017625868320465,0.06748504936695099,0.06520553678274155,0.04274481534957886,3.201878070831299,3.8250303268432617,5.277680397033691,7.113823890686035,8.864791870117188,10.172484397888184,11.722428321838379,13.059126853942871,14.455025672912598,2.1608726978302,2.608001947402954,3.5275955200195312,4.388565540313721,4.913287162780762,5.235398292541504,5.459179878234863,5.195158004760742,4.4983673095703125
sfno,12.083244323730469,9.601211547851562,9.212325096130371,9.036865234375,8.799869537353516,9.356621742248535,9.3117094039917,10.16718578338623,11.280167579650879,12.283517837524414,0.3573759198188782,0.3491916358470917,0.37937653064727783,0.43300533294677734,0.47021231055259705,0.5525493621826172,0.5757933855056763,0.6045119166374207,0.649697482585907,30.626667022705078,18.949853897094727,0.15180838108062744,0.13606800138950348,0.11215070635080338,0.08847054094076157,0.0765720009803772,0.07573729008436203,0.06739193201065063,0.06380102783441544,0.04737570136785507,3.3564674854278564,3.9658873081207275,5.442327499389648,7.162489414215088,8.871328353881836,10.447115898132324,12.373785972595215,13.578974723815918,15.452683448791504,2.1725330352783203,2.5938878059387207,3.53051495552063,4.399789333343506,4.889201641082764,5.198678016662598,5.5089335441589355,5.227565765380859,4.884117126464844
