method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,13.350198745727539,11.156774838765463,0.5697467890050676,0.09917378011677,10.271522124608358,4.928381178114149,39.22679901123047,19.2075252532959
coord_deeponet,10.8251314163208,9.522112528483072,0.4971320662233565,0.11533254964484109,11.28193802303738,5.70873745282491,30.454919815063477,19.092266082763672
coord_mlp,17.90898323059082,11.571197827657064,0.6536069214344025,0.1309261168870661,12.02525912390815,5.616615533828735,64.114013671875,29.680776596069336
gplfr,9.935306549072266,8.437315199110243,0.4213634464475844,0.09416667289204067,9.738373385535347,4.830436838997735,23.53392791748047,16.53032684326172
knn,19.871597290039062,15.570583555433485,0.7851608528031243,0.1267471309337351,12.372562726338705,6.034983237584432,33.45427703857422,26.431556701660156
pca_gbt,13.377137184143066,10.326051817999947,0.5376285910606384,0.10487975883815023,10.83794519636366,5.4274928834703235,27.764970779418945,20.618206024169922
pca_mlp,12.645742416381836,10.017369906107584,0.5221513145499759,0.1073351109193431,11.261592812008328,5.57971387439304,27.182584762573242,20.31695556640625
pca_ridge,16.513559341430664,14.051657888624403,0.6783849861886766,0.13349736233552298,14.152244991726345,6.369026528464423,33.96530532836914,26.01255226135254
ppca_icm,11.462922096252441,9.92789755927192,0.4816383123397827,0.101410956432422,10.249012125862969,5.06624452273051,27.91143226623535,19.57210350036621
sfno,12.488448143005371,10.638096703423393,0.5206276045905219,0.10468115574783748,10.690903160307142,5.101858536402385,32.53375244140625,20.587217330932617
train_mean,24.52923583984375,19.801396052042644,1.121622449821896,0.15887963192330468,17.752098719278973,7.625037590662639,61.76863098144531,43.98796463012695
