method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,12.685680389404297,10.005623499552408,0.5168581174479591,0.085531794362598,8.605425463782417,4.112848944134182,36.59822463989258,17.667041778564453
coord_deeponet,10.37130069732666,9.035245948367649,0.4697661300500234,0.09776144433352682,9.30300529797872,4.656042602327135,28.24137306213379,17.606109619140625
coord_mlp,16.7823486328125,10.600563791063097,0.6027427315711975,0.10891962920626004,10.164274295171102,4.733104520373875,57.73263168334961,26.59894561767578
gplfr,9.730849266052246,8.144811312357584,0.40335754884613884,0.08173966283599536,8.192544539769491,4.050169044070774,22.14569854736328,15.449631690979004
knn,19.577972412109375,15.217071215311686,0.765385799937778,0.10743875842955378,10.163873778449165,4.900258488125271,31.460647583007812,23.77284812927246
pca_gbt,13.123454093933105,10.025472852918837,0.5135170287556119,0.09099237124125163,8.959893703460693,4.469169272316827,26.175758361816406,19.12456512451172
pca_mlp,12.31664752960205,9.678202841016981,0.4985785981019338,0.09338073887758785,9.435050593482124,4.6210536691877575,25.370885848999023,18.65996742248535
pca_ridge,16.213733673095703,13.654728359646267,0.6523392167356279,0.11479802636636628,11.784483856625027,5.281858656141493,32.164276123046875,24.0283203125
ppca_icm,11.19845962524414,9.59494505988227,0.4594350258509318,0.08782717088858287,8.632474422454834,4.220714039272732,26.115436553955078,18.169906616210938
sfno,12.083244323730469,9.894385973612467,0.48574598630269367,0.09104173133770625,8.961228900485569,4.267246802647908,30.626667022705078,18.949853897094727
train_mean,23.997161865234375,19.316763136121963,1.0865782697995503,0.13558389080895317,15.249434206220839,6.14610841539171,59.66440200805664,41.234222412109375
