method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,0.9469692707061768,0.5003390863537789,0.6520681452006102,0.7133663445711136,0.6823813259601593,0.698774328827858,0.9922005534172058,0.8767395615577698
coord_deeponet,0.9479742646217346,0.5662218406796455,0.7274569295346737,0.6810516387224197,0.6450028270483017,0.6340269148349762,0.9943473935127258,0.837055504322052
coord_mlp,0.9215397238731384,0.4264723874628544,0.6651638660579919,0.6280710089951753,0.6339992493391037,0.662565079331398,0.9776411652565002,0.717237114906311
gplfr,0.9726884961128235,0.678876993060112,0.7806162744760513,0.7379941359162331,0.7317387580871582,0.7104037791490555,0.9957892894744873,0.8871372938156128
knn,0.9693469405174255,0.6192686975002288,0.7771748691797257,0.6545267567038536,0.6975348174571991,0.6790506452322006,0.993959367275238,0.8159498572349548
pca_gbt,0.9648723006248474,0.5717434786260128,0.7412467062473297,0.6908303424715996,0.6431525185704231,0.6422105312347413,0.9952190518379211,0.8696390986442566
pca_mlp,0.9649190902709961,0.618418762087822,0.7556253343820571,0.7058102265000343,0.674224990606308,0.6720095068216324,0.9952343106269836,0.8643500208854675
pca_ridge,0.9691234827041626,0.46655380418524145,0.7502227380871773,0.6633512727916241,0.6381072789430619,0.6630074203014373,0.9951273202896118,0.8587769269943237
ppca_icm,0.9759804010391235,0.6080654844641685,0.7690326631069183,0.710318100452423,0.7100265443325042,0.6965993583202362,0.9950749278068542,0.8664431571960449
sfno,0.9632322788238525,0.5327026724815369,0.7152931004762649,0.7153905928134918,0.6871416330337524,0.6968746513128281,0.9941767454147339,0.8592617511749268
train_mean,0.9536144137382507,0.3897751491516829,0.6938455149531364,0.6001747950911522,0.5530750960111618,0.5501043915748596,0.9941459894180298,0.750482439994812
