method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,0.9469692707061768,0.876227080821991,0.8408330082893372,0.753027617931366,0.6255791783332825,0.3778741955757141,0.2695682942867279,0.3893294632434845,0.41036951541900635,0.24544866383075714,0.21513384580612183,0.8797694444656372,0.8791915774345398,0.8208240270614624,0.823691725730896,0.783649206161499,0.8001521825790405,0.7692763805389404,0.5483750700950623,0.17350400984287262,0.04224782809615135,0.9922005534172058,0.8767395615577698,0.7009621858596802,0.7528804540634155,0.8181523084640503,0.8374897241592407,0.8454055190086365,0.8559620380401611,0.8492176532745361,0.7967053651809692,0.47930991649627686,0.1975782811641693,0.8284945487976074,0.7860197424888611,0.7629716396331787,0.7724199891090393,0.7606372833251953,0.7546473741531372,0.761162281036377,0.6604568958282471,0.4518669843673706,0.28513652086257935,0.7659994959831238,0.721832275390625,0.7173583507537842,0.7568920254707336,0.7757989764213562,0.8170814514160156,0.7933594584465027,0.714565634727478,0.48098263144493103,0.44387298822402954
coord_deeponet,0.9479742646217346,0.9118731021881104,0.8988305330276489,0.8705466985702515,0.787565290927887,0.5050314664840698,0.19742260873317719,0.4067701995372772,0.5820622444152832,0.3448482155799866,0.15726804733276367,0.9079059958457947,0.8988426327705383,0.866133987903595,0.8342138528823853,0.8286821842193604,0.854653000831604,0.8449745178222656,0.7816064357757568,0.38862383365631104,0.06893285363912582,0.9943473935127258,0.837055504322052,0.6152029633522034,0.7009347081184387,0.7716343402862549,0.8047298192977905,0.8009893298149109,0.80854332447052,0.8241181373596191,0.7650373578071594,0.5171627998352051,0.20216360688209534,0.784302830696106,0.7523444890975952,0.7262718677520752,0.7423661351203918,0.7416207790374756,0.747719407081604,0.7238454222679138,0.5967920422554016,0.3458220362663269,0.28894326090812683,0.7014244198799133,0.6601534485816956,0.657465398311615,0.7005957961082458,0.734826922416687,0.7807837724685669,0.7612959146499634,0.6501701474189758,0.4203393757343292,0.2732139527797699
coord_mlp,0.9215397238731384,0.8642151951789856,0.8444698452949524,0.8153148293495178,0.7638605237007141,0.519458532333374,0.12886092066764832,0.08973336964845657,0.21184459328651428,0.18832136690616608,-0.16135530173778534,0.8858663439750671,0.870976448059082,0.835518479347229,0.8030338883399963,0.7870612144470215,0.7862715721130371,0.7395579814910889,0.648516833782196,0.23634746670722961,0.05848843231797218,0.9776411652565002,0.717237114906311,0.5401449799537659,0.6510215401649475,0.7175222635269165,0.7788316607475281,0.8171293139457703,0.8382463455200195,0.8045169115066528,0.6906504034996033,0.42384007573127747,0.018806595355272293,0.7987281680107117,0.7281435132026672,0.6828968524932861,0.7050750851631165,0.7002454996109009,0.7213783264160156,0.7383919358253479,0.644087553024292,0.3619128167629242,0.2591327428817749,0.7064960598945618,0.6627408266067505,0.669360339641571,0.7090569138526917,0.7490402460098267,0.8006384968757629,0.782469630241394,0.6884148120880127,0.463489294052124,0.3939441740512848
gplfr,0.9726884961128235,0.9431117177009583,0.9307841062545776,0.9096608757972717,0.8603547215461731,0.6701873540878296,0.3936484456062317,0.5890194177627563,0.7106586694717407,0.4112596809864044,0.3700849413871765,0.9469234943389893,0.9328895807266235,0.8988457322120667,0.8764512538909912,0.8752689957618713,0.893808901309967,0.8833771347999573,0.8448432087898254,0.4648001492023468,0.18895429372787476,0.9957892894744873,0.8871372938156128,0.7228493690490723,0.7728948593139648,0.8111375570297241,0.8545312285423279,0.8720800280570984,0.8802441954612732,0.8660887479782104,0.7920292615890503,0.5605618953704834,0.2475242167711258,0.8527025580406189,0.8198347687721252,0.7981973886489868,0.8002950549125671,0.7892867922782898,0.7822887301445007,0.777325451374054,0.6923419833183289,0.5614619255065918,0.4436529278755188,0.7901642918586731,0.7625413537025452,0.7431482672691345,0.7592610120773315,0.7655274868011475,0.8217296004295349,0.8015426397323608,0.6998085379600525,0.48945093154907227,0.4708636701107025
knn,0.9693469405174255,0.9310113787651062,0.9193310737609863,0.9039872884750366,0.8486993312835693,0.5936650037765503,0.3212173283100128,0.5679945349693298,0.6486923694610596,0.21039922535419464,0.24768944084644318,0.9382885098457336,0.9228626489639282,0.8751197457313538,0.8460239768028259,0.8507893681526184,0.8771747946739197,0.8612479567527771,0.8145297169685364,0.5124961733818054,0.27321580052375793,0.993959367275238,0.8159498572349548,0.5916552543640137,0.6283726692199707,0.7252432107925415,0.7859082221984863,0.8258947730064392,0.8257065415382385,0.7920975089073181,0.729108989238739,0.48797106742858887,0.15330933034420013,0.8223875164985657,0.7828515768051147,0.7432692050933838,0.7433100938796997,0.7295700311660767,0.7302305698394775,0.7322164177894592,0.6706194877624512,0.5483682751655579,0.4725250005722046,0.7328089475631714,0.6858126521110535,0.6693498492240906,0.7097235321998596,0.7455400824546814,0.792549192905426,0.7592518925666809,0.6483772993087769,0.5541568398475647,0.4929361641407013
pca_gbt,0.9648723006248474,0.9230765104293823,0.9089818000793457,0.8743382096290588,0.8012787699699402,0.6061222553253174,0.308048814535141,0.37247738242149353,0.5721150040626526,0.3057589530944824,0.045237086713314056,0.9252175092697144,0.906164288520813,0.8603713512420654,0.835808277130127,0.8366218209266663,0.860781192779541,0.8562350869178772,0.7899287343025208,0.3886306881904602,0.15270811319351196,0.9952190518379211,0.8696390986442566,0.6266347169876099,0.7148253321647644,0.7990056872367859,0.8286918997764587,0.8398414254188538,0.8575044274330139,0.8308169841766357,0.7713183164596558,0.5120254755020142,0.12763915956020355,0.7981778979301453,0.7454832196235657,0.7101142406463623,0.7233601212501526,0.714326024055481,0.7049976587295532,0.7031423449516296,0.6230369806289673,0.47176358103752136,0.23712311685085297,0.7036293745040894,0.6456043124198914,0.6497728228569031,0.6878265142440796,0.712634265422821,0.7822412252426147,0.7745480537414551,0.6669930219650269,0.42983561754226685,0.36902010440826416
pca_mlp,0.9649190902709961,0.9425778985023499,0.9292768836021423,0.894439697265625,0.8196294903755188,0.5975053906440735,0.2913241684436798,0.4501452147960663,0.6394058465957642,0.36264872550964355,0.2572343051433563,0.9289228320121765,0.9105850458145142,0.8676920533180237,0.8479127287864685,0.8453767895698547,0.8741711974143982,0.8716460466384888,0.8310549855232239,0.4724474847316742,0.10644418001174927,0.9952343106269836,0.8643500208854675,0.6817046999931335,0.7382643818855286,0.7937049269676208,0.833644449710846,0.8527745008468628,0.8625801801681519,0.8392910361289978,0.7777420282363892,0.542428731918335,0.13596732914447784,0.817449152469635,0.7751125693321228,0.7464460134506226,0.760990560054779,0.7598093748092651,0.7472860813140869,0.7342872619628906,0.6362288594245911,0.4658626616001129,0.29877737164497375,0.7635768055915833,0.7301692366600037,0.7149685025215149,0.7436813116073608,0.7594640254974365,0.8015392422676086,0.7821329832077026,0.6912149786949158,0.452851802110672,0.28049618005752563
pca_ridge,0.9691234827041626,0.9228095412254333,0.9042408466339111,0.8716001510620117,0.816317617893219,0.529421329498291,-0.013102448545396328,0.07453197985887527,0.36501607298851013,0.2182294726371765,-0.023526521399617195,0.930088996887207,0.913845419883728,0.8708541989326477,0.8364158868789673,0.8320052623748779,0.8535787463188171,0.8501041531562805,0.8254937529563904,0.4386405646800995,0.15120039880275726,0.9951273202896118,0.8587769269943237,0.6409808397293091,0.6961816549301147,0.7668496370315552,0.7821463346481323,0.8017851710319519,0.8055848479270935,0.7943958640098572,0.7306017279624939,0.5181422233581543,0.09684442728757858,0.7865638732910156,0.7221868634223938,0.6610291004180908,0.6708309054374695,0.6941124200820923,0.720531702041626,0.7271726727485657,0.6313997507095337,0.38286665081977844,0.3843788504600525,0.7029418349266052,0.6608361005783081,0.6601932644844055,0.6897716522216797,0.7359914183616638,0.7926701307296753,0.7866515517234802,0.7151153683662415,0.49527397751808167,0.3906289041042328
ppca_icm,0.9759804010391235,0.9504870176315308,0.9368769526481628,0.8773748278617859,0.8051632046699524,0.5982478857040405,0.3363933563232422,0.4939459562301636,0.6181017160415649,0.3671238124370575,0.09694011509418488,0.9512571096420288,0.9347190856933594,0.897225558757782,0.8742263317108154,0.8692130446434021,0.884183943271637,0.8746667504310608,0.8119513392448425,0.46310001611709595,0.12978345155715942,0.9950749278068542,0.8664431571960449,0.6573154330253601,0.7491599917411804,0.8062551021575928,0.8415910005569458,0.8549825549125671,0.8573195338249207,0.838209331035614,0.7817493677139282,0.5319197773933411,0.18467891216278076,0.8633483052253723,0.8298802971839905,0.7947474718093872,0.7745961546897888,0.7559374570846558,0.7545390129089355,0.7618664503097534,0.6792140603065491,0.5107584595680237,0.3753777742385864,0.814536988735199,0.7963866591453552,0.7733172178268433,0.7499022483825684,0.7762666940689087,0.8227276802062988,0.7949596047401428,0.6666800379753113,0.4148057699203491,0.3564106822013855
sfno,0.9632322788238525,0.921234130859375,0.901702880859375,0.8379858136177063,0.7389577031135559,0.49211034178733826,0.18503308296203613,0.2629612386226654,0.42104867100715637,0.3165301978588104,0.24946266412734985,0.9278131127357483,0.9085983633995056,0.8693714141845703,0.8427901864051819,0.8361529111862183,0.8606612682342529,0.842066764831543,0.7482896447181702,0.21130119264125824,0.10588614642620087,0.9941767454147339,0.8592617511749268,0.7047852277755737,0.7571872472763062,0.8104165196418762,0.8365452885627747,0.8588137626647949,0.8641316890716553,0.8445590734481812,0.7851691842079163,0.5101876854896545,0.1821102499961853,0.8304732441902161,0.7827157974243164,0.7544962763786316,0.7657360434532166,0.770897388458252,0.7613948583602905,0.7564738392829895,0.6674879193305969,0.480294793844223,0.30144616961479187,0.7746407985687256,0.7441854476928711,0.722727358341217,0.7543867826461792,0.7729405760765076,0.8180667161941528,0.7895333766937256,0.6938024759292603,0.4680592119693756,0.43040376901626587
