method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,13.955851554870605,11.25977897644043,11.261959075927734,10.899983406066895,10.311506271362305,11.034405708312988,11.090229034423828,11.234317779541016,11.846901893615723,12.324453353881836,15.683457374572754,0.4264243245124817,0.4232117831707001,0.4649807810783386,0.5114194750785828,0.5682905316352844,0.6516236662864685,0.7264100313186646,0.7766237854957581,0.9092705845832825,0.9027677178382874,46.50469970703125,22.40241050720215,0.1823970526456833,0.15890461206436157,0.1273776739835739,0.10416533052921295,0.09425406157970428,0.09297426789999008,0.09311231225728989,0.0868162140250206,0.06246330589056015,0.027249926701188087,4.246643543243408,4.989900588989258,6.722906112670898,8.827804565429688,10.871252059936523,12.317732810974121,15.253366470336914,14.625499725341797,15.537084579467773,27.35027313232422,2.851092576980591,3.3895790576934814,4.626669883728027,5.7314324378967285,6.403167724609375,6.316044330596924,6.7272629737854,6.320407390594482,5.57546329498291,4.731788158416748
coord_deeponet,15.989577293395996,12.111746788024902,11.642021179199219,11.406543731689453,10.956488609313965,10.940773963928223,11.218049049377441,11.301671981811523,11.589128494262695,13.054121017456055,13.902253150939941,0.46019235253334045,0.464749276638031,0.49796754121780396,0.5625283122062683,0.6314317584037781,0.6984016299247742,0.7322668433189392,0.7390041351318359,0.7802326083183289,0.7838399410247803,39.414939880371094,25.415250778198242,0.21413789689540863,0.17723402380943298,0.15003912150859833,0.11328022927045822,0.10164564847946167,0.09912173449993134,0.09489353001117706,0.0990188866853714,0.0677802711725235,0.029070492833852768,5.394412994384766,6.457742214202881,8.768816947937012,10.716170310974121,12.656949996948242,13.846601486206055,17.566146850585938,18.80501937866211,21.16037940979004,29.878395080566406,4.072089672088623,4.720182418823242,5.896528720855713,7.559464454650879,8.48489761352539,8.460590362548828,8.93198299407959,8.617630004882812,7.514286518096924,7.547837257385254
coord_mlp,18.493494033813477,11.825732231140137,11.494086265563965,11.144850730895996,10.67905330657959,11.043886184692383,11.413756370544434,12.46025562286377,13.767365455627441,16.242998123168945,15.704516410827637,0.44840896129608154,0.452297180891037,0.5007621049880981,0.5757381916046143,0.653497040271759,0.7552205920219421,0.8214341998100281,0.8319990634918213,1.0613306760787964,1.0115482807159424,89.90858459472656,43.22771453857422,0.22702579200267792,0.19278672337532043,0.1734006255865097,0.1391316056251526,0.1155848279595375,0.10848884284496307,0.11459777504205704,0.11601141095161438,0.06851048767566681,0.03496207669377327,5.546396255493164,6.526034355163574,8.615266799926758,10.852206230163574,13.069966316223145,14.137128829956055,16.59474754333496,16.965450286865234,22.898855209350586,27.313232421875,3.3438401222229004,4.096704959869385,5.572890758514404,6.8493475914001465,7.370110034942627,7.43079948425293,7.423872947692871,6.9489545822143555,6.69824743270874,6.347218990325928
gplfr,11.015508651733398,8.429170608520508,8.46396255493164,8.260008811950684,8.191078186035156,8.42483139038086,8.060193061828613,7.7427978515625,8.017718315124512,9.765447616577148,10.981218338012695,0.3237954378128052,0.3354470729827881,0.37853747606277466,0.4325633943080902,0.4863223433494568,0.5659970641136169,0.6136261224746704,0.6114178895950317,0.687515914440155,0.7266830205917358,31.18939781188965,20.967205047607422,0.16760411858558655,0.1493862271308899,0.13032402098178864,0.09358396381139755,0.08174850791692734,0.08161264657974243,0.07768943160772324,0.0815734937787056,0.0597056970000267,0.02659054659307003,4.025943756103516,4.624076843261719,6.529603004455566,8.41918659210205,10.316940307617188,11.650135040283203,15.16087818145752,15.042293548583984,16.007997512817383,24.9935302734375,2.7432901859283447,3.265745162963867,4.580643653869629,5.495912551879883,6.2851362228393555,6.405155181884766,6.964962005615234,7.197991847991943,6.35236120223999,4.605020046234131
knn,16.715133666992188,12.670223236083984,12.313152313232422,12.116029739379883,12.183637619018555,12.123388290405273,12.122159004211426,13.200778007507324,15.262436866760254,17.288524627685547,16.398761749267578,0.5084074139595032,0.5155393481254578,0.5774467587471008,0.6536586880683899,0.731800377368927,0.8573299646377563,0.9612183570861816,1.0055007934570312,1.0733473300933838,1.1807297468185425,41.76409912109375,30.574928283691406,0.22743040323257446,0.20648597180843353,0.16777850687503815,0.12129424512386322,0.10693460702896118,0.1056065782904625,0.11044644564390182,0.11615337431430817,0.07161308825016022,0.05768464505672455,4.113670825958252,4.966089725494385,7.118602275848389,9.713151931762695,12.30230712890625,13.96915054321289,17.717309951782227,16.961275100708008,16.79206657409668,29.96046257019043,3.2213051319122314,3.8302016258239746,5.084561347961426,6.252262115478516,7.156017303466797,7.280694007873535,8.063533782958984,7.939107418060303,6.53021240234375,5.040688514709473
pca_gbt,13.569391250610352,11.61950397491455,11.26568603515625,10.643260955810547,10.350948333740234,10.297463417053223,10.421608924865723,10.730765342712402,11.351929664611816,12.238292694091797,15.750301361083984,0.4187730848789215,0.426271915435791,0.47513076663017273,0.5413665771484375,0.6086629033088684,0.7101734280586243,0.7480966448783875,0.72726970911026,0.784308135509491,0.9550588726997375,35.873268127441406,23.554698944091797,0.19714051485061646,0.17139537632465363,0.14182567596435547,0.10231844335794449,0.09768237918615341,0.0945381224155426,0.08968321233987808,0.0939989760518074,0.06568296998739243,0.062129825353622437,4.459828853607178,5.375899791717529,7.7934746742248535,9.933354377746582,12.054125785827637,13.347149848937988,16.41904640197754,16.466306686401367,21.245628356933594,31.709514617919922,3.176971435546875,3.8384087085723877,5.422479152679443,6.661665439605713,7.595064640045166,7.42496919631958,7.759032726287842,7.615830421447754,6.550590515136719,9.335460662841797
pca_mlp,14.221456527709961,10.415083885192871,10.385866165161133,10.26850414276123,10.203210830688477,10.57512378692627,10.694792747497559,10.667071342468262,10.54602336883545,9.839264869689941,15.510640144348145,0.40559884905815125,0.42132455110549927,0.46931278705596924,0.5169777870178223,0.5690585374832153,0.6511642336845398,0.6903195977210999,0.667099118232727,0.7447746992111206,0.9460119605064392,36.4205207824707,24.564647674560547,0.18531343340873718,0.16429157555103302,0.14822056889533997,0.10840499401092529,0.09973573684692383,0.10027272254228592,0.09193120151758194,0.09438216686248779,0.05937495827674866,0.038618724793195724,4.550136566162109,5.190014362335205,7.2211689949035645,9.148612022399902,11.288766860961914,13.070596694946289,16.76211166381836,17.15277099609375,20.194190979003906,38.43329620361328,3.0163309574127197,3.6238129138946533,4.920383930206299,6.016603946685791,6.752068996429443,6.6959381103515625,7.353306770324707,7.527456283569336,7.183956623077393,7.349917411804199
pca_ridge,16.982988357543945,12.986209869384766,12.668680191040039,12.119460105895996,11.929963111877441,12.191622734069824,12.602973937988281,13.723620414733887,16.982385635375977,18.905391693115234,17.103687286376953,0.4483821392059326,0.452821284532547,0.5070661306381226,0.5826057195663452,0.6575508117675781,0.7655011415481567,0.8704737424850464,0.9667590260505676,1.0732511281967163,1.12188720703125,41.11310577392578,29.6412353515625,0.20648108422756195,0.1880774199962616,0.15514610707759857,0.1209864467382431,0.10852952301502228,0.10647570341825485,0.1068628802895546,0.10261402279138565,0.06905587762594223,0.03659014776349068,4.799663066864014,5.94998836517334,9.194034576416016,12.090593338012695,13.992280006408691,14.759456634521484,17.52247428894043,19.325870513916016,25.78524398803711,27.436796188354492,3.449679136276245,4.281930923461914,6.082894325256348,7.322772979736328,7.891156196594238,7.917438507080078,8.035335540771484,7.831843852996826,7.202937602996826,6.061097145080566
ppca_icm,11.879372596740723,8.987730979919434,8.966386795043945,9.018348693847656,9.113665580749512,9.475951194763184,9.456830024719238,9.026930809020996,10.31600570678711,12.129457473754883,13.138431549072266,0.3674357533454895,0.37504062056541443,0.41781026124954224,0.4690484404563904,0.518971860408783,0.5982508659362793,0.6449217796325684,0.6496413946151733,0.7255260348320007,0.8098551630973816,35.993194580078125,24.09349822998047,0.18540646135807037,0.16343332827091217,0.13274410367012024,0.102145716547966,0.09429877251386642,0.09177783876657486,0.09602364152669907,0.103146031498909,0.06674540787935257,0.037753354758024216,3.707120180130005,4.6349639892578125,6.4207258224487305,8.611127853393555,10.800565719604492,11.85402774810791,14.839051246643066,14.3675537109375,16.934228897094727,23.563478469848633,2.6562142372131348,3.21053409576416,4.290033340454102,5.25351095199585,6.082350254058838,6.5250701904296875,7.339271068572998,7.222580909729004,6.423037052154541,5.4861860275268555
sfno,14.750182151794434,10.946285247802734,10.59428596496582,10.300302505493164,10.495782852172852,11.191460609436035,11.944234848022461,12.630334854125977,13.560818672180176,13.371224403381348,14.75212574005127,0.4063861668109894,0.42001664638519287,0.4527263939380646,0.5394123196601868,0.5860549807548523,0.6668034791946411,0.7135223746299744,0.7754471898078918,0.838916540145874,0.9117130637168884,41.880348205566406,24.545866012573242,0.18679258227348328,0.16167505085468292,0.12885038554668427,0.10374107211828232,0.09334716200828552,0.09514311701059341,0.0867808535695076,0.08715780824422836,0.06016921624541283,0.02782987244427204,4.371085166931152,5.155227184295654,7.299959659576416,9.379292488098145,11.433777809143066,12.817200660705566,16.04716682434082,16.70138931274414,20.445337295532227,27.510644912719727,2.8467235565185547,3.3162198066711426,4.608950614929199,5.693243026733398,6.448724269866943,6.678776264190674,7.355837821960449,7.257561683654785,6.36419153213501,5.148359775543213
