method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,1.0187307596206665,1.078702688217163,1.090701699256897,1.0490696430206299,0.9183617830276489,0.6779031753540039,0.3740714490413666,0.8227403163909912,0.5714892745018005,0.794685959815979,0.6793484687805176,1.0484272241592407,1.1008371114730835,1.1858936548233032,1.5328056812286377,1.2741971015930176,1.053553581237793,1.07352614402771,0.80306077003479,-0.07459952682256699,0.18334181606769562,1.0017547607421875,1.1488926410675049,3.855449914932251,1.7055494785308838,1.3899977207183838,1.3083815574645996,1.2851728200912476,1.0504941940307617,1.1583762168884277,2300.939208984375,2150.69970703125,0.7667516469955444,2.246476411819458,1.9006767272949219,1.407243251800537,2.2874841690063477,2.5729453563690186,6.717472553253174,3.5911755561828613,1.3932642936706543,1.1619700193405151,0.3139348328113556,2.4672281742095947,1.221593976020813,1.301180362701416,1.7497961521148682,2.2667582035064697,1.2400665283203125,1.298782467842102,1.3030141592025757,0.7950855493545532,1.4131804704666138
coord_deeponet,1.0192087888717651,1.1244990825653076,1.1763769388198853,1.2255675792694092,1.2830175161361694,0.9611818790435791,0.14459462463855743,0.9182978272438049,0.7466355562210083,0.866672158241272,0.7701332569122314,1.0760769844055176,1.120229959487915,1.2489972114562988,1.5576610565185547,1.39639413356781,1.1363216638565063,1.2152364253997803,1.181919813156128,0.9958364367485046,0.2967183291912079,1.0039048194885254,1.1187705993652344,3.157252788543701,1.5972951650619507,1.3053964376449585,1.2349680662155151,1.4683979749679565,0.9909011721611023,1.1316261291503906,2409.615478515625,2483.364990234375,1.066331148147583,1.9503167867660522,1.7049084901809692,1.38714599609375,2.1201012134552,2.369851589202881,6.787012577056885,3.226473093032837,1.3469438552856445,0.7733572125434875,0.0941692516207695,2.0248360633850098,1.3780542612075806,1.3724006414413452,1.7975914478302002,2.249877691268921,1.2624109983444214,1.3002427816390991,1.3030744791030884,0.5964486598968506,1.1048463582992554
coord_mlp,0.9912834167480469,1.0711400508880615,1.1063268184661865,1.1410011053085327,1.2606114149093628,1.2627934217453003,0.11563856899738312,0.10421299189329147,0.33065298199653625,0.6397690773010254,-0.28939226269721985,1.057956576347351,1.0877044200897217,1.194472074508667,1.456416368484497,1.309476613998413,1.0546975135803223,1.047473430633545,0.9867929816246033,0.9419633746147156,0.252958744764328,0.9869809150695801,0.9501543045043945,2.447371482849121,1.490099549293518,1.2304896116256714,1.1860231161117554,1.3598010540008545,1.0341194868087769,1.1136943101882935,1985.41064453125,1483.948486328125,0.17803063988685608,2.148223876953125,1.7419955730438232,1.280368685722351,2.272839307785034,2.705904960632324,7.966409683227539,4.4119038581848145,1.327362298965454,0.8481632471084595,0.6649999022483826,2.351004123687744,1.000557541847229,1.1759700775146484,1.5929465293884277,2.3602240085601807,1.1828296184539795,1.2637913227081299,1.2144702672958374,0.6710394620895386,1.244767427444458
gplfr,1.047177791595459,1.1711763143539429,1.22088623046875,1.2727705240249634,1.4054855108261108,1.877476692199707,0.7125095725059509,1.1942541599273682,1.0946224927902222,1.2907582521438599,1.4037059545516968,1.136805772781372,1.1697797775268555,1.2943826913833618,1.6299333572387695,1.4681044816970825,1.1881709098815918,1.2735564708709717,1.2904183864593506,1.3598644733428955,0.6836294531822205,1.0054056644439697,1.1761202812194824,3.657844066619873,1.7582287788391113,1.3789948225021362,1.3415591716766357,1.4340662956237793,1.0747647285461426,1.1732215881347656,2353.611572265625,2108.53515625,1.1114943027496338,2.375195264816284,1.9406801462173462,1.4376683235168457,2.2644877433776855,2.5345699787139893,7.379761219024658,3.497011184692383,1.5317310094833374,1.367017149925232,1.3203576803207397,2.56748628616333,1.3645533323287964,1.4292175769805908,1.8280171155929565,2.377366542816162,1.2789530754089355,1.365734338760376,1.2969579696655273,0.8021114468574524,1.3896018266677856
knn,1.0435914993286133,1.1519804000854492,1.2040557861328125,1.2683343887329102,1.4193332195281982,1.3986481428146362,0.7063384652137756,1.2571786642074585,1.114485263824463,0.8770619630813599,0.9059367775917053,1.1217265129089355,1.1551793813705444,1.2690179347991943,1.611018180847168,1.4503529071807861,1.1766061782836914,1.2529892921447754,1.2606555223464966,2.051669120788574,0.880376935005188,1.003507375717163,1.0750585794448853,3.2445571422576904,1.4747613668441772,1.2349987030029297,1.1995997428894043,1.3403204679489136,1.01172935962677,1.0839608907699585,2425.63720703125,2021.9012451171875,0.49432966113090515,2.1456923484802246,1.8246549367904663,1.3543459177017212,2.113466739654541,2.3834657669067383,8.458355903625488,3.4463322162628174,1.4901233911514282,1.3712259531021118,1.3013583421707153,2.2899632453918457,1.340002179145813,1.3252121210098267,1.6897462606430054,2.624143600463867,1.2817643880844116,1.3181387186050415,1.2332274913787842,1.0028767585754395,1.6265161037445068
pca_gbt,1.0380384922027588,1.1394881010055542,1.1860777139663696,1.2190765142440796,1.3449150323867798,1.491778016090393,0.49296510219573975,0.8879172801971436,0.8740559816360474,1.3033342361450195,0.5984308123588562,1.102488398551941,1.1286317110061646,1.2336726188659668,1.5392322540283203,1.3899972438812256,1.1433407068252563,1.2397096157073975,1.195732831954956,1.0586953163146973,0.534218430519104,1.004830002784729,1.151688814163208,3.0643084049224854,1.6471937894821167,1.3688013553619385,1.2755653858184814,1.309682011604309,1.0545417070388794,1.1405783891677856,2338.291748046875,2040.9185791015625,0.8024488687515259,2.0475947856903076,1.8209465742111206,1.319587230682373,2.1603479385375977,2.4865143299102783,7.212647438049316,3.1886584758758545,1.2858662605285645,1.1559600830078125,0.4921601712703705,2.3059372901916504,1.0698652267456055,1.1895710229873657,1.5454663038253784,2.2005703449249268,1.2052830457687378,1.3295092582702637,1.216646671295166,0.7008411884307861,1.091709852218628
pca_mlp,1.037928819656372,1.1732486486434937,1.223958134651184,1.2584770917892456,1.30048406124115,1.5073975324630737,0.49330681562423706,0.8547539710998535,0.8794267177581787,1.415273666381836,0.5304522514343262,1.1117192506790161,1.1383159160614014,1.2501300573349,1.57490873336792,1.3969954252243042,1.1493794918060303,1.2375706434249878,1.2659128904342651,1.5221039056777954,0.4671078622341156,1.0048353672027588,1.147926688194275,3.449700355529785,1.6374300718307495,1.3272167444229126,1.292812705039978,1.4981807470321655,1.0482532978057861,1.1401287317276,2339.914306640625,2553.72607421875,0.5964022874832153,2.295659065246582,1.8001160621643066,1.3212339878082275,2.257300615310669,2.6458890438079834,7.42079496383667,3.4488325119018555,1.3943747282028198,1.31650972366333,0.5826853513717651,2.530745267868042,1.2492762804031372,1.2837471961975098,1.6560378074645996,2.22891902923584,1.2572929859161377,1.2701538801193237,1.2551698684692383,0.6881589889526367,1.1661217212677002
pca_ridge,1.0431180000305176,1.1453423500061035,1.1882147789001465,1.2267614603042603,1.3563765287399292,1.0107109546661377,-0.22167973220348358,0.1997484713792801,0.6178386211395264,0.49862417578697205,0.05024320259690285,1.1099693775177002,1.1396363973617554,1.2483388185501099,1.5385830402374268,1.4052947759628296,1.1556278467178345,1.2228094339370728,1.2523881196975708,1.3604391813278198,0.2950873076915741,1.0047616958618164,1.1193106174468994,3.2405166625976562,1.6033196449279785,1.339611291885376,1.1651437282562256,1.379538893699646,0.9910557270050049,1.1001107692718506,2361.054931640625,2513.992919921875,0.9116135835647583,2.1080965995788574,1.7521802186965942,1.2020349502563477,2.006866693496704,2.4821159839630127,8.710514068603516,3.768648147583008,1.4469627141952515,0.8564848899841309,0.9329922199249268,2.3686087131500244,1.0380958318710327,1.2253930568695068,1.6486619710922241,2.709630012512207,1.212894082069397,1.31247079372406,1.2996894121170044,0.7605030536651611,1.467734694480896
ppca_icm,1.051124930381775,1.185144066810608,1.2381813526153564,1.2463512420654297,1.274753212928772,1.5268818140029907,0.5108603239059448,1.0357950925827026,0.9254658222198486,1.0112649202346802,0.402873158454895,1.1433355808258057,1.1733150482177734,1.2985117435455322,1.6456012725830078,1.4680875539779663,1.1749954223632812,1.2546210289001465,1.2504931688308716,1.3879824876785278,0.2655321955680847,1.0046628713607788,1.1528632640838623,3.363405466079712,1.640604019165039,1.3411691188812256,1.3078672885894775,1.5509603023529053,1.0312259197235107,1.1198067665100098,2299.10400390625,2363.138427734375,0.9372994303703308,2.4572536945343018,2.001870632171631,1.4078458547592163,2.318061590194702,2.6071441173553467,8.560844421386719,3.793958902359009,1.3910832405090332,1.267813801765442,1.0471785068511963,2.8115365505218506,1.490410327911377,1.523276686668396,1.8276193141937256,2.8251750469207764,1.3121821880340576,1.3536561727523804,1.2390638589859009,0.7683019042015076,1.2048323154449463
sfno,1.0371503829956055,1.1444854736328125,1.188525915145874,1.1879019737243652,1.1942025423049927,1.3143813610076904,0.13289213180541992,0.44519081711769104,0.5607041716575623,1.0039722919464111,0.6790600419044495,1.1115938425064087,1.1396452188491821,1.2551226615905762,1.6036731004714966,1.4138720035552979,1.1517668962478638,1.2226154804229736,1.1414209604263306,0.8194506168365479,0.2379893660545349,1.0037716627120972,1.1313368082046509,3.85552978515625,1.7360508441925049,1.3974559307098389,1.3079601526260376,1.4912371635437012,1.050642728805542,1.1412394046783447,2263.37158203125,1468.6275634765625,1.0553789138793945,2.2603189945220947,1.8211619853973389,1.3973807096481323,2.2728374004364014,2.6148757934570312,7.086308002471924,3.433272123336792,1.46907377243042,1.25030517578125,0.7222056984901428,2.528531312942505,1.2424273490905762,1.3333646059036255,1.7714407444000244,2.410217046737671,1.2580057382583618,1.3040887117385864,1.2745139598846436,0.6820372939109802,1.2270587682724
