method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,1.0683165788650513,0.8811300992965698,0.9135043621063232,1.0272338390350342,1.2171968221664429,1.2994940280914307,1.0972181558609009,1.0536919832229614,1.165442705154419,1.6367692947387695,2.3249194622039795,0.9351123571395874,0.8674590587615967,0.8286639451980591,0.839914858341217,0.8517675995826721,0.9234635233879089,0.9598562121391296,0.9278438687324524,1.2793514728546143,1.861645221710205,1.009531021118164,0.7282605767250061,0.5755724310874939,0.5988704562187195,0.5183896422386169,0.593443751335144,0.684394121170044,0.8164580464363098,0.9785333275794983,0.6794953346252441,1.4654804468154907,51.436676025390625,0.8592447638511658,0.8843326568603516,0.9238259792327881,0.8370474576950073,0.8290709853172302,0.8123010396957397,0.7767241597175598,0.7984911799430847,1.2629163265228271,1.333380937576294,0.8283112049102783,0.8408231139183044,0.8282275795936584,0.7844716906547546,0.7446162104606628,0.7454255819320679,0.7827776670455933,0.7760851979255676,1.095845103263855,1.821297526359558
coord_deeponet,1.0960520505905151,0.9655858278274536,0.988603413105011,1.0775799751281738,1.2562767267227173,1.234455943107605,1.1998240947723389,1.1682302951812744,1.1845993995666504,2.088601589202881,2.6603994369506836,1.0330603122711182,0.9620286822319031,0.9192084670066833,0.9238281846046448,0.9527415633201599,0.9512093663215637,0.9776473045349121,0.9179543256759644,1.3360885381698608,1.971609354019165,0.8266520500183105,0.8082029819488525,0.6761150360107422,0.6448172330856323,0.5959705114364624,0.6258796453475952,0.7371619939804077,0.8777831792831421,1.002605676651001,0.8641710877418518,1.7022367715835571,176.89918518066406,1.0632624626159668,1.0972927808761597,1.1105400323867798,0.9984859824180603,0.9187374114990234,0.8575649857521057,0.8987308144569397,1.0290480852127075,1.620676875114441,1.3266181945800781,1.0989880561828613,1.1149563789367676,1.0669934749603271,0.9880511164665222,0.9185376763343811,0.936866044998169,0.9975572824478149,1.0253301858901978,1.6346759796142578,3.3617196083068848
coord_mlp,1.3502235412597656,0.9549251794815063,0.9838607311248779,1.0841535329818726,1.2695741653442383,1.4473371505737305,1.3065569400787354,1.2823469638824463,1.426626205444336,2.707987070083618,2.655163049697876,1.0228698253631592,0.9165468811988831,0.939953625202179,0.9671971797943115,1.0360440015792847,1.1177599430084229,1.2396713495254517,1.2098711729049683,1.9913766384124756,2.4035959243774414,2.094189167022705,1.431015968322754,0.6972009539604187,0.6825973391532898,0.6763349771499634,0.7497618198394775,0.7912406325340271,0.9036827683448792,1.0535799264907837,0.843856692314148,0.9987344145774841,274.0411071777344,1.2266323566436768,1.2365970611572266,1.240871787071228,1.126643180847168,1.0569342374801636,0.9948887228965759,0.8826740384101868,0.8916702270507812,1.6161991357803345,1.2598189115524292,1.0025933980941772,1.068997859954834,1.0256989002227783,0.9658204317092896,0.8787417411804199,0.8895409107208252,0.8888084888458252,0.8325626850128174,1.4190526008605957,2.794633388519287
gplfr,0.7348847985267639,0.6966396570205688,0.7336162328720093,0.798582911491394,0.953066349029541,0.9308769106864929,0.7162055969238281,0.6403515934944153,0.7801403999328613,1.363089919090271,1.7030558586120605,0.6938088536262512,0.6399389505386353,0.6361163854598999,0.6506415009498596,0.6767014265060425,0.7069886326789856,0.7439268827438354,0.7403979301452637,1.1236375570297241,1.174139380455017,0.5808218121528625,0.6348080039024353,0.5464417934417725,0.5535721182823181,0.5263683795928955,0.5344446301460266,0.6012293100357056,0.6980387568473816,0.8165186643600464,0.6659835577011108,1.5962275266647339,106.90721893310547,0.818830132484436,0.8381590843200684,0.8656442761421204,0.8352978229522705,0.8124014139175415,0.7698869109153748,0.7490290999412537,0.7827065587043762,1.3477298021316528,1.4090995788574219,0.8384720087051392,0.8761505484580994,0.8431033492088318,0.7938656210899353,0.7513530850410461,0.7712257504463196,0.82621830701828,0.9265955090522766,1.330752968788147,2.5270802974700928
knn,1.282593011856079,1.1294567584991455,1.1485960483551025,1.245638132095337,1.5125430822372437,1.4674698114395142,1.3485573530197144,1.5839955806732178,1.8725084066390991,2.6598641872406006,2.2752902507781982,1.2367104291915894,1.1700154542922974,1.2167385816574097,1.2380919456481934,1.294108271598816,1.357421636581421,1.4801074266433716,1.4136631488800049,2.1294186115264893,2.7211906909942627,0.8836435079574585,1.0230122804641724,0.7610504627227783,0.7597976922988892,0.6887620091438293,0.6997857093811035,0.8039191365242004,0.9302436113357544,1.0980292558670044,0.9225297570228577,2.3336071968078613,76.88288116455078,0.8869180679321289,0.9159132242202759,0.9804264903068542,0.9485763311386108,0.9539498090744019,0.912384569644928,0.8608346581459045,0.9122892618179321,1.1969642639160156,1.0418225526809692,0.9310745000839233,0.9414117932319641,0.9297299981117249,0.8898171782493591,0.8594285249710083,0.8981032371520996,0.9549310803413391,0.9244049787521362,1.2143166065216064,1.9763520956039429
pca_gbt,0.9619677066802979,0.9848986268043518,1.0306577682495117,1.0547101497650146,1.1981123685836792,1.203601598739624,1.0404973030090332,1.1919519901275635,1.2327181100845337,1.6232223510742188,2.372753381729126,0.9381482601165771,0.868277907371521,0.8714815378189087,0.8991618752479553,0.9437512159347534,0.9936634302139282,0.9658679962158203,0.8900973200798035,1.1237175464630127,3.0305168628692627,0.7011508345603943,0.7349662780761719,0.6369580030441284,0.6496567726135254,0.5716593265533447,0.5904305577278137,0.7212424874305725,0.8743922114372253,0.9298074245452881,0.7504065632820129,2.7641661167144775,1192.7696533203125,0.9275940656661987,0.9508762955665588,0.981277346611023,0.9106736183166504,0.8745876550674438,0.8306360840797424,0.7911018133163452,0.88021320104599,1.7496528625488281,1.3588287830352783,0.9690648317337036,0.9807743430137634,0.9469348192214966,0.9024528861045837,0.8626649379730225,0.8737591505050659,0.8838203549385071,0.8639505505561829,1.3399951457977295,5.489346504211426
pca_mlp,1.0883055925369263,0.9293113350868225,1.002815842628479,1.1240673065185547,1.390899419784546,1.5341122150421143,1.2920175790786743,1.1822450160980225,1.2467221021652222,1.5050556659698486,3.6872570514678955,0.9256006479263306,0.8533417582511902,0.8547052145004272,0.8395312428474426,0.852820634841919,0.8643931150436401,0.8946848511695862,0.7676966786384583,1.2379003763198853,2.3658270835876465,0.7221971750259399,0.8058664798736572,0.6054258942604065,0.6216926574707031,0.5992901921272278,0.6204858422279358,0.7380163669586182,0.8941929340362549,0.8930771350860596,0.7431682348251343,1.4011222124099731,301.2289123535156,0.9227427840232849,0.9446420073509216,0.9304657578468323,0.8941722512245178,0.8993052840232849,0.8800404667854309,0.8639772534370422,0.9023922085762024,1.65836763381958,1.9338914155960083,0.9193685054779053,0.9246789216995239,0.8767585158348083,0.8352749347686768,0.793175220489502,0.8048641681671143,0.8716658353805542,0.9491176605224609,1.5354335308074951,5.568845748901367
pca_ridge,1.3072683811187744,1.0990914106369019,1.142673134803772,1.1578023433685303,1.36956787109375,1.4408454895019531,1.141937494277954,1.2100306749343872,1.804476261138916,2.4773356914520264,3.402190923690796,1.008289098739624,0.9371439814567566,0.957650363445282,0.9736455678939819,1.0429885387420654,1.1001086235046387,1.2157877683639526,1.2768055200576782,1.9947179555892944,2.028372049331665,0.8091794848442078,0.9775422215461731,0.6689125299453735,0.6932945847511292,0.6371747255325317,0.6807155609130859,0.8026588559150696,0.9605172276496887,1.091596245765686,0.8291189074516296,3.1423990726470947,372.0309143066406,1.0076669454574585,1.1140110492706299,1.2886183261871338,1.2536826133728027,1.1361647844314575,1.035343050956726,1.0088386535644531,1.1530346870422363,1.9767175912857056,1.6787474155426025,1.0632344484329224,1.1480412483215332,1.1417217254638672,1.0858879089355469,0.9834737777709961,0.9822065830230713,0.965461790561676,0.9280174970626831,1.628150224685669,3.6840388774871826
ppca_icm,0.9294688701629639,0.8530744314193726,0.9300832152366638,0.9999462962150574,1.226298451423645,1.3385781049728394,0.964814305305481,0.7920397520065308,1.105810523033142,1.9100306034088135,2.5189690589904785,0.880660355091095,0.7820523381233215,0.7636159062385559,0.7736330032348633,0.7898971438407898,0.8182066082954407,0.8749511241912842,0.8442602157592773,1.3080841302871704,1.4120852947235107,0.7114201784133911,0.7714054584503174,0.6129809617996216,0.6164707541465759,0.5443336963653564,0.5947392582893372,0.7063193321228027,0.8083591461181641,0.9984440803527832,0.8135907053947449,1.6590598821640015,71.15679931640625,0.8369408845901489,0.8713819980621338,0.9246136546134949,0.9286563396453857,0.9048168659210205,0.8273839950561523,0.7806335687637329,0.8060310482978821,1.3619099855422974,1.062414288520813,0.8630686402320862,0.9164891242980957,0.8834265470504761,0.8315820097923279,0.7938104867935181,0.8382370471954346,0.893161952495575,0.9146866798400879,1.4957321882247925,2.9583868980407715
sfno,1.0557327270507812,0.9575193524360657,0.9713445901870728,1.0036025047302246,1.2020930051803589,1.3169729709625244,1.1336060762405396,1.1549909114837646,1.3586164712905884,1.8007310628890991,2.0882248878479004,0.9143667221069336,0.8439508676528931,0.818453848361969,0.8596765995025635,0.8906300663948059,0.8532928228378296,0.8625689148902893,0.9015817642211914,1.248709797859192,1.7325223684310913,0.8719760775566101,0.7753465175628662,0.5896720290184021,0.6123886108398438,0.5232821702957153,0.5988814830780029,0.7031435370445251,0.8535236120223999,0.8890462517738342,0.714938759803772,1.154849648475647,88.77593231201172,0.9395632743835449,0.95582515001297,0.9769560694694519,0.9143585562705994,0.8703271150588989,0.8209302425384521,0.824788510799408,0.8992531895637512,1.6391574144363403,1.8067073822021484,0.843986988067627,0.8552005887031555,0.8325854539871216,0.7943240404129028,0.7726204991340637,0.7943731546401978,0.8350810408592224,0.85402512550354,1.3187824487686157,2.2456133365631104
