method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,13.372230529785156,10.406140327453613,10.328951835632324,10.116979598999023,9.437167167663574,9.890145301818848,10.058506965637207,10.179646492004395,10.69690227508545,10.580438613891602,13.776826858520508,0.3983939588069916,0.3972306549549103,0.4306880831718445,0.47461408376693726,0.5215080380439758,0.6051076650619507,0.6759272217750549,0.7164617776870728,0.7857043147087097,0.7745608687400818,44.00802993774414,21.059865951538086,0.15241019427776337,0.13820171356201172,0.11059824377298355,0.08994723111391068,0.08410356938838959,0.08352142572402954,0.0836620107293129,0.07673086225986481,0.05325665324926376,0.02156343311071396,3.5908327102661133,4.264712333679199,5.805442810058594,7.640940189361572,9.448396682739258,10.942185401916504,12.268637657165527,12.633432388305664,12.563013076782227,20.505151748657227,2.415651798248291,2.919928789138794,3.904242753982544,4.851545810699463,5.394425392150879,5.462488174438477,5.714914321899414,5.256377220153809,4.499499797821045,3.6281535625457764
coord_deeponet,15.48498249053955,11.578770637512207,11.098363876342773,10.92179012298584,10.629385948181152,10.442787170410156,10.587204933166504,10.824385643005371,11.215307235717773,12.740039825439453,13.257466316223145,0.4393560290336609,0.44342002272605896,0.46867820620536804,0.5274277925491333,0.5911068916320801,0.6611860990524292,0.7036013603210449,0.7139773368835449,0.7519253492355347,0.7447527647018433,36.68730163574219,23.485214233398438,0.17406025528907776,0.15078730881214142,0.12588411569595337,0.09631022810935974,0.08935122936964035,0.08776169270277023,0.08462803065776825,0.0858924612402916,0.05751299858093262,0.02219623513519764,4.50021505355835,5.476696968078613,7.442790508270264,9.336641311645508,10.991494178771973,12.19736385345459,14.171204566955566,15.610004425048828,16.122636795043945,21.337215423583984,3.200514554977417,3.8707122802734375,5.140339374542236,6.341649055480957,7.045248508453369,7.198268413543701,7.380876541137695,6.932045936584473,5.829713821411133,5.4202494621276855
coord_mlp,17.484846115112305,11.149188041687012,10.719819068908691,10.394144058227539,9.960826873779297,10.194206237792969,10.591687202453613,11.721052169799805,12.990795135498047,15.330909729003906,14.291104316711426,0.41988465189933777,0.41760602593421936,0.4525834321975708,0.5166019797325134,0.5875551104545593,0.6958643198013306,0.7738193869590759,0.7897248864173889,1.003156065940857,0.9557206034660339,85.65653228759766,39.88407516479492,0.18071609735488892,0.156255841255188,0.14161649346351624,0.11276450008153915,0.09804496169090271,0.09494145959615707,0.10039128363132477,0.10139050334692001,0.05809801071882248,0.023735828697681427,4.549992561340332,5.345635414123535,7.131880283355713,9.221298217773438,11.23249626159668,12.877477645874023,13.846101760864258,14.41168212890625,16.706632614135742,22.015836715698242,2.7885875701904297,3.4258341789245605,4.606969356536865,5.659664630889893,6.193155765533447,6.301175594329834,6.399130344390869,5.936120510101318,5.467654228210449,4.794301509857178
gplfr,10.782377243041992,8.12224006652832,8.133564949035645,7.941275119781494,7.885397911071777,7.890263557434082,7.717700481414795,7.494153022766113,7.830438137054443,9.51451587677002,10.573103904724121,0.31006473302841187,0.31835463643074036,0.35350143909454346,0.40408843755722046,0.45273831486701965,0.5397512912750244,0.5925418734550476,0.5981836318969727,0.6747519373893738,0.7167230248451233,29.647796630859375,19.78820037841797,0.14402608573436737,0.12956468760967255,0.1110832616686821,0.08221028745174408,0.07324844598770142,0.0739528015255928,0.07031457871198654,0.07136315107345581,0.051602620631456375,0.02176666632294655,3.3573760986328125,4.0364580154418945,5.581124305725098,7.405867576599121,9.28805923461914,10.672126770019531,12.081311225891113,12.610064506530762,12.34891414642334,18.81473731994629,2.349458694458008,2.843029022216797,3.865368127822876,4.767436981201172,5.37946081161499,5.614199638366699,5.912509918212891,5.825706481933594,5.0810699462890625,3.539216995239258
knn,16.382043838500977,12.27224349975586,11.882322311401367,11.693111419677734,11.791040420532227,11.523162841796875,11.651899337768555,12.89577579498291,14.99654483795166,16.89741325378418,15.895986557006836,0.49388521909713745,0.4980221688747406,0.5543484091758728,0.628035843372345,0.7046076655387878,0.8303797245025635,0.9409224987030029,0.9951164126396179,1.0577458143234253,1.1713817119598389,39.62907791137695,28.158336639404297,0.1908341497182846,0.1718875914812088,0.1425890475511551,0.10587913542985916,0.0958402007818222,0.09370741248130798,0.09763454645872116,0.09836839139461517,0.059644732624292374,0.03947664424777031,3.5645008087158203,4.277812480926514,6.05449104309082,8.259169578552246,10.731158256530762,12.536872863769531,14.03412914276123,14.623403549194336,13.601191520690918,21.9525146484375,2.652432918548584,3.2018332481384277,4.326517581939697,5.294804096221924,5.951989650726318,6.251945972442627,6.836415767669678,6.529029846191406,5.188575267791748,3.841495990753174
pca_gbt,13.249438285827637,11.259635925292969,10.905608177185059,10.296041488647461,10.025778770446777,9.817657470703125,9.963191032409668,10.343391418457031,11.035750389099121,11.948568344116211,15.021364212036133,0.3997024893760681,0.4043452739715576,0.44589120149612427,0.5027741193771362,0.5681720972061157,0.6741111278533936,0.7216610312461853,0.7099198698997498,0.7568385601043701,0.9310042858123779,33.91537857055664,22.284374237060547,0.16542771458625793,0.14767815172672272,0.12146550416946411,0.09035243839025497,0.08670834451913834,0.08505365252494812,0.08082751929759979,0.08290248364210129,0.05624764785170555,0.04258313402533531,3.7994885444641113,4.638331413269043,6.55409049987793,8.429717063903809,10.359268188476562,11.799944877624512,13.102523803710938,13.98739242553711,15.170181274414062,23.633106231689453,2.6950271129608154,3.2521777153015137,4.465950965881348,5.584357261657715,6.294373989105225,6.411203384399414,6.553884983062744,6.158579349517822,5.201454162597656,6.624960899353027
pca_mlp,13.951859474182129,10.149788856506348,10.08995532989502,9.971403121948242,9.904871940612793,10.026995658874512,10.206929206848145,10.343461036682129,10.231451034545898,9.302558898925781,14.96996021270752,0.3904179334640503,0.40186119079589844,0.4426448941230774,0.48642271757125854,0.5354644060134888,0.6221151947975159,0.6691157817840576,0.6511200666427612,0.7292194366455078,0.9259299635887146,34.6224250793457,23.186460494995117,0.15804511308670044,0.14280754327774048,0.12582208216190338,0.09404907375574112,0.08850798010826111,0.09097021818161011,0.08229659497737885,0.08250629156827927,0.05206318199634552,0.027781061828136444,3.802906036376953,4.565116882324219,6.219764232635498,8.054577827453613,10.014286994934082,11.750691413879395,13.56990909576416,14.52483081817627,15.178135871887207,27.686511993408203,2.585533618927002,3.1024506092071533,4.224818229675293,5.22627067565918,5.798384189605713,5.936656951904297,6.2369465827941895,6.0384202003479,5.587242126464844,5.371585369110107
pca_ridge,16.655927658081055,12.671512603759766,12.32411003112793,11.754817962646484,11.588112831115723,11.689383506774902,12.028728485107422,13.21072006225586,16.552112579345703,18.6899356842041,16.56039810180664,0.432754248380661,0.43187835812568665,0.47121745347976685,0.5415709018707275,0.6133942604064941,0.7309010028839111,0.8477287888526917,0.9534158110618591,1.0593757629394531,1.1090312004089355,39.18467712402344,27.856399536132812,0.17513622343540192,0.16038337349891663,0.1353505402803421,0.1060342937707901,0.09649451822042465,0.09562740474939346,0.09621727466583252,0.09115727245807648,0.061635635793209076,0.025534596294164658,4.101619243621826,5.209920883178711,7.7722859382629395,10.343364715576172,12.320833206176758,13.349787712097168,14.795434951782227,16.42926025390625,18.688508987426758,21.351383209228516,2.8740181922912598,3.574601888656616,5.031243324279785,6.2738423347473145,6.827645301818848,6.921424865722656,6.999327182769775,6.611751079559326,5.914564609527588,4.408474445343018
ppca_icm,11.599266052246094,8.744180679321289,8.68140983581543,8.64174747467041,8.7510347366333,8.944737434387207,9.017983436584473,8.759478569030762,9.77607250213623,11.866476058959961,12.718146324157715,0.3542783260345459,0.3601047992706299,0.3952929973602295,0.4408370554447174,0.4881812334060669,0.5725318789482117,0.6248419880867004,0.6361217498779297,0.7094449400901794,0.793796181678772,33.7695426940918,22.419679641723633,0.15819516777992249,0.14083489775657654,0.11449027806520462,0.09024015814065933,0.08418257534503937,0.08165854215621948,0.08604741841554642,0.09007395803928375,0.05522599443793297,0.02820873260498047,3.2668297290802,3.943432331085205,5.540405750274658,7.528690338134766,9.419379234313965,10.629690170288086,12.078329086303711,12.567334175109863,12.847771644592285,19.10283088684082,2.2650089263916016,2.7542293071746826,3.7453789710998535,4.652579307556152,5.305325031280518,5.7267913818359375,6.2314453125,6.032102584838867,5.266557216644287,4.019413471221924
sfno,14.324004173278809,10.477492332458496,10.00197696685791,9.789066314697266,9.9037504196167,10.388678550720215,11.046537399291992,11.899203300476074,12.61993408203125,12.39811897277832,13.519153594970703,0.38917216658592224,0.3994235098361969,0.42435020208358765,0.5084552764892578,0.5489389300346375,0.6332176327705383,0.6774486303329468,0.7390855550765991,0.7680127620697021,0.830122172832489,39.97138595581055,22.965742111206055,0.15635746717453003,0.14040370285511017,0.1124725416302681,0.09149032086133957,0.08432582765817642,0.08620213717222214,0.07850095629692078,0.07596336305141449,0.05208434537053108,0.022653335705399513,3.760118007659912,4.4997968673706055,6.288296699523926,8.24506950378418,10.052188873291016,11.4921875,13.223883628845215,14.036985397338867,15.428977012634277,20.98074722290039,2.4277663230895996,2.8894217014312744,3.9795963764190674,4.993925094604492,5.644405841827393,5.885087966918945,6.2203264236450195,5.913843631744385,5.058422565460205,3.914191246032715
