method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,1.018730640411377,4.200046062469482,1.0918354988098145,1.470292329788208,3.4505016803741455,1.3025012016296387,1.001754641532898,1.1488927602767944
coord_deeponet,1.0192087888717651,4.743343353271484,1.2133747339248657,1.3565950393676758,3.0807816982269287,1.2112518548965454,1.0039048194885254,1.118770718574524
coord_mlp,0.9912832975387573,4.219465255737305,1.1056931018829346,1.2853559255599976,3.459827423095703,1.1897345781326294,0.9869809746742249,0.9501544833183289
gplfr,1.047177791595459,5.136190891265869,1.2985533475875854,1.503434419631958,3.61397385597229,1.3620450496673584,1.0054055452346802,1.176120400428772
knn,1.0435914993286133,5.671046257019043,1.3100757598876953,1.3175597190856934,3.629149913787842,1.2472363710403442,1.003507375717163,1.0750585794448853
pca_gbt,1.0380384922027588,4.431608200073242,1.232460618019104,1.3884366750717163,3.373417377471924,1.1913450956344604,1.0048298835754395,1.1516889333724976
pca_mlp,1.037928819656372,4.534906387329102,1.2565284967422485,1.4125730991363525,3.387207508087158,1.2196730375289917,1.0048353672027588,1.1479265689849854
pca_ridge,1.0431180000305176,4.0403008460998535,1.2447069883346558,1.3328642845153809,3.3775012493133545,1.2552789449691772,1.0047616958618164,1.1193106174468994
ppca_icm,1.0511250495910645,5.322991371154785,1.2877832651138306,1.4577043056488037,3.8907711505889893,1.3114784955978394,1.0046628713607788,1.1528632640838623
sfno,1.0371503829956055,4.272302627563477,1.199336051940918,1.471718668937683,3.4797253608703613,1.2824362516403198,1.0037715435028076,1.1313369274139404
train_mean,1.0251433849334717,4.086145401000977,1.1496903896331787,1.1878652572631836,2.8076937198638916,1.0432521104812622,1.0037715435028076,0.9884036779403687
