method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,1.0683164596557617,0.8853810429573059,0.8435068130493164,0.6051378846168518,0.7718861103057861,0.7119306325912476,1.009531021118164,0.7282606363296509
coord_deeponet,1.0960519313812256,0.9624262452125549,0.873616099357605,0.6559427380561829,0.9059558510780334,0.9243284463882446,0.8266519904136658,0.8082030415534973
coord_mlp,1.350223422050476,1.027890920639038,1.076700210571289,0.7231675982475281,0.9496015906333923,0.8582485318183899,2.094189167022705,1.4310157299041748
gplfr,0.7348847389221191,0.6664338707923889,0.66517174243927,0.5590317249298096,0.7610818147659302,0.7473699450492859,0.5808218121528625,0.6348080635070801
knn,1.2825928926467896,1.2093088626861572,1.2468352317810059,0.7517367005348206,0.832310676574707,0.8283330202102661,0.883643627166748,1.0230122804641724
pca_gbt,0.9619677066802979,0.9293258190155029,0.8836098909378052,0.6449089050292969,0.8777987957000732,0.8687546253204346,0.7011507153511047,0.7349663972854614
pca_mlp,1.0883054733276367,0.9425706267356873,0.8094886541366577,0.6392945051193237,0.9043076038360596,0.8243337869644165,0.7221971154212952,0.805866539478302
pca_ridge,1.307268500328064,1.1414148807525635,1.0610077381134033,0.7014668583869934,1.0483070611953735,0.937798261642456,0.8091794848442078,0.9775423407554626
ppca_icm,0.9294688701629639,0.8295407295227051,0.7776010036468506,0.6280731558799744,0.7841795682907104,0.8015060424804688,0.7114202380180359,0.7714053988456726
sfno,1.0557327270507812,0.9577412605285645,0.8211114406585693,0.6080504655838013,0.8742114305496216,0.7569305896759033,0.8719761967658997,0.775346577167511
train_mean,1.679621934890747,1.6549971103668213,1.5151115655899048,0.8669055700302124,1.2647132873535156,1.2045772075653076,1.3421084880828857,1.5714470148086548
