method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,0.9352974891662598,0.5045892670750618,0.6490643963217735,0.6911675453186035,0.6824328660964966,0.6949334800243377,0.9933544993400574,0.8702170848846436
coord_deeponet,0.9422861337661743,0.5699518740177154,0.720512929558754,0.6492101520299911,0.6483208745718002,0.635690587759018,0.9953678250312805,0.8534625172615051
coord_mlp,0.9150043725967407,0.42928455024957657,0.6529234521090984,0.5608252748847008,0.5973645091056824,0.626079899072647,0.9792116284370422,0.6921651363372803
gplfr,0.9728075265884399,0.6897822171449661,0.7951019674539566,0.7134550720453262,0.730571860074997,0.7024211257696151,0.9968134164810181,0.8886244297027588
knn,0.9675062298774719,0.6342451572418213,0.7804919242858886,0.6347853392362595,0.6698642611503601,0.6648091018199921,0.9949461221694946,0.8153479099273682
pca_gbt,0.9643977880477905,0.5905296549201011,0.7551705807447433,0.662357023358345,0.6520624816417694,0.6304126977920532,0.9960055351257324,0.8602495193481445
pca_mlp,0.9512108564376831,0.6289445191621781,0.7623748347163201,0.6728346347808838,0.6672449141740799,0.6591102570295334,0.9959985017776489,0.8573113679885864
pca_ridge,0.9648683071136475,0.45899458408821375,0.74398243278265,0.6057067573070526,0.6023461252450943,0.6268795251846313,0.9954798817634583,0.8248118162155151
ppca_icm,0.9706354141235352,0.6278322696685791,0.7749673709273338,0.6897536635398864,0.6966657668352128,0.6729676514863968,0.9961140155792236,0.8727918863296509
sfno,0.95804762840271,0.5227116018533706,0.716921928524971,0.6865214616060257,0.6820575267076492,0.6908194452524186,0.9953799843788147,0.8569254279136658
train_mean,0.9412403106689453,0.39984707832336425,0.6824259459972382,0.5354751527309418,0.5284722447395325,0.5435263067483902,0.9941542148590088,0.7119371891021729
