method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,0.9352974891662598,0.8522173762321472,0.8076130747795105,0.739669680595398,0.6151885986328125,0.4443787932395935,0.3513110876083374,0.40887928009033203,0.34676748514175415,0.20976878702640533,0.2700985074043274,0.867522120475769,0.862570583820343,0.8148835897445679,0.8009056448936462,0.7956386208534241,0.7754519581794739,0.706658124923706,0.5495591163635254,0.2487984448671341,0.06865575909614563,0.9933544993400574,0.8702170848846436,0.7207437753677368,0.7447648048400879,0.7952268123626709,0.8237115144729614,0.8177669048309326,0.8024985790252686,0.77200847864151,0.6881387829780579,0.48618215322494507,0.260633647441864,0.8405937552452087,0.7935708165168762,0.7357364892959595,0.7368341684341431,0.7450948357582092,0.7444509863853455,0.720073401927948,0.6645355224609375,0.4663029909133911,0.377135694026947,0.7743537425994873,0.7313933968544006,0.6920691728591919,0.7216892838478088,0.7632810473442078,0.7774574160575867,0.7346069812774658,0.6961632370948792,0.5095236301422119,0.5487968921661377
coord_deeponet,0.9422861337661743,0.902328610420227,0.8814989924430847,0.8340724110603333,0.707139790058136,0.5150549411773682,0.36640918254852295,0.46858662366867065,0.4790439009666443,0.32639455795288086,0.21898972988128662,0.8904127478599548,0.8811912536621094,0.8533874154090881,0.8331393599510193,0.8265977501869202,0.8210437297821045,0.7988002300262451,0.7258302569389343,0.4166202247142792,0.15810632705688477,0.9953678250312805,0.8534625172615051,0.6334953904151917,0.674824059009552,0.7239527106285095,0.7609038352966309,0.7777407765388489,0.7620714902877808,0.7395658493041992,0.6676087975502014,0.49582329392433167,0.2561153173446655,0.7973225712776184,0.7485544681549072,0.6947316527366638,0.7065843343734741,0.7196083068847656,0.7255257368087769,0.6869085431098938,0.6034964919090271,0.422988623380661,0.37748801708221436,0.7254369258880615,0.6811169385910034,0.6318139433860779,0.6524175405502319,0.727824866771698,0.7531967759132385,0.6983731985092163,0.6107454299926758,0.42001402378082275,0.4559662342071533
coord_mlp,0.9150043725967407,0.8395475149154663,0.8170987367630005,0.7840505242347717,0.7061823606491089,0.5181298851966858,0.24106787145137787,0.16185560822486877,0.18598659336566925,0.15719746053218842,-0.11827105283737183,0.8668104410171509,0.8514627814292908,0.8207705020904541,0.8029960989952087,0.7898086309432983,0.7586029171943665,0.6820129156112671,0.5818371176719666,0.2660837769508362,0.10884933918714523,0.9792116284370422,0.6921651363372803,0.4890279173851013,0.583882212638855,0.650187611579895,0.7209621667861938,0.7493720054626465,0.7362646460533142,0.6904565691947937,0.5915694832801819,0.3601221740245819,0.0364079624414444,0.7808395028114319,0.6980797648429871,0.624115526676178,0.6495881676673889,0.6510666608810425,0.6629047393798828,0.6571580767631531,0.5756188035011292,0.3688458204269409,0.30542802810668945,0.6990336775779724,0.6247017979621887,0.5847395062446594,0.6423039436340332,0.7064246535301208,0.7298833131790161,0.679086446762085,0.6461933851242065,0.4946594834327698,0.45377278327941895
gplfr,0.9728075265884399,0.9271609783172607,0.9143059253692627,0.888053834438324,0.8327133655548096,0.707400918006897,0.5338229537010193,0.6107242107391357,0.6220047473907471,0.43571099638938904,0.42592424154281616,0.9404224753379822,0.9260475039482117,0.904366135597229,0.8930027484893799,0.8941014409065247,0.8875529766082764,0.8670801520347595,0.8100911378860474,0.5421309471130371,0.2862241566181183,0.9968134164810181,0.8886244297027588,0.7417428493499756,0.7678567171096802,0.7966766357421875,0.8328612446784973,0.836159884929657,0.821196973323822,0.7873709797859192,0.7062591910362244,0.5490949153900146,0.29533132910728455,0.8564457297325134,0.815863847732544,0.7616516947746277,0.7694919109344482,0.7813148498535156,0.7719410061836243,0.7569825053215027,0.6976069808006287,0.5916630625724792,0.5027570128440857,0.794864296913147,0.7640617489814758,0.7185169458389282,0.7270728945732117,0.7527384161949158,0.7803346514701843,0.7438228130340576,0.6865556240081787,0.4959717094898224,0.5602721571922302
knn,0.9675062298774719,0.9111925959587097,0.8983794450759888,0.8775976300239563,0.8205118179321289,0.6020122766494751,0.42341649532318115,0.5716800093650818,0.5220363140106201,0.32580986618995667,0.3898151218891144,0.928183913230896,0.9122735261917114,0.8739914894104004,0.8527711629867554,0.8642367124557495,0.8632388114929199,0.844576358795166,0.7751259207725525,0.5237308144569397,0.3667905330657959,0.9949461221694946,0.8153479099273682,0.6206077933311462,0.6456014513969421,0.7174280285835266,0.7602909803390503,0.7704607248306274,0.7536738514900208,0.7204599380493164,0.6580857634544373,0.48279836773872375,0.2184464931488037,0.8076959848403931,0.7540719509124756,0.7035124897956848,0.6991509795188904,0.7037478685379028,0.7178480625152588,0.6987408995628357,0.6247276067733765,0.48887717723846436,0.5002695918083191,0.7296973466873169,0.6710801720619202,0.625312328338623,0.6624026894569397,0.7160648107528687,0.7493541240692139,0.7128384113311768,0.6485382318496704,0.542387068271637,0.5904158353805542
pca_gbt,0.9643977880477905,0.9019531011581421,0.8828418850898743,0.8348249197006226,0.7710115313529968,0.626610517501831,0.4541599750518799,0.4845532178878784,0.5352017879486084,0.3176676630973816,0.09647195041179657,0.9171447157859802,0.8990940451622009,0.865612804889679,0.8531239032745361,0.8587345480918884,0.8632189035415649,0.841591477394104,0.7613611221313477,0.4571162164211273,0.23470807075500488,0.9960055351257324,0.8602495193481445,0.6457443833351135,0.6993304491043091,0.7702651619911194,0.8113929033279419,0.8040377497673035,0.7867472171783447,0.7455206513404846,0.6770460605621338,0.49641817808151245,0.18706747889518738,0.8092963099479675,0.7531319856643677,0.6985342502593994,0.69852614402771,0.7163780927658081,0.715648353099823,0.7092044353485107,0.6389902234077454,0.4701521396636963,0.310762882232666,0.7226778864860535,0.6682613492012024,0.6197315454483032,0.6368460059165955,0.6859275698661804,0.7249221205711365,0.6902033090591431,0.6521870493888855,0.46235963702201843,0.4410105049610138
pca_mlp,0.9512108564376831,0.918337345123291,0.9003180861473083,0.854619562625885,0.794111967086792,0.6535043716430664,0.4485262632369995,0.518742024898529,0.5640715956687927,0.3765803873538971,0.26063358783721924,0.9191310405731201,0.9021303057670593,0.8652865290641785,0.851155161857605,0.8496662378311157,0.8553093075752258,0.8408737182617188,0.7848458290100098,0.521743655204773,0.23360656201839447,0.9959985017776489,0.8573113679885864,0.6834339499473572,0.7151771783828735,0.7665866613388062,0.8060032725334167,0.8149598836898804,0.7959692478179932,0.7583490610122681,0.6751096844673157,0.5179579257965088,0.1947994828224182,0.8285015225410461,0.7777939438819885,0.7101168632507324,0.7129124999046326,0.7415087223052979,0.737779438495636,0.7063736319541931,0.6286356449127197,0.46848464012145996,0.36034223437309265,0.7603670358657837,0.7164694666862488,0.6661182045936584,0.6810198426246643,0.7344949841499329,0.7420300245285034,0.7071701884269714,0.6566657423973083,0.4963614046573639,0.4304056763648987
pca_ridge,0.9648683071136475,0.895901083946228,0.8735834956169128,0.8235902190208435,0.7261151671409607,0.4882780611515045,0.15609294176101685,0.18755820393562317,0.29045411944389343,0.14492830634117126,0.003444242523983121,0.9108954071998596,0.8923628926277161,0.854684054851532,0.8336837887763977,0.8339745998382568,0.8338261842727661,0.8194433450698853,0.7745980024337769,0.4712701737880707,0.21508587896823883,0.9954798817634583,0.8248118162155151,0.588531494140625,0.621066153049469,0.6891120076179504,0.7337518334388733,0.7426860928535461,0.716372549533844,0.6874725818634033,0.6336027383804321,0.48069512844085693,0.16377699375152588,0.7736545205116272,0.6986061334609985,0.6093904972076416,0.6247254014015198,0.6481532454490662,0.6659706830978394,0.6637083888053894,0.5835968852043152,0.35861390829086304,0.39704158902168274,0.6902530789375305,0.6385894417762756,0.5855038166046143,0.5999579429626465,0.686406135559082,0.7176166772842407,0.6782591938972473,0.6606370806694031,0.5003135204315186,0.5112583637237549
ppca_icm,0.9706354141235352,0.9215626120567322,0.9050054550170898,0.843593180179596,0.7833616137504578,0.6331115365028381,0.4776551425457001,0.549188494682312,0.5496786832809448,0.3594599962234497,0.25570598244667053,0.9348630309104919,0.9183838963508606,0.886372983455658,0.8720378875732422,0.8708556294441223,0.8710191249847412,0.8594000339508057,0.7936349511146545,0.4993996322154999,0.24370653927326202,0.9961140155792236,0.8727918863296509,0.6937659382820129,0.7446731925010681,0.7928012013435364,0.8224337697029114,0.8181268572807312,0.8015464544296265,0.7632256150245667,0.6930325627326965,0.5170982480049133,0.25083279609680176,0.8443199992179871,0.7992823123931885,0.7363629937171936,0.7281848192214966,0.7472456693649292,0.7467326521873474,0.7338947057723999,0.6802955865859985,0.5246583819389343,0.425680547952652,0.7843536734580994,0.7515830993652344,0.7043101191520691,0.6955024600028992,0.7273093461990356,0.7507286667823792,0.7219427227973938,0.6485550403594971,0.451948344707489,0.4934430420398712
sfno,0.95804762840271,0.8928821682929993,0.8711434602737427,0.7799088358879089,0.6791931986808777,0.528647243976593,0.3440672755241394,0.33901703357696533,0.35644397139549255,0.24653403460979462,0.18927879631519318,0.9144489169120789,0.893131673336029,0.8623155951499939,0.8429820537567139,0.8367044925689697,0.8371691107749939,0.8156443238258362,0.7101306319236755,0.28037580847740173,0.17631667852401733,0.9953799843788147,0.8569254279136658,0.7118692398071289,0.7430205345153809,0.773542046546936,0.8129903674125671,0.8299421668052673,0.811290979385376,0.7699713110923767,0.6888512969017029,0.499091237783432,0.2246454358100891,0.8349989056587219,0.7835699319839478,0.7241005301475525,0.7308619022369385,0.7565380334854126,0.7592129707336426,0.7320351600646973,0.6397265195846558,0.46183496713638306,0.3976963460445404,0.7752474546432495,0.7399298548698425,0.6919674277305603,0.7242318987846375,0.7672377824783325,0.7839488387107849,0.7229849100112915,0.6886323690414429,0.49881091713905334,0.5152029991149902
