method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,13.199007987976074,10.750520706176758,10.56533432006836,10.163729667663574,9.666264533996582,9.949408531188965,10.093600273132324,10.784201622009277,12.052802085876465,13.545350074768066,14.041272163391113,0.4029804468154907,0.4046073853969574,0.4273286759853363,0.4655609726905823,0.4960939288139343,0.5713690519332886,0.6579518914222717,0.683411180973053,0.8101217150688171,0.8127114772796631,39.65610122680664,18.78583335876465,0.1689728945493698,0.14872956275939941,0.12555864453315735,0.09584643691778183,0.08450199663639069,0.08335950970649719,0.07996657490730286,0.07083678990602493,0.05412982776761055,0.03787042945623398,3.7725284099578857,4.545441150665283,6.178866386413574,8.556622505187988,10.317537307739258,11.926815032958984,13.947053909301758,15.123140335083008,18.23692512512207,28.1781063079834,2.4151499271392822,2.8764805793762207,3.9167263507843018,4.954020023345947,5.503403186798096,5.608677864074707,5.838912010192871,5.482871055603027,4.814035892486572,5.0353102684021
coord_deeponet,13.206903457641602,10.6272611618042,10.233376502990723,9.945937156677246,9.451788902282715,9.314399719238281,9.862753868103027,10.990471839904785,12.209405899047852,14.018595695495605,15.223602294921875,0.4165317714214325,0.412460595369339,0.4343925416469574,0.48078155517578125,0.531936764717102,0.5959223508834839,0.6359577178955078,0.6760419607162476,0.7132186889648438,0.7070843577384949,32.128475189208984,20.944971084594727,0.19638009369373322,0.16822415590286255,0.14581039547920227,0.11358292400836945,0.09272890537977219,0.08750178664922714,0.0845332220196724,0.08173692971467972,0.05968240648508072,0.04635903984308243,4.520367622375488,5.497103691101074,7.371697425842285,9.407319068908691,11.294343948364258,12.865883827209473,15.244855880737305,17.372060775756836,19.40546226501465,30.899696350097656,3.2915689945220947,3.895442247390747,4.997447490692139,6.346946716308594,6.984368801116943,7.02646017074585,7.400632381439209,7.427244663238525,6.795039653778076,7.095863342285156
coord_mlp,18.197097778320312,12.799500465393066,12.78951644897461,12.517035484313965,11.947258949279785,12.111363410949707,11.819348335266113,12.581997871398926,14.771088600158691,18.80006217956543,14.817194938659668,0.4732125699520111,0.4711328148841858,0.5030301809310913,0.5548124313354492,0.613641083240509,0.7138785719871521,0.7900742292404175,0.8470478057861328,1.128014326095581,0.9536095261573792,81.76162719726562,37.80351638793945,0.2307962328195572,0.20069581270217896,0.17420759797096252,0.1409223973751068,0.11467169225215912,0.10643492639064789,0.10457801073789597,0.09911610186100006,0.06423471868038177,0.053299859166145325,5.297842979431152,6.1733012199401855,8.241905212402344,10.705921173095703,12.921354293823242,14.416670799255371,17.010509490966797,18.721797943115234,25.206815719604492,29.795589447021484,3.0021374225616455,3.6495532989501953,5.060981750488281,6.284574508666992,6.898268222808838,7.231027603149414,7.392031669616699,6.9514055252075195,6.497908592224121,6.9531755447387695
gplfr,10.036452293395996,8.412020683288574,8.30740737915039,7.927224159240723,7.666500568389893,7.443280220031738,7.304052829742432,7.610580921173096,9.555941581726074,11.204710006713867,9.553109169006348,0.3003346920013428,0.3077874779701233,0.33658266067504883,0.37340351939201355,0.4093625843524933,0.4577461779117584,0.5062536597251892,0.5372249484062195,0.6000640988349915,0.636244535446167,23.91234588623047,17.155488967895508,0.15691962838172913,0.14285647869110107,0.12355373799800873,0.09184921532869339,0.07618746906518936,0.07404744625091553,0.06880849599838257,0.06842067837715149,0.04957113415002823,0.03834092617034912,3.4966397285461426,4.1758623123168945,5.800353527069092,7.808664798736572,9.525562286376953,10.86382007598877,13.747306823730469,14.673066139221191,16.65359878540039,26.845733642578125,2.336876392364502,2.8129913806915283,3.9934380054473877,4.910531997680664,5.554007053375244,5.775718688964844,6.294300556182861,6.352365493774414,5.61816930770874,5.366420269012451
knn,19.070541381835938,14.784529685974121,14.466434478759766,14.190072059631348,14.11538028717041,14.162647247314453,14.568714141845703,14.913891792297363,16.81171417236328,17.528356552124023,14.759584426879883,0.5798346400260925,0.5850568413734436,0.6131497025489807,0.6721517443656921,0.7509128451347351,0.8638752698898315,0.958035409450531,1.0034617185592651,0.9932717084884644,0.9761403799057007,35.117374420166016,27.53128433227539,0.20679058134555817,0.1905440092086792,0.16000626981258392,0.11895112693309784,0.1045764833688736,0.09938431531190872,0.09401173144578934,0.093221016228199,0.058724623173475266,0.05767160654067993,4.093184471130371,5.075279712677002,7.079594135284424,9.695530891418457,11.80097770690918,13.49421215057373,16.757658004760742,18.30939483642578,19.27814483642578,26.834888458251953,2.9060564041137695,3.5788214206695557,4.767528533935547,6.074153900146484,6.883192539215088,7.161756992340088,7.604437351226807,7.335909843444824,6.038507461547852,5.404962062835693
pca_gbt,12.149626731872559,10.581162452697754,10.329207420349121,9.775971412658691,9.309823036193848,9.08675765991211,9.218839645385742,9.532340049743652,10.929969787597656,12.54356575012207,14.444489479064941,0.3688707947731018,0.3799842596054077,0.41273239254951477,0.45968377590179443,0.5095509886741638,0.5850509405136108,0.6264982223510742,0.6469326019287109,0.7200876474380493,0.9008111953735352,28.968496322631836,20.64192771911621,0.18516263365745544,0.164857417345047,0.13161958754062653,0.09841137379407883,0.0910237729549408,0.08634531497955322,0.07978406548500061,0.07792927324771881,0.05756627023220062,0.0657244622707367,4.077601909637451,4.974669933319092,6.926325798034668,9.143800735473633,10.845014572143555,12.013130187988281,14.567770957946777,16.122875213623047,20.466169357299805,32.06610870361328,2.741884469985962,3.345679521560669,4.777736663818359,5.950751781463623,6.71626091003418,6.768385410308838,7.1545610427856445,6.926560878753662,6.073657035827637,8.873028755187988
pca_mlp,12.706315040588379,9.781172752380371,9.649181365966797,9.437589645385742,9.145511627197266,8.993861198425293,9.309601783752441,10.028471946716309,11.127349853515625,11.477120399475098,16.425331115722656,0.3876830041408539,0.39399462938308716,0.4192109704017639,0.45205560326576233,0.4928182363510132,0.5572506785392761,0.6041942834854126,0.6122460961341858,0.675703227519989,0.894639253616333,28.73229217529297,20.67842674255371,0.18089944124221802,0.16155044734477997,0.14216716587543488,0.10490681231021881,0.09218067675828934,0.09143126755952835,0.08194456249475479,0.07811503112316132,0.05351625755429268,0.06500735133886337,3.970968008041382,4.715147018432617,6.5718488693237305,8.775379180908203,10.777429580688477,12.191035270690918,15.033775329589844,16.835954666137695,20.420209884643555,38.15555191040039,2.7478725910186768,3.3087596893310547,4.463463306427002,5.545541286468506,6.153144836425781,6.2635369300842285,6.735943794250488,6.7237548828125,6.510679721832275,7.6545281410217285
pca_ridge,16.833587646484375,14.125165939331055,13.908464431762695,13.419510841369629,12.978604316711426,12.684840202331543,12.22792911529541,13.05355453491211,16.651277542114258,19.623300552368164,17.421951293945312,0.49756374955177307,0.49717557430267334,0.5199906826019287,0.5782474875450134,0.6499621868133545,0.7331027984619141,0.8023191690444946,0.8731366991996765,0.9617104530334473,1.0116256475448608,34.28230285644531,26.050378799438477,0.21972736716270447,0.20324847102165222,0.1668357253074646,0.12691164016723633,0.11106216162443161,0.10649687796831131,0.10168252140283585,0.09328354150056839,0.06512714922428131,0.05305555462837219,4.598639011383057,5.764556884765625,8.67420768737793,11.674530982971191,14.093149185180664,15.607666015625,18.704967498779297,20.96111488342285,26.077194213867188,30.65087890625,3.1168031692504883,3.818549394607544,5.50412130355835,6.9012956619262695,7.584039688110352,7.81886100769043,8.198959350585938,7.902930736541748,7.370860576629639,6.723171234130859
ppca_icm,10.381856918334961,8.511841773986816,8.47590446472168,8.348612785339355,8.195124626159668,8.151448249816895,8.204556465148926,8.276580810546875,10.430468559265137,12.140787124633789,11.357226371765137,0.32236501574516296,0.3318764865398407,0.3570272624492645,0.39470174908638,0.4313681721687317,0.4835660755634308,0.5211723446846008,0.5537461638450623,0.6275532841682434,0.6226224303245544,27.894737243652344,19.572938919067383,0.16985666751861572,0.15193738043308258,0.1257767230272293,0.09980937838554382,0.08789017051458359,0.08084674179553986,0.07956752926111221,0.0816955417394638,0.05416779965162277,0.04424884915351868,3.641279935836792,4.517755508422852,6.153792858123779,8.380600929260254,10.12446117401123,11.286779403686523,13.89366626739502,14.77481746673584,17.08863067626953,24.968862533569336,2.5325121879577637,3.0525355339050293,4.164339065551758,5.250237464904785,5.93311071395874,6.254688262939453,6.736677169799805,6.617089748382568,5.907939910888672,5.958581924438477
sfno,13.54281234741211,10.551654815673828,10.31189250946045,9.887927055358887,10.158571243286133,10.28489875793457,11.060117721557617,11.734908103942871,13.172674179077148,13.665119171142578,14.38737678527832,0.3833172917366028,0.3943922817707062,0.41125714778900146,0.4851329028606415,0.5193253755569458,0.5790371298789978,0.6192725896835327,0.6941521763801575,0.7658928632736206,0.8125771880149841,34.20325469970703,20.247047424316406,0.1768726408481598,0.1574072539806366,0.13111580908298492,0.09835657477378845,0.08410549908876419,0.08585675805807114,0.07743241637945175,0.07168276607990265,0.053658656775951385,0.04291803017258644,3.899365186691284,4.656615734100342,6.554236888885498,8.831411361694336,10.741183280944824,12.159408569335938,14.70562744140625,15.77917766571045,20.480932235717773,29.152612686157227,2.477447748184204,2.922975540161133,4.098467826843262,5.116691589355469,5.733871936798096,6.017312049865723,6.570685386657715,6.331643104553223,5.743719577789307,5.522794246673584
