method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
conv_decoder,12.601461410522461,9.962335586547852,9.713249206542969,9.353509902954102,8.77239990234375,8.871262550354004,8.946768760681152,9.726094245910645,10.772115707397461,11.791845321655273,12.237310409545898,0.3768145442008972,0.3767341077327728,0.3916284143924713,0.42815154790878296,0.4546486437320709,0.5225188136100769,0.5985140800476074,0.6178410053253174,0.6920880079269409,0.6896370053291321,37.149436950683594,17.370330810546875,0.1455126851797104,0.12917546927928925,0.10620680451393127,0.08256486803293228,0.07511438429355621,0.07374569028615952,0.0709054097533226,0.061415500938892365,0.04611365869641304,0.03125765919685364,3.1963889598846436,3.8588874340057373,5.3306097984313965,7.173492431640625,8.829397201538086,10.225204467773438,11.51063060760498,12.601524353027344,14.287408828735352,22.034284591674805,2.060669183731079,2.463087558746338,3.3181252479553223,4.149202346801758,4.6148176193237305,4.799421310424805,4.954092025756836,4.594409465789795,4.027761936187744,4.138643741607666
coord_deeponet,12.775678634643555,10.18878173828125,9.800705909729004,9.526634216308594,9.08858585357666,8.889253616333008,9.367431640625,10.564108848571777,11.753557205200195,13.658345222473145,14.492703437805176,0.3974103331565857,0.39150428771972656,0.40762507915496826,0.450124055147171,0.49870938062667847,0.5552124977111816,0.6008245348930359,0.6458698511123657,0.6775766015052795,0.6736144423484802,29.684356689453125,19.03484344482422,0.16196322441101074,0.14167538285255432,0.11996839195489883,0.0953720211982727,0.07983266562223434,0.07602483034133911,0.07389284670352936,0.07096149027347565,0.05047580227255821,0.03685590252280235,3.8172855377197266,4.6208906173706055,6.286740303039551,8.113326072692871,9.745698928833008,10.865514755249023,12.662757873535156,14.207118034362793,15.761148452758789,23.261470794677734,2.6367907524108887,3.1796212196350098,4.296189785003662,5.255460739135742,5.761285305023193,5.917044639587402,6.111673355102539,5.985766887664795,5.389169692993164,5.372098445892334
coord_mlp,17.184656143188477,12.175585746765137,12.13447380065918,11.862889289855957,11.342018127441406,11.371259689331055,11.020414352416992,11.800922393798828,13.852849960327148,17.848119735717773,13.069252014160156,0.44558295607566833,0.4366752505302429,0.46131831407546997,0.5051978230476379,0.5566471219062805,0.6621041893959045,0.7426243424415588,0.8015242218971252,1.064774990081787,0.8977901935577393,77.1313705444336,34.2557258605957,0.1828661412000656,0.15997718274593353,0.13987627625465393,0.11252880096435547,0.09566293656826019,0.09134948253631592,0.09067565202713013,0.08641953021287918,0.053125567734241486,0.03856861591339111,4.256571292877197,5.0139336585998535,6.870596408843994,9.134319305419922,11.064687728881836,12.67455768585205,14.230912208557129,15.673908233642578,18.21527099609375,25.04581069946289,2.4677352905273438,3.015918731689453,4.103217124938965,5.139161586761475,5.717192649841309,6.0253143310546875,6.22661018371582,5.894772052764893,5.410099983215332,5.556818008422852
gplfr,9.826775550842285,8.140511512756348,8.03052806854248,7.6678290367126465,7.402457237243652,7.076066970825195,7.012044906616211,7.364460468292236,9.315855026245117,10.946983337402344,8.984501838684082,0.2883622944355011,0.29289710521698,0.3158966600894928,0.3506370186805725,0.3830287456512451,0.4355536103248596,0.48850423097610474,0.5247412323951721,0.5887407660484314,0.6249938011169434,22.54296875,16.022092819213867,0.13586099445819855,0.12331362813711166,0.10480298846960068,0.07990400493144989,0.0677550658583641,0.06624647974967957,0.061326753348112106,0.05921127274632454,0.04324784874916077,0.03203053027391434,2.9826760292053223,3.5948169231414795,5.001015663146973,6.771280765533447,8.457915306091309,9.7524995803833,11.208012580871582,12.289231300354004,13.548859596252441,20.881731033325195,2.0160727500915527,2.450345039367676,3.368487596511841,4.18532133102417,4.689096450805664,4.978912353515625,5.298849582672119,5.203320503234863,4.681114673614502,4.287757396697998
knn,18.793922424316406,14.454833030700684,14.111852645874023,13.826109886169434,13.781270027160645,13.72827434539795,14.181915283203125,14.650714874267578,16.499723434448242,17.11760139465332,14.263748168945312,0.5671833157539368,0.5698233842849731,0.5942241549491882,0.6510522961616516,0.727492094039917,0.841357946395874,0.9419113397598267,0.9935860633850098,0.9824356436729431,0.967411458492279,33.178287506103516,24.795509338378906,0.17557653784751892,0.16031306982040405,0.13479140400886536,0.10138968378305435,0.08977178484201431,0.08607745915651321,0.08155550807714462,0.07736567407846451,0.04831058904528618,0.04253387078642845,3.4968676567077637,4.223072528839111,5.909091472625732,8.01778793334961,10.113676071166992,11.830511093139648,13.687036514282227,15.136798858642578,15.375271797180176,21.43056869506836,2.4275572299957275,2.9362576007843018,3.9785995483398438,4.942707538604736,5.535831451416016,5.9351301193237305,6.3161940574646,5.931217670440674,4.934980869293213,4.282456874847412
pca_gbt,11.870917320251465,10.253080368041992,9.998872756958008,9.470783233642578,9.027738571166992,8.738530158996582,8.900145530700684,9.181622505187988,10.625136375427246,12.23140811920166,13.444103240966797,0.35177502036094666,0.3592047095298767,0.38753440976142883,0.429943323135376,0.4784049391746521,0.5579429864883423,0.6051287055015564,0.6277605295181274,0.6981417536735535,0.8742316365242004,27.16459083557129,19.15777015686035,0.1578107476234436,0.14116980135440826,0.11238737404346466,0.0859408751130104,0.07988512516021729,0.07614345848560333,0.07007429748773575,0.06772994995117188,0.0479874424636364,0.04845887050032616,3.4305479526519775,4.154982566833496,5.832343578338623,7.664156913757324,9.339261054992676,10.520795822143555,11.938100814819336,13.506523132324219,15.488875389099121,24.96868324279785,2.3260135650634766,2.816926956176758,3.9199423789978027,4.935903072357178,5.505182266235352,5.693850994110107,5.902669906616211,5.569287300109863,4.879027843475342,6.565942764282227
pca_mlp,12.399310111999512,9.485588073730469,9.338590621948242,9.13960075378418,8.857307434082031,8.618809700012207,8.941347122192383,9.693906784057617,10.747108459472656,11.037040710449219,15.630687713623047,0.3724830746650696,0.37533316016197205,0.39561593532562256,0.42422303557395935,0.46267569065093994,0.5309872627258301,0.5833427906036377,0.593650758266449,0.6597428321838379,0.877532422542572,26.90611457824707,19.07231903076172,0.1542682647705078,0.14002057909965515,0.12043256312608719,0.09109780192375183,0.08135699480772018,0.08144623041152954,0.07194117456674576,0.06790373474359512,0.046219512820243835,0.04876064881682396,3.3817529678344727,4.047646999359131,5.60633659362793,7.492297172546387,9.293310165405273,10.765935897827148,12.41369342803955,13.969911575317383,16.441497802734375,28.573740005493164,2.3356587886810303,2.800933599472046,3.800841808319092,4.723143100738525,5.216116905212402,5.403650760650635,5.629236221313477,5.46361780166626,5.249731540679932,5.91529655456543
pca_ridge,16.5269832611084,13.825581550598145,13.584599494934082,13.079636573791504,12.621271133422852,12.241595268249512,11.757707595825195,12.550987243652344,16.2193546295166,19.320058822631836,16.671091079711914,0.48211172223091125,0.4770044982433319,0.4904373586177826,0.5441426038742065,0.612471342086792,0.7035476565361023,0.7802091240882874,0.8582738041877747,0.9479659199714661,0.998720645904541,32.39564514160156,24.06399154663086,0.18653547763824463,0.17152094841003418,0.14312800765037537,0.11004799604415894,0.09667444974184036,0.0933934897184372,0.08937513083219528,0.08191551268100739,0.056266557425260544,0.040125709027051926,3.876605987548828,4.9161696434021,7.350300312042236,10.033437728881836,12.331430435180664,13.854198455810547,15.773813247680664,17.626102447509766,20.20891571044922,24.412118911743164,2.565380096435547,3.1667606830596924,4.511609077453613,5.744215488433838,6.367746353149414,6.644655704498291,6.838956356048584,6.524413585662842,6.02844762802124,5.226222991943359
ppca_icm,10.085410118103027,8.239002227783203,8.179747581481934,7.975856781005859,7.842010021209717,7.700101375579834,7.817934989929199,7.999484539031982,9.999385833740234,11.702790260314941,10.739291191101074,0.30768829584121704,0.3154606521129608,0.3346916139125824,0.367542564868927,0.40068644285202026,0.45657870173454285,0.5008243918418884,0.5362874865531921,0.6104877591133118,0.6036937832832336,25.95606803894043,18.028194427490234,0.1464122235774994,0.13091759383678436,0.1077369898557663,0.08683560788631439,0.07701490819454193,0.07118725031614304,0.06989998370409012,0.06989030539989471,0.04448650777339935,0.034693021327257156,3.1587607860565186,3.785928726196289,5.268756866455078,7.090806007385254,8.671865463256836,9.858232498168945,11.476106643676758,12.78762435913086,14.02086353302002,20.187755584716797,2.1434717178344727,2.592393398284912,3.524960517883301,4.388180255889893,4.9447712898254395,5.267726421356201,5.5706706047058105,5.401246547698975,4.874251842498779,4.632363319396973
sfno,13.156966209411621,10.122671127319336,9.834067344665527,9.427766799926758,9.60726547241211,9.572324752807617,10.347886085510254,11.009498596191406,12.258746147155762,12.596687316894531,13.079798698425293,0.3667301833629608,0.3755192458629608,0.38652893900871277,0.45761924982070923,0.4869459569454193,0.5469390153884888,0.5874893069267273,0.6576563715934753,0.7061680555343628,0.7406083345413208,32.38471221923828,18.706762313842773,0.15064884722232819,0.13542908430099487,0.11264417320489883,0.08616188168525696,0.0757090225815773,0.07734877616167068,0.0694015696644783,0.06223897635936737,0.04641519486904144,0.034894224256277084,3.3676345348358154,4.025538444519043,5.676952838897705,7.583569526672363,9.253376007080078,10.671537399291992,12.203731536865234,13.454071044921875,16.478721618652344,23.35279083251953,2.1214499473571777,2.5288002490997314,3.506915330886841,4.424980640411377,4.952809810638428,5.22707462310791,5.560512065887451,5.279695510864258,4.749129295349121,4.478747367858887
