method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,0.9544509649276733,0.5431311196751065,0.7699642048941718,0.731011473470264,0.72983075843917,0.7144702540503608,0.9934459328651428,0.906110942363739
coord_deeponet,0.9536821246147156,0.6055333481894599,0.7992406189441681,0.712783416112264,0.6748805542786916,0.6561456885602739,0.9949185252189636,0.8731750249862671
coord_mlp,0.948224663734436,0.5248496499326494,0.7298610624339845,0.6538690792189704,0.6112614042229123,0.6323293613062965,0.9814682006835938,0.7821221351623535
gplfr,0.9785293340682983,0.6922223601076338,0.8493181135919359,0.751752946111891,0.7452389266755846,0.7048215932316251,0.9961776733398438,0.9127888083457947
knn,0.9732130765914917,0.6853954229089949,0.8322146038214365,0.7063587175475227,0.7170114616552988,0.7057262659072876,0.9951589703559875,0.8821882009506226
pca_gbt,0.9729262590408325,0.6132861028114954,0.8229340579774644,0.7201280560758379,0.6723361909389496,0.6649621029694875,0.9955487847328186,0.8738917708396912
pca_mlp,0.9605016112327576,0.6304560701052347,0.803156316280365,0.6993328366014693,0.673099418481191,0.6355905599064298,0.9955734014511108,0.8486568927764893
pca_ridge,0.9685647487640381,0.5042430046531889,0.8065997064113617,0.687851263417138,0.6107804841465421,0.6166111595100827,0.9953161478042603,0.8572286367416382
ppca_icm,0.9713794589042664,0.6797113418579102,0.8230681916077932,0.7236491805977292,0.70768560634719,0.6584757698906792,0.9959836602210999,0.8970769643783569
sfno,0.9727373123168945,0.6000283161799113,0.7993352015813192,0.7193402780426873,0.7124545176823934,0.6865108576085832,0.9952703714370728,0.8950147032737732
train_mean,0.9546101689338684,0.4477992016408179,0.7380081415176392,0.5985079308350881,0.509667843580246,0.5658214655187395,0.9934860467910767,0.7969720959663391
