method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,0.9544509649276733,0.8911119699478149,0.8564884066581726,0.7841565608978271,0.6395763158798218,0.47696635127067566,0.36818385124206543,0.28384432196617126,0.318485289812088,0.2693670094013214,0.9200330972671509,0.9038953185081482,0.8689460754394531,0.8431472778320312,0.8421935439109802,0.8275477886199951,0.7835317254066467,0.6250900030136108,0.31529301404953003,0.9934459328651428,0.906110942363739,0.7380539774894714,0.7537217736244202,0.7966991066932678,0.8180580735206604,0.8413521647453308,0.8044821619987488,0.7614471316337585,0.6558854579925537,0.40940341353416443,0.868468701839447,0.8290449380874634,0.7733049392700195,0.7677223086357117,0.7770038843154907,0.770285964012146,0.6959220170974731,0.6000024080276489,0.4867216646671295,0.8253504633903503,0.7960217595100403,0.7453559637069702,0.7472606897354126,0.7766098976135254,0.8008394241333008,0.6905399560928345,0.6089543700218201,0.4392997622489929
coord_deeponet,0.9536821246147156,0.9076493978500366,0.8914385437965393,0.8513783812522888,0.7271848917007446,0.5328929424285889,0.422708660364151,0.4380596876144409,0.36761796474456787,0.31086966395378113,0.9221237897872925,0.9072872996330261,0.8779743313789368,0.8520397543907166,0.8531595468521118,0.8285871744155884,0.7817683219909668,0.721223771572113,0.44900158047676086,0.9949185252189636,0.8731750249862671,0.6944559812545776,0.7031697630882263,0.7555596828460693,0.8106687664985657,0.8347601890563965,0.7994502782821655,0.7392340302467346,0.6508591175079346,0.4268929362297058,0.8348337411880493,0.7954418063163757,0.7169395685195923,0.7124025821685791,0.7032350897789001,0.6616133451461792,0.6342066526412964,0.5665291547775269,0.44872304797172546,0.7775667905807495,0.757186233997345,0.674639105796814,0.6771559715270996,0.7483634352684021,0.7300083041191101,0.6419844031333923,0.5636032819747925,0.33480367064476013
coord_mlp,0.948224663734436,0.8886310458183289,0.856688380241394,0.8012300729751587,0.6356607675552368,0.4299425780773163,0.2787582576274872,0.30173978209495544,0.36551278829574585,0.16548317670822144,0.9197602272033691,0.8985661864280701,0.8492279648780823,0.8180976510047913,0.813654899597168,0.8017677068710327,0.6928791403770447,0.5521272420883179,0.22266854345798492,0.9814682006835938,0.7821221351623535,0.5466627478599548,0.5798184871673584,0.6816484332084656,0.7544218897819519,0.809398353099823,0.7959447503089905,0.7234316468238831,0.617604672908783,0.37589073181152344,0.7920594811439514,0.7470105886459351,0.660015344619751,0.6721900701522827,0.6615973114967346,0.6539308428764343,0.5926846861839294,0.4519416093826294,0.2699227035045624,0.7976642847061157,0.7358117699623108,0.5953049063682556,0.6072038412094116,0.6867882013320923,0.6992552876472473,0.596343994140625,0.5707014203071594,0.4018905460834503
gplfr,0.9785293340682983,0.933181643486023,0.9122218489646912,0.8697036504745483,0.7846551537513733,0.6671810746192932,0.5682878494262695,0.6344428658485413,0.479509562253952,0.38081759214401245,0.9599428772926331,0.9463549256324768,0.9149158596992493,0.8889285922050476,0.8869137167930603,0.8721342086791992,0.8448190689086914,0.7903565168380737,0.5394972562789917,0.9961776733398438,0.9127888083457947,0.7769023776054382,0.7775651216506958,0.7940425872802734,0.8385866284370422,0.8587839007377625,0.830592155456543,0.7821953892707825,0.6669772863388062,0.4401310682296753,0.863592267036438,0.8250788450241089,0.777023196220398,0.7644096612930298,0.7669405341148376,0.7618056535720825,0.7302857637405396,0.6560445427894592,0.5619698762893677,0.8209124207496643,0.7908309698104858,0.741468608379364,0.7174074649810791,0.7513037323951721,0.7759697437286377,0.7271223068237305,0.6559566259384155,0.36242246627807617
knn,0.9732130765914917,0.9404112100601196,0.9249141812324524,0.8996630311012268,0.7952457666397095,0.6356240510940552,0.5114215612411499,0.5716882944107056,0.4917769432067871,0.3978137671947479,0.9569446444511414,0.9434576034545898,0.9102201461791992,0.8849561810493469,0.8873437643051147,0.8792198896408081,0.8196055293083191,0.7444764375686646,0.46370723843574524,0.9951589703559875,0.8821882009506226,0.7271522879600525,0.705784022808075,0.7287645936012268,0.7753952741622925,0.8274838328361511,0.7820798754692078,0.7450481653213501,0.6585885882377625,0.4069318175315857,0.8651254773139954,0.826677143573761,0.7707793116569519,0.7617754340171814,0.745347261428833,0.7246444821357727,0.6962682008743286,0.6079007387161255,0.45458510518074036,0.8015612363815308,0.7701753377914429,0.6983939409255981,0.7028363347053528,0.7745513916015625,0.7845844030380249,0.6911652684211731,0.6220577955245972,0.5062106847763062
pca_gbt,0.9729262590408325,0.9191859364509583,0.8923121094703674,0.8224065899848938,0.73054039478302,0.57514888048172,0.44459086656570435,0.4563785791397095,0.4363822340965271,0.24262933433055878,0.9492769241333008,0.9345117807388306,0.8974183797836304,0.8700631856918335,0.8744163513183594,0.8741081953048706,0.8213222622871399,0.7160801291465759,0.46920931339263916,0.9955487847328186,0.8738917708396912,0.7055613994598389,0.7232035994529724,0.7575477361679077,0.8178644180297852,0.8400856256484985,0.8159611225128174,0.7594878673553467,0.6511615514755249,0.41027918457984924,0.8312231302261353,0.7874287366867065,0.7332513928413391,0.6968227624893188,0.7118437886238098,0.7015407681465149,0.6590445637702942,0.5355177521705627,0.39435282349586487,0.7999283671379089,0.7572476267814636,0.6702393889427185,0.6455029249191284,0.6969318389892578,0.7428544759750366,0.6760360598564148,0.592380702495575,0.4035375416278839
pca_mlp,0.9605016112327576,0.9095342755317688,0.8853994607925415,0.8437269330024719,0.7340300679206848,0.6124822497367859,0.4949416220188141,0.4857299327850342,0.43218106031417847,0.2760790288448334,0.9362932443618774,0.9191651344299316,0.8757370710372925,0.8450199961662292,0.8268496990203857,0.8212741017341614,0.7802979946136475,0.7207146883010864,0.5030549168586731,0.9955734014511108,0.8486568927764893,0.7168247699737549,0.6874306201934814,0.694951057434082,0.7884382009506226,0.8332012295722961,0.779804527759552,0.7381114363670349,0.6331650018692017,0.42206868529319763,0.8397458791732788,0.7857376337051392,0.6965256333351135,0.6740067601203918,0.694139301776886,0.6778813600540161,0.6573008298873901,0.5520833134651184,0.480474054813385,0.7928590178489685,0.7466964721679688,0.6599183082580566,0.6404507756233215,0.7084341049194336,0.7108797430992126,0.6199591159820557,0.5418880581855774,0.2992294430732727
pca_ridge,0.9685647487640381,0.9052213430404663,0.8709077835083008,0.7816157341003418,0.6186071634292603,0.35543227195739746,0.12724681198596954,0.3950185775756836,0.34312722086906433,0.1410101354122162,0.9387430548667908,0.9217609763145447,0.8773587346076965,0.8397890329360962,0.8420981168746948,0.8302370309829712,0.8077653646469116,0.732997477054596,0.4686475694179535,0.9953161478042603,0.8572286367416382,0.6444519758224487,0.6561895608901978,0.7047544121742249,0.7791962027549744,0.8206350803375244,0.8022468090057373,0.7329555749893188,0.6429070830345154,0.4073246717453003,0.8001260757446289,0.7304649949073792,0.6631995439529419,0.6303406357765198,0.6085731387138367,0.6270492672920227,0.6297325491905212,0.5024923086166382,0.30504584312438965,0.7738479971885681,0.7060312032699585,0.5839318037033081,0.5397768616676331,0.661483883857727,0.7001951336860657,0.618644654750824,0.5867006182670593,0.3788882791996002
ppca_icm,0.9713794589042664,0.922439694404602,0.8995825052261353,0.8627668023109436,0.7765209674835205,0.6607311964035034,0.592212438583374,0.5993425250053406,0.432917982339859,0.37088796496391296,0.9487639665603638,0.9332942366600037,0.8994295001029968,0.8719655871391296,0.8593575954437256,0.8569755554199219,0.8286932706832886,0.7485990524291992,0.4605349600315094,0.9959836602210999,0.8970769643783569,0.7288485765457153,0.7301305532455444,0.7665079236030579,0.8145994544029236,0.8383774161338806,0.8115060925483704,0.7566623091697693,0.6488292217254639,0.41738107800483704,0.8514093160629272,0.8079395294189453,0.7474539279937744,0.7218887805938721,0.7305262088775635,0.7186982035636902,0.6815091371536255,0.626667857170105,0.4830774962902069,0.791678786277771,0.7615014910697937,0.6909018158912659,0.6793076395988464,0.7289447784423828,0.7458459734916687,0.6737655997276306,0.5721812844276428,0.28215456008911133
sfno,0.9727373123168945,0.933556318283081,0.9093934893608093,0.8255559206008911,0.6695410013198853,0.5205299258232117,0.49564000964164734,0.44180741906166077,0.35601967573165894,0.2482110857963562,0.9538516402244568,0.9409202337265015,0.9099057912826538,0.8816817998886108,0.8773350119590759,0.867734432220459,0.7849909067153931,0.6851158738136292,0.29248112440109253,0.9952703714370728,0.8950147032737732,0.7425222396850586,0.7433603405952454,0.7722979784011841,0.8169738054275513,0.8319099545478821,0.8050422668457031,0.7550594806671143,0.6463137865066528,0.3605826497077942,0.8611512184143066,0.8184607028961182,0.7598013281822205,0.7396039962768555,0.7517142295837402,0.7346574664115906,0.6865144371986389,0.6073864698410034,0.45280081033706665,0.7962686419487,0.7632696032524109,0.7002355456352234,0.7211897373199463,0.7750642895698547,0.7563897371292114,0.6701999306678772,0.5965669751167297,0.39941325783729553
