method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,11.464158058166504,7.720515251159668,7.663480281829834,7.43526554107666,7.750217914581299,8.501729965209961,8.74822998046875,9.996953010559082,12.277717590332031,16.068532943725586,0.35693612694740295,0.3654042184352875,0.38943347334861755,0.4257928133010864,0.48650678992271423,0.5764986872673035,0.6529399156570435,0.6798930168151855,0.7698519825935364,37.795719146728516,19.48297882080078,0.1707524210214615,0.1441662758588791,0.11089511960744858,0.08576025068759918,0.06588863581418991,0.06856434047222137,0.06415383517742157,0.055290963500738144,0.04374491795897484,3.1920642852783203,3.718231678009033,5.271203994750977,7.500800132751465,9.240253448486328,10.687257766723633,13.537856101989746,12.653491973876953,13.75328540802002,2.1443073749542236,2.653681516647339,3.513986587524414,4.454442024230957,4.948004245758057,4.967663288116455,5.323445796966553,4.858898162841797,3.3213930130004883
coord_deeponet,11.716218948364258,8.40849781036377,8.296562194824219,8.219131469726562,8.255012512207031,8.659786224365234,10.062728881835938,10.624312400817871,11.560999870300293,14.318775177001953,0.378579318523407,0.3813804090023041,0.4145195186138153,0.454568088054657,0.5247025489807129,0.6294243931770325,0.6813985705375671,0.6808465719223022,0.7226497530937195,32.239654541015625,20.664691925048828,0.1866280436515808,0.16984869539737701,0.13089749217033386,0.09697302430868149,0.08269362151622772,0.08289902657270432,0.08100838959217072,0.07183895260095596,0.053169239312410355,3.8692800998687744,4.600022792816162,6.374628067016602,9.103928565979004,11.922062873840332,13.667318344116211,17.18153953552246,15.47795295715332,16.98859214782715,2.7429358959198,3.313939332962036,4.728917121887207,5.7267560958862305,6.359178066253662,6.447803020477295,7.003490447998047,6.230415344238281,4.62954044342041
coord_mlp,17.554046630859375,11.26879596710205,10.968435287475586,10.761781692504883,10.41724681854248,10.329373359680176,10.296890258789062,12.110069274902344,14.023019790649414,14.149922370910645,0.5153398513793945,0.5346395373344421,0.5510520935058594,0.590225338935852,0.6547811627388,0.7759835124015808,0.8527893424034119,0.8523223996162415,0.905502200126648,70.47156524658203,29.64183235168457,0.24198588728904724,0.2187609225511551,0.15872643887996674,0.11819074302911758,0.1022147610783577,0.10851393640041351,0.09103623777627945,0.06514175236225128,0.03642251715064049,4.153465270996094,5.062734603881836,7.014039516448975,9.289798736572266,12.494409561157227,14.013893127441406,16.872583389282227,16.244016647338867,16.784299850463867,2.7470645904541016,3.37174916267395,4.795013904571533,5.717711925506592,6.12904691696167,6.180669784545898,6.176605224609375,4.992912292480469,3.538614273071289
gplfr,9.594372749328613,7.259276390075684,7.230250835418701,7.09970760345459,7.153655052185059,6.999136447906494,7.652409076690674,8.624216079711914,11.165214538574219,12.754605293273926,0.30944520235061646,0.32301732897758484,0.35065048933029175,0.4042278230190277,0.45097532868385315,0.5249285697937012,0.5889631509780884,0.5919674038887024,0.6440209746360779,26.40918731689453,17.304847717285156,0.15429195761680603,0.14506301283836365,0.11749251931905746,0.08534490317106247,0.0663495883345604,0.06318803131580353,0.059392381459474564,0.05563300848007202,0.03661162406206131,3.310645818710327,4.028226375579834,5.224732875823975,7.502793788909912,9.312936782836914,10.800362586975098,13.719700813293457,12.422109603881836,12.942706108093262,2.2713608741760254,2.73586368560791,3.909977674484253,4.775122165679932,5.10541296005249,5.04994535446167,5.314002990722656,4.7416863441467285,3.6960771083831787
knn,14.254867553710938,9.751996994018555,9.648898124694824,9.572823524475098,9.885673522949219,10.280141830444336,11.437237739562988,12.070195198059082,17.14446258544922,18.701038360595703,0.42297258973121643,0.43650174140930176,0.4648517966270447,0.524689257144928,0.6020761728286743,0.6877422332763672,0.7469426989555359,0.7607917189598083,0.7282957434654236,30.263978958129883,21.830724716186523,0.18344834446907043,0.17343397438526154,0.13889345526695251,0.10139208287000656,0.07988085597753525,0.08433406800031662,0.08443237096071243,0.07318419963121414,0.03705429658293724,3.2823939323425293,3.9675207138061523,5.445271015167236,7.779646396636963,10.61519718170166,12.61871337890625,16.30219841003418,15.616061210632324,16.792314529418945,2.5203959941864014,3.0776045322418213,4.0152716636657715,4.827217102050781,5.279341697692871,5.590875148773193,6.598152160644531,5.544857501983643,3.9871673583984375
pca_gbt,11.692965507507324,8.51971435546875,8.538661003112793,8.388692855834961,8.224252700805664,8.413534164428711,9.33159351348877,11.854662895202637,14.586554527282715,14.866720199584961,0.3643946349620819,0.3764234483242035,0.40622949600219727,0.4622341990470886,0.5450109243392944,0.6713033318519592,0.7354416847229004,0.7564471364021301,0.8187109231948853,29.813472747802734,21.404800415039062,0.18704593181610107,0.16938701272010803,0.12895524501800537,0.09252423048019409,0.07817914336919785,0.0800681933760643,0.0737176164984703,0.0587460994720459,0.041088733822107315,3.6349029541015625,4.43411922454834,5.914634704589844,8.263931274414062,10.393903732299805,11.810731887817383,15.6845121383667,15.617766380310059,16.733335494995117,2.4761993885040283,3.022071361541748,4.535793304443359,5.394136428833008,5.750937461853027,5.7720136642456055,6.126539707183838,5.393476486206055,4.235269546508789
pca_mlp,11.588443756103516,8.758621215820312,8.824102401733398,8.808187484741211,8.71915340423584,8.61856746673584,8.94632339477539,10.646158218383789,13.087369918823242,13.407079696655273,0.3841956853866577,0.3952808976173401,0.4288128912448883,0.47781801223754883,0.539202868938446,0.6217964887619019,0.684121310710907,0.6657326221466064,0.6659988760948181,27.22455406188965,20.531875610351562,0.19296805560588837,0.1792544275522232,0.1482963114976883,0.10494780540466309,0.08125071972608566,0.07848396897315979,0.07791857421398163,0.06682486832141876,0.039911188185214996,3.639491319656372,4.542686462402344,6.347701549530029,9.044748306274414,11.797443389892578,13.86661148071289,17.550457000732422,16.37885856628418,18.028955459594727,2.5619468688964844,3.1558403968811035,4.466400623321533,5.886157989501953,6.520081996917725,6.554990768432617,7.112007141113281,6.053304195404053,4.409916400909424
pca_ridge,14.561742782592773,10.519064903259277,10.464156150817871,10.248185157775879,9.918282508850098,9.457479476928711,10.790853500366211,14.726298332214355,20.416418075561523,21.3297176361084,0.4548022747039795,0.46360233426094055,0.49435311555862427,0.5630514025688171,0.6520346403121948,0.7894065380096436,0.9056404829025269,0.9756510853767395,1.006608247756958,35.57540512084961,26.59710121154785,0.21597476303577423,0.1922488510608673,0.15026462078094482,0.10782565176486969,0.089606873691082,0.09633487462997437,0.09338902682065964,0.06855547428131104,0.04212116077542305,4.319796085357666,5.430903911590576,7.206435680389404,10.189676284790039,12.870102882385254,14.279995918273926,16.78310203552246,17.03280258178711,19.22858428955078,2.731098175048828,3.4167838096618652,5.259764194488525,6.619918346405029,6.923527717590332,6.669689178466797,6.6314287185668945,5.6612629890441895,4.7550883293151855
ppca_icm,9.89216136932373,7.538775444030762,7.511114120483398,7.283797740936279,7.23248291015625,7.2469162940979,7.781572341918945,9.147348403930664,11.679756164550781,12.688912391662598,0.31085827946662903,0.3267039358615875,0.3559945225715637,0.41119521856307983,0.46281325817108154,0.5249742269515991,0.5986806750297546,0.6061472296714783,0.6685007810592651,25.7325382232666,17.27483558654785,0.1733931005001068,0.15898878872394562,0.12506330013275146,0.08959680050611496,0.07072921097278595,0.06825266778469086,0.06726586818695068,0.06384588778018951,0.0444570891559124,3.610262393951416,4.271447658538818,5.819023132324219,8.3344144821167,10.508010864257812,12.022455215454102,15.027827262878418,13.767535209655762,14.986762046813965,2.5175530910491943,3.070347309112549,4.35637903213501,5.423007011413574,5.841442108154297,5.802021026611328,6.212522983551025,5.682881832122803,4.119277477264404
sfno,9.932828903198242,7.096978187561035,7.233188152313232,7.206477642059326,7.717616081237793,7.904244899749756,8.937918663024902,10.211633682250977,11.698084831237793,13.272948265075684,0.305453360080719,0.31393012404441833,0.35057374835014343,0.3870549499988556,0.4387306571006775,0.5307679176330566,0.5934643745422363,0.6146227121353149,0.7329298257827759,31.33904457092285,17.592632293701172,0.17284807562828064,0.15909284353256226,0.1203082948923111,0.08849579095840454,0.07153359055519104,0.0703277438879013,0.06882668286561966,0.057923395186662674,0.042160142213106155,3.2767295837402344,4.013734817504883,5.391761302947998,7.773396968841553,9.910066604614258,11.849447250366211,15.144633293151855,14.270895004272461,16.976011276245117,2.399033308029175,2.9222755432128906,3.9122376441955566,4.808753967285156,5.225705623626709,5.361814975738525,5.566347599029541,5.020132541656494,3.556318998336792
