method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
conv_decoder,11.039435386657715,7.2458271980285645,7.104255676269531,6.857431411743164,7.156117916107178,7.796657085418701,8.187237739562988,9.127670288085938,11.26408576965332,14.872764587402344,0.3413911461830139,0.34879040718078613,0.36958131194114685,0.40114155411720276,0.4603789448738098,0.5487975478172302,0.6250459551811218,0.6492833495140076,0.721858024597168,35.246307373046875,18.380495071411133,0.1468760073184967,0.12250301986932755,0.09214664250612259,0.07381833344697952,0.05740949884057045,0.05858299508690834,0.05655556917190552,0.048197947442531586,0.03272820636630058,2.7479376792907715,3.2481138706207275,4.643013000488281,6.449464321136475,8.128167152404785,9.420646667480469,10.451431274414062,10.708035469055176,10.935157775878906,1.8073235750198364,2.202460527420044,3.026387929916382,3.7628226280212402,4.1182990074157715,4.26085090637207,4.372600078582764,3.8687009811401367,2.7066569328308105
coord_deeponet,11.322701454162598,7.950716495513916,7.768181800842285,7.711778163909912,7.774556636810303,8.216350555419922,9.776548385620117,10.161748886108398,10.96541690826416,13.824018478393555,0.3618607521057129,0.3606126606464386,0.3874804377555847,0.4256095886230469,0.4915604889392853,0.5993832349777222,0.6560134887695312,0.6597574353218079,0.7093362808227539,30.36783790588379,19.13324546813965,0.15824002027511597,0.14005142450332642,0.10891260951757431,0.08235779404640198,0.07111052423715591,0.07054468244314194,0.0700245127081871,0.059159260243177414,0.04030879586935043,3.242767333984375,3.8501105308532715,5.413905620574951,7.734865665435791,9.99926471710205,11.708634376525879,13.200357437133789,13.15320110321045,13.056785583496094,2.270493984222412,2.7535417079925537,3.770143747329712,4.618326663970947,4.940913200378418,5.183201789855957,5.561761856079102,4.954712867736816,3.6789815425872803
coord_mlp,16.773136138916016,10.840322494506836,10.4957857131958,10.293050765991211,10.052462577819824,9.8983736038208,9.94633960723877,11.575142860412598,13.467982292175293,13.443800926208496,0.4942533075809479,0.5113312602043152,0.5245145559310913,0.5572749972343445,0.6176525950431824,0.7413660883903503,0.8233093619346619,0.8295227289199829,0.879514753818512,64.29944610595703,26.893789291381836,0.19090409576892853,0.16961295902729034,0.12578752636909485,0.09847959131002426,0.08581520617008209,0.09325941652059555,0.07693105190992355,0.0570795014500618,0.029777972027659416,3.492628335952759,4.1146159172058105,5.947690010070801,7.933342933654785,10.428121566772461,12.16236686706543,13.195015907287598,13.222991943359375,13.032477378845215,2.3125901222229004,2.8254616260528564,3.8209922313690186,4.678244590759277,5.0638813972473145,5.175634860992432,5.140934467315674,4.160526275634766,2.851882219314575
gplfr,9.417487144470215,7.031445503234863,6.977383136749268,6.864704132080078,6.831798553466797,6.625999450683594,7.414488792419434,8.35200023651123,10.811634063720703,12.546441078186035,0.2993392050266266,0.31143802404403687,0.3339667320251465,0.3826753795146942,0.42516785860061646,0.505611002445221,0.5709876418113708,0.5807905793190002,0.6343502998352051,25.12626075744629,16.345109939575195,0.13725677132606506,0.12579970061779022,0.1007746234536171,0.07452281564474106,0.05854029953479767,0.05689619854092598,0.053214848041534424,0.04779186472296715,0.031720567494630814,2.894192695617676,3.456559658050537,4.660979270935059,6.539124965667725,8.155587196350098,9.350106239318848,10.620351791381836,10.715229988098145,10.636819839477539,1.9538893699645996,2.4067020416259766,3.3143067359924316,4.045458793640137,4.284705638885498,4.32668399810791,4.453946113586426,3.979058027267456,3.0157973766326904
knn,14.04312515258789,9.442069053649902,9.28730297088623,9.210521697998047,9.530400276184082,9.747349739074707,11.11429500579834,11.795553207397461,16.749427795410156,18.51995849609375,0.41422155499458313,0.4249805212020874,0.4501775801181793,0.5074748396873474,0.5823958516120911,0.6709716320037842,0.7265832424163818,0.749389111995697,0.718816339969635,28.64497947692871,20.43890953063965,0.16053476929664612,0.14677123725414276,0.11450560390949249,0.08591818064451218,0.0703820213675499,0.07154206931591034,0.07356462627649307,0.05956767871975899,0.029141303151845932,2.89363169670105,3.454399585723877,4.814833164215088,6.774577617645264,9.09195613861084,10.983978271484375,12.79129409790039,13.054173469543457,12.895299911499023,2.131791353225708,2.5679664611816406,3.4296531677246094,4.120060920715332,4.381718635559082,4.781922817230225,5.29620885848999,4.497703552246094,3.2171037197113037
pca_gbt,11.4658784866333,8.241922378540039,8.232405662536621,8.065948486328125,7.83610725402832,8.021605491638184,9.049142837524414,11.450857162475586,14.254751205444336,14.646018981933594,0.35303640365600586,0.36219820380210876,0.3864593207836151,0.441480427980423,0.521449863910675,0.6541327238082886,0.7194205522537231,0.7429475784301758,0.8061097860336304,28.376392364501953,19.93459701538086,0.15668606758117676,0.14038796722888947,0.10828641802072525,0.08015100657939911,0.06954912096261978,0.07066962867975235,0.06470723450183868,0.051578156650066376,0.03353343531489372,3.109137535095215,3.6975176334381104,5.169230937957764,7.203988552093506,9.048858642578125,10.409591674804688,12.124752044677734,12.976461410522461,13.103300094604492,2.1287617683410645,2.6227054595947266,3.710775375366211,4.568761348724365,4.808016777038574,4.917717933654785,5.002661228179932,4.359522819519043,3.344451427459717
pca_mlp,11.300115585327148,8.390437126159668,8.411664009094238,8.376338958740234,8.283759117126465,8.204720497131348,8.674598693847656,10.372687339782715,12.740732192993164,13.122664451599121,0.37173497676849365,0.3800680339336395,0.4065621495246887,0.45197594165802,0.5097461938858032,0.5965167880058289,0.661171555519104,0.6497201323509216,0.6547024250030518,25.801958084106445,18.970905303955078,0.16353459656238556,0.14801979064941406,0.12007573992013931,0.08905522525310516,0.07043536752462387,0.06800179183483124,0.06828046590089798,0.056737545877695084,0.03418109938502312,3.133413076400757,3.7859489917755127,5.388120651245117,7.73328971862793,10.055749893188477,11.963218688964844,13.376858711242676,13.703258514404297,14.035893440246582,2.1631979942321777,2.681079149246216,3.8019912242889404,4.7803215980529785,5.207432270050049,5.387930870056152,5.548464298248291,4.732024669647217,3.4447903633117676
pca_ridge,14.279396057128906,10.209280014038086,10.108011245727539,9.876060485839844,9.499393463134766,9.08252239227295,10.436187744140625,14.407364845275879,20.146608352661133,21.18457794189453,0.4422673285007477,0.447770357131958,0.4695409834384918,0.5316491723060608,0.6166690587997437,0.7613427042961121,0.885138750076294,0.9645557999610901,0.9966287612915039,33.75292205810547,24.504087448120117,0.18203815817832947,0.16366800665855408,0.12855352461338043,0.09424380958080292,0.07889948040246964,0.08635516464710236,0.08302775770425797,0.06189166009426117,0.035292208194732666,3.675036907196045,4.541827201843262,6.3137006759643555,8.728902816772461,10.92700481414795,12.379612922668457,13.720174789428711,14.327478408813477,15.374683380126953,2.3591785430908203,2.941277265548706,4.294234752655029,5.492319107055664,5.79747200012207,5.707571029663086,5.565086364746094,4.747146129608154,3.6964681148529053
ppca_icm,9.651847839355469,7.216004848480225,7.1307148933410645,6.89925479888916,6.836800575256348,6.832523345947266,7.524277210235596,8.843008041381836,11.224677085876465,12.417699813842773,0.299337774515152,0.31245529651641846,0.3363390862941742,0.3853065073490143,0.4348240792751312,0.5019332766532898,0.5772897601127625,0.5938270092010498,0.6571688652038574,24.352121353149414,16.248525619506836,0.1483353227376938,0.13340499997138977,0.10308031737804413,0.07759439945220947,0.06153823807835579,0.060831405222415924,0.059455350041389465,0.05411050096154213,0.03593393415212631,3.0567421913146973,3.6466386318206787,5.0702338218688965,7.145997524261475,8.989181518554688,10.403185844421387,11.512118339538574,11.492875099182129,11.921426773071289,2.1473519802093506,2.64634108543396,3.6588332653045654,4.513972282409668,4.849648475646973,4.933535575866699,5.00817346572876,4.564935207366943,3.2363028526306152
sfno,9.681330680847168,6.7576189041137695,6.847987174987793,6.859065532684326,7.345431804656982,7.484189510345459,8.628313064575195,9.695038795471191,11.003026008605957,12.700803756713867,0.29481762647628784,0.30098262429237366,0.3353155553340912,0.36835402250289917,0.4179933965206146,0.5122057199478149,0.5752590894699097,0.5952445864677429,0.7086387276649475,29.742937088012695,16.574981689453125,0.14959092438220978,0.1354425996541977,0.1001085564494133,0.07671128213405609,0.062393974512815475,0.06183718517422676,0.061578698456287384,0.05038445442914963,0.03232668712735176,2.849550485610962,3.413102388381958,4.722087860107422,6.732872009277344,8.6958589553833,10.15887451171875,11.554144859313965,12.094698905944824,13.688760757446289,1.9768394231796265,2.403204917907715,3.2944159507751465,4.057886123657227,4.382957458496094,4.578429222106934,4.6225175857543945,4.075201988220215,2.884406805038452
