method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,11.464158058166504,9.573626942104763,0.5225841138097975,0.08991297334432602,8.839382754431831,4.020646890004476,37.795719146728516,19.48297882080078
coord_deeponet,11.716218948364258,9.822867393493652,0.5408965746561686,0.10621738723582691,11.02059170934889,5.242552863226996,32.239654541015625,20.664691925048828
coord_mlp,17.554046630859375,11.59172609117296,0.6925150487158034,0.12677702183524767,11.325471189286974,4.849932008319431,70.47156524658203,29.64183235168457
gplfr,9.594372749328613,8.437607924143473,0.46535514129532707,0.08704078073302905,8.807134972678291,4.177716573079427,26.40918731689453,17.304847717285156
knn,14.254867553710938,12.054718653361002,0.5972071058220334,0.10622818312711185,10.268812974294027,4.60454257329305,30.263978958129883,21.830724716186523
pca_gbt,11.692965507507324,10.302709579467773,0.57068841987186,0.10107913406358825,10.276426421271431,4.7451597054799395,29.813472747802734,21.404800415039062
pca_mlp,11.588443756103516,9.979507022433811,0.5403288503487905,0.10776176883114709,11.244105948342217,5.191182931264241,27.22455406188965,20.531875610351562
pca_ridge,14.561742782592773,13.096717304653591,0.7005722357167138,0.1173690329823229,11.926822185516357,5.407617939843072,35.57540512084961,26.59710121154785
ppca_icm,9.89216136932373,8.678963979085287,0.4739853474828932,0.09573252374927203,9.816415362887913,4.780603541268243,25.7325382232666,17.27483558654785
sfno,9.932828903198242,9.03101004494561,0.4741697410742442,0.09461295108000438,9.845186233520508,4.308068911234538,31.33904457092285,17.592632293701172
train_mean,21.243040084838867,19.074367311265732,1.0929696692360773,0.15060431179073122,15.161193423800999,6.286973635355632,47.5575065612793,36.755428314208984
