method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,11.039435386657715,8.84578307469686,0.49625202682283187,0.0765353577832381,7.41466302341885,3.3473447296354504,35.246307373046875,18.380495071411133
coord_deeponet,11.322701454162598,9.349924034542507,0.5168460408846537,0.08896773598260349,9.039988040924072,4.192453040017022,30.36783790588379,19.13324546813965
coord_mlp,16.773136138916016,11.112584537929958,0.6643044054508209,0.10307192450596227,9.281027873357138,4.0033497545454235,64.29944610595703,26.893789291381836
gplfr,9.417487144470215,8.161766105228,0.4493696358468797,0.07627974326411883,7.447661293877496,3.5311720106336804,25.12626075744629,16.345109939575195
knn,14.04312515258789,11.710764249165853,0.5827789637777541,0.09021416554848354,8.528238217035929,3.824903276231554,28.64497947692871,20.43890953063965
pca_gbt,11.4658784866333,9.977639940049913,0.5541372067398496,0.08617211505770683,8.538093169530233,3.940374904208713,28.376392364501953,19.93459701538086
pca_mlp,11.300115585327148,9.619733598497179,0.5202442440721724,0.09092462476756838,9.24175018734402,4.19413693745931,25.801958084106445,18.970905303955078
pca_ridge,14.279396057128906,12.77222294277615,0.6795069906446669,0.10155219667487675,9.998713546329075,4.511194811926948,33.75292205810547,24.504087448120117
ppca_icm,9.651847839355469,8.324995623694527,0.4553868505689833,0.08158716311057408,8.137599971559313,3.9510104656219482,24.352121353149414,16.248525619506836
sfno,9.681330680847168,8.591274950239393,0.45653459429740906,0.08115270692441198,8.212216748131645,3.5862066083484225,29.742937088012695,16.574981689453125
train_mean,20.850534439086914,18.7077448103163,1.0668427016999986,0.12874863793452582,12.75072161356608,5.162651697794597,45.58108139038086,33.69399642944336
